ITEM	PUBLISH
s[none]	i
item_publish_gift_27_04_01	27
weapon_publish_gift_27_04_01	27
	28
item_publish_gift_29_generic_04_01	29
item_gcw_base_reactive_heal_a_03_01	30
item_gcw_recruitment_letter_01_01	31
item_holopet_emitter_01_01	32
item_holopet_data_cube_gift_01_01	32
item_publish_gift_33_camp_01_01	33
item_publish_gift_33_picture_01_01	33
item_publish_gift_magic_control_object_03_01	34
item_publish_gift_35_04_01	35
item_publish_gift_36_04_01	36
item_publish_gift_37_04_01	37
meatlump_reward_rock_chair_02_01	38
item_publish_gift_38_04_01	38
publish_gift_chapter_11_snow_machine_02_01	39
item_hologram_aotc_cybernetic_arm	40
item_publish_gift_update_14_comlink	41
item_publish_gift_update_14_statuette	42
item_lifeday_09_ornament	43
item_publish_gift_update_15	44
item_publish_gift_update_16	45
