id	Items	Include Items From	Category	Feature Bit Reward Exclusion Mask	Account Flags	Account Feature Id	Feature Id Blocked by Subscription Bit	Consume Account Feature Id	Account Age Days	Character Age Days	Character Objvar	Once Per Account	Announcement Message	Description	URL	Start Date yyyy	Start Date mm	Start Date dd	End Date yyyy	End Date mm	End Date dd	Buddy Points	Comments
s	s	s	i[0]	i	i	i	i[0]	b[1]	i	i	s	b	s	s	s	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i	c
3mo	"poweredharvester,dataterminal1,dataterminal2,dataterminal3,dataterminal4,mini_protocoldroid,mini_r2"		1	0	0	0	0		90	0		1	veteran_new:announcement_90day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards:%203%20Months								Rewards that have the same non-zero Category value must be claimed
6mo	"resourcecrate,falconcouch,falconchair,mini_tiefighter,mini_xwing"	3mo	1	0	0	0	0		180	0		1	veteran_new:announcement_180day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards:%206%20Months								"in the order that the rewards are listed (i.e. only the first qualified reward in the category will be listed,"
9mo	"houseplant,display_stand"	"3mo,6mo"	1	0	0	0	0		270	0		1	veteran_new:announcement_270day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								and it must be claimed before the next qualified reward in the category will be listed)
12mo	"techconsole_a,techconsole_b,techconsole_c,techconsole_d,mini_jabba,mini_stormtrooper"	"3mo,6mo,9mo"	1	0	0	0	0		360	0		1	veteran_new:announcement_360day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards:%2012%20Months								
15mo	"holo_impguard,mini_cupa"	"3mo,6mo,9mo,12mo"	1	0	0	0	0		450	0		1	veteran_new:announcement_450day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								
18mo	"rug_imperial,rug_rebel"	"3mo,6mo,9mo,12mo,15mo"	1	0	0	0	0		540	0		1	veteran_new:announcement_540day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								
21mo	"holo_starfighter,holo_sandcrawler"	"3mo,6mo,9mo,12mo,15mo,18mo"	1	0	0	0	0		630	0		1	veteran_new:announcement_630day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								
24mo	"holo_deathstar,fireplace"	"3mo,6mo,9mo,12mo,15mo,18mo,21mo"	1	0	0	0	0		720	0		1	veteran_new:announcement_720day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								
27mo	"holo_leia,mini_dewback"	"3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo"	1	0	0	0	0		810	0		1	veteran_new:announcement_810day	veteran_new:choice_description	starwarsgalaxies.station.sony.com/content.jsp?page=Veteran%20Rewards								
