vowel	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan
s	I	I	I	I	I	I	I	I	I	I
a	100	100	100	100	10	100	100	100	100	100
ae	5	5	5	5	0	0	0	50	50	50
ai	5	5	5	5	0	0	0	50	50	50
aie	1	1	1	0	0	0	0	1	1	1
ao	5	5	5	5	0	0	0	10	10	10
au	5	5	5	5	0	0	0	10	10	10
e	100	100	100	100	0	100	100	100	100	100
ea	5	5	5	5	0	0	0	50	50	50
ee	5	5	5	100	0	0	0	50	50	50
ei	5	5	5	5	0	0	0	50	50	50
eia	1	1	1	0	0	0	0	1	1	1
eo	5	5	5	5	0	0	0	10	10	10
eu	5	5	5	0	0	0	0	10	10	10
i	100	100	100	100	100	100	100	100	100	100
ia	5	5	5	5	0	0	0	50	50	50
ie	5	5	5	5	0	0	0	50	50	50
io	5	5	5	5	0	0	0	10	10	10
o	100	100	100	100	100	100	100	100	100	100
oa	5	5	5	5	0	0	0	10	10	10
oe	5	5	5	5	0	0	0	10	10	10
oi	5	5	5	5	0	0	0	10	10	10
oo	5	5	5	100	0	0	0	10	10	10
ou	5	5	5	5	0	0	0	10	10	10
u	5	5	5	5	10	10	0	10	10	10
y	5	5	5	5	10	10	100	50	50	50
yy	0	0	0	0	0	0	10	0	0	0
yyy	0	0	0	0	0	0	10	0	0	0
