word	root	type	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan
s	s	s	I	I	I	I	I	I	I	I	I	I
sun	sun	n	0	100	0	0	0	0	0	0	0	0
moon	moon	n	0	100	0	0	0	0	0	0	0	0
sky	sky	n	0	100	0	0	0	0	0	0	0	0
light	light	nvj	0	100	0	0	0	0	0	0	0	0
lighting	light	g	0	100	0	0	0	0	0	0	0	0
lighter	light	c	0	100	0	0	0	0	0	0	0	0
dark	dark	nvj	0	100	0	0	0	0	0	0	0	0
walk	walk	v	0	100	0	0	0	0	0	0	0	0
walker	walk	c	0	100	0	0	0	0	0	0	0	0
ride	ride	v	0	100	0	0	0	0	0	0	0	0
rider	ride	c	0	100	0	0	0	0	0	0	0	0
stride	stride	v	0	100	0	0	0	0	0	0	0	0
strider	stride	c	0	100	0	0	0	0	0	0	0	0
cloud	cloud	n	0	100	0	0	0	0	0	0	0	0
float	float	v	0	100	0	0	0	0	0	0	0	0
star	star	n	0	100	0	0	0	0	0	0	0	0
mist	mist	n	0	100	0	0	0	0	0	0	0	0
dust	dust	nv	0	100	0	0	0	0	0	0	0	0
free	free	j	0	100	0	0	0	0	0	0	0	0
crest	crest	nv	0	100	0	0	0	0	0	0	0	0
cresting	crest	g	0	100	0	0	0	0	0	0	0	0
run	run	v	0	100	0	0	0	0	0	0	0	0
runner	run	c	0	100	0	0	0	0	0	0	0	0
running	run	g	0	100	0	0	0	0	0	0	0	0
wave	wave	nv	0	100	0	0	0	0	0	0	0	0
waving	wave	g	0	100	0	0	0	0	0	0	0	0
waver	wave	c	0	100	0	0	0	0	0	0	0	0
fly	fly	nv	0	100	0	0	0	0	0	0	0	0
flying	fly	g	0	100	0	0	0	0	0	0	0	0
flier	fly	c	0	100	0	0	0	0	0	0	0	0
