special	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan
s	I	I	I	I	I	I	I	I	I	I
ock	0	0	10	0	0	0	0	0	0	0
ack	0	0	10	0	0	0	0	0	0	0
ossk	0	0	0	0	10	0	0	0	0	0
ossk	0	0	0	0	10	0	0	0	0	0
iss	0	0	0	0	10	0	0	0	0	0
uss	0	0	0	0	10	0	0	0	0	0
o	0	0	0	10	0	0	0	0	0	0
ik	0	0	0	10	0	0	0	0	0	0
'lya	10	0	0	0	0	0	0	0	0	0
'kre	10	0	0	0	0	0	0	0	0	0
'fey	10	0	0	0	0	0	0	0	0	0
'lar	10	0	0	0	0	0	0	0	0	0
'yka	10	0	0	0	0	0	0	0	0	0
'tvo	10	0	0	0	0	0	0	0	0	0
'nel	10	0	0	0	0	0	0	0	0	0
'tah	10	0	0	0	0	0	0	0	0	0
bacca	0	0	0	0	0	0	10	0	0	0
acca	0	0	0	0	0	0	10	0	0	0
orr	0	0	0	0	0	0	10	0	0	0
ykk	0	0	0	0	0	0	10	0	0	0
allla	0	0	0	0	0	0	10	0	0	0
arri	0	0	0	0	0	0	10	0	0	0
atti	0	0	0	0	0	0	10	0	0	0
bus	0	0	0	0	0	0	10	0	0	0
ciiir	0	0	0	0	0	0	10	0	0	0
chal	0	0	0	0	0	0	10	0	0	0
chew	0	0	0	0	0	0	10	0	0	0
dew	0	0	0	0	0	0	10	0	0	0
dry	0	0	0	0	0	0	10	0	0	0
fro	0	0	0	0	0	0	10	0	0	0
gaar	0	0	0	0	0	0	10	0	0	0
geyy	0	0	0	0	0	0	10	0	0	0
gra	0	0	0	0	0	0	10	0	0	0
groz	0	0	0	0	0	0	10	0	0	0
issh	0	0	0	0	0	0	10	0	0	0
ji	0	0	0	0	0	0	10	0	0	0
jow	0	0	0	0	0	0	10	0	0	0
kalla	0	0	0	0	0	0	10	0	0	0
kat	0	0	0	0	0	0	10	0	0	0
kerri	0	0	0	0	0	0	10	0	0	0
kit	0	0	0	0	0	0	10	0	0	0
liak	0	0	0	0	0	0	10	0	0	0
low	0	0	0	0	0	0	10	0	0	0
lof	0	0	0	0	0	0	10	0	0	0
malla	0	0	0	0	0	0	10	0	0	0
nag	0	0	0	0	0	0	10	0	0	0
ralr	0	0	0	0	0	0	10	0	0	0
ror	0	0	0	0	0	0	10	0	0	0
sal	0	0	0	0	0	0	10	0	0	0
shor	0	0	0	0	0	0	10	0	0	0
sno	0	0	0	0	0	0	10	0	0	0
spet	0	0	0	0	0	0	10	0	0	0
tarr	0	0	0	0	0	0	10	0	0	0
wrrl	0	0	0	0	0	0	10	0	0	0
addik	0	0	0	0	0	0	10	0	0	0
ahab	0	0	0	0	0	0	10	0	0	0
an	0	0	0	0	0	0	10	0	0	0
anta	0	0	0	0	0	0	10	0	0	0
arra	0	0	0	0	0	0	10	0	0	0
becca	0	0	0	0	0	0	10	0	0	0
bev	0	0	0	0	0	0	10	0	0	0
bow	0	0	0	0	0	0	10	0	0	0
chiir	0	0	0	0	0	0	10	0	0	0
chit	0	0	0	0	0	0	10	0	0	0
cuk	0	0	0	0	0	0	10	0	0	0
drrl	0	0	0	0	0	0	10	0	0	0
evge	0	0	0	0	0	0	10	0	0	0
kabukk	0	0	0	0	0	0	10	0	0	0
kazza	0	0	0	0	0	0	10	0	0	0
kkata	0	0	0	0	0	0	10	0	0	0
lanna	0	0	0	0	0	0	10	0	0	0
mapia	0	0	0	0	0	0	10	0	0	0
mum	0	0	0	0	0	0	10	0	0	0
nik	0	0	0	0	0	0	10	0	0	0
orral	0	0	0	0	0	0	10	0	0	0
ova	0	0	0	0	0	0	10	0	0	0
pirr	0	0	0	0	0	0	10	0	0	0
porin	0	0	0	0	0	0	10	0	0	0
raoao	0	0	0	0	0	0	10	0	0	0
ryyhn	0	0	0	0	0	0	10	0	0	0
tatha	0	0	0	0	0	0	10	0	0	0
tharr	0	0	0	0	0	0	10	0	0	0
tobuck	0	0	0	0	0	0	10	0	0	0
urra	0	0	0	0	0	0	10	0	0	0
warr	0	0	0	0	0	0	10	0	0	0
ykam	0	0	0	0	0	0	10	0	0	0
