consonant	placement	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan
s	s	I	I	I	I	I	I	I	I	I	I
b	bme	100	100	100	100	10	100	100	50	50	50
bl	bm	5	5	1	5	0	5	1	2	2	2
br	bm	10	10	1	10	0	10	1	2	2	2
c	bme	100	100	100	100	10	100	100	100	100	100
cc	e	5	5	1	5	0	5	1	2	2	2
ch	bme	10	10	1	10	0	10	10	2	2	2
chr	bm	5	5	1	5	0	5	1	0	0	0
cht	e	2	2	1	2	0	2	1	0	0	0
ck	me	2	2	1	2	0	2	1	0	0	0
cl	bm	5	5	1	5	0	5	1	2	2	2
cr	bm	10	10	1	10	0	10	1	2	2	2
ct	me	5	5	0	5	0	5	1	0	0	0
cz	bm	2	2	0	2	0	2	1	0	0	0
d	bme	100	100	100	100	10	100	10	50	50	50
dh	bm	2	2	1	2	0	2	1	2	2	2
dl	bm	5	5	1	5	0	5	1	2	2	2
dr	bm	10	10	1	10	0	10	1	2	2	2
dw	bm	5	5	1	5	0	5	1	2	2	2
f	bme	100	100	100	100	0	100	1	100	100	100
ff	bme	2	2	1	2	0	2	1	0	0	0
fl	bm	2	2	1	2	0	2	1	2	2	2
fr	bm	2	2	1	2	0	2	1	2	2	2
g	bme	100	100	100	100	0	100	1	100	100	100
gg	me	2	2	1	2	0	2	1	2	2	2
gh	bme	2	2	1	2	0	2	1	0	0	0
ght	me	2	2	1	2	0	2	1	0	0	0
gl	bm	10	10	1	10	0	10	1	2	2	2
gn	bme	2	2	1	2	0	2	1	0	0	0
gm	me	2	2	1	2	0	2	1	0	0	0
gr	bm	10	10	1	10	0	10	1	2	2	2
gw	bm	2	2	1	2	0	2	1	2	2	2
h	bme	100	100	100	100	0	100	1	50	50	50
hn	me	2	2	1	2	0	2	1	0	0	0
j	bme	10	10	10	10	0	10	1	10	10	10
jj	me	2	2	1	2	0	2	1	0	0	0
k	bme	100	100	100	100	0	100	1	100	100	100
kh	bm	2	2	1	2	0	2	1	2	2	2
kk	me	2	2	1	2	0	2	1	2	2	2
kl	bm	5	5	1	5	0	5	1	2	2	2
kr	bm	10	10	1	10	0	10	1	2	2	2
kt	me	5	5	1	5	0	5	1	0	0	0
l	bm	100	100	100	100	10	100	100	100	100	100
lc	me	5	5	1	5	0	5	1	0	0	0
lch	me	2	2	1	2	0	2	1	0	0	0
ld	me	5	5	1	5	0	5	1	0	0	0
lf	me	2	2	1	2	0	2	1	0	0	0
lk	me	5	5	1	5	0	5	1	0	0	0
ll	bme	10	10	10	10	0	10	1	2	2	2
lm	me	2	2	1	2	0	2	1	2	2	2
lp	me	2	2	1	2	0	2	1	2	2	2
lph	me	2	2	1	2	0	2	1	0	0	0
lv	me	2	2	1	2	0	2	1	0	0	0
m	bme	100	100	100	100	10	100	100	100	100	100
mm	me	5	5	1	5	0	5	1	0	0	0
mn	bme	2	2	1	2	0	2	1	0	0	0
n	bme	100	100	100	100	10	100	100	100	100	100
ng	e	2	2	1	2	0	2	1	2	2	2
nn	e	10	10	1	10	0	10	1	2	2	2
nt	e	10	10	1	10	0	10	1	0	0	0
p	bme	100	100	100	100	10	100	1	100	100	100
pf	bm	2	2	1	2	0	2	1	0	0	0
ph	bm	2	2	1	2	0	2	1	0	0	0
pl	bm	5	5	1	5	0	5	1	2	2	2
pp	me	5	5	1	5	0	5	1	0	0	0
pr	bm	10	10	1	10	0	10	11	2	2	2
pt	me	2	2	1	2	0	2	1	2	2	2
q	me	5	5	0	5	0	5	10	0	0	0
qu	bm	5	5	0	5	0	5	0	0	0	0
r	bme	100	100	100	100	10	100	100	100	100	100
rb	me	2	2	1	2	0	2	1	2	2	2
rc	me	5	5	1	5	0	5	1	0	0	0
rck	me	2	2	0	2	0	2	1	0	0	0
rch	me	2	2	0	2	0	2	1	0	0	0
rcht	me	2	2	0	2	0	2	1	0	0	0
rd	me	5	5	1	5	0	5	1	2	2	2
rf	me	5	5	1	5	0	5	1	2	2	2
rg	me	5	5	1	5	0	5	1	2	2	2
rh	bm	5	5	1	5	0	5	1	2	2	2
rj	me	2	2	0	2	0	2	1	2	2	2
rk	me	5	5	1	5	0	5	1	2	2	2
rl	me	5	5	1	5	0	5	1	2	2	2
rrl	me	0	0	0	0	0	0	10	0	0	0
rm	me	2	2	1	2	0	2	1	2	2	2
rn	me	2	2	1	2	0	2	1	2	2	2
rp	me	2	2	1	2	0	2	1	2	2	2
rq	me	2	2	0	2	0	2	1	2	2	2
rr	me	5	5	1	5	0	5	1	2	2	2
rt	me	2	2	1	2	0	2	1	2	2	2
rv	me	2	2	0	2	0	2	1	2	2	2
rx	me	2	2	0	2	10	2	1	2	2	2
rz	me	2	2	0	2	10	2	1	2	2	2
s	bme	100	100	100	100	10	100	10	100	100	100
sc	bme	5	5	1	5	10	5	1	2	2	2
sch	bm	2	2	0	2	0	2	1	0	0	0
schl	bm	2	2	0	2	0	2	1	0	0	0
sh	bme	10	10	1	10	10	10	1	2	2	2
sk	bme	10	10	1	10	10	10	1	2	2	2
sl	bm	10	10	1	10	10	10	1	2	2	2
sm	bm	10	10	1	10	0	10	1	2	2	2
sn	bm	10	10	1	10	0	10	1	2	2	2
sp	bme	10	10	1	10	0	10	1	2	2	2
sq	me	2	2	0	2	0	2	1	0	0	0
squ	bm	2	2	0	2	0	2	1	0	0	0
sr	bm	30	30	1	30	10	30	1	2	2	2
ss	bme	10	10	1	10	10	10	1	2	2	2
ssk	me	0	0	0	0	10	0	0	0	0	0
st	bme	30	30	1	30	10	30	1	10	10	10
sv	bm	2	2	1	2	10	2	1	2	2	2
sw	bme	2	2	1	2	0	2	1	2	2	2
sx	me	2	2	0	2	10	2	1	2	2	2
t	bme	100	100	100	100	10	100	100	100	100	100
tch	me	5	5	0	5	0	5	1	2	2	2
th	bme	30	30	1	30	0	30	1	2	2	2
thm	me	5	5	0	5	0	5	1	0	0	0
tr	bm	10	10	1	10	10	10	1	2	2	2
ts	bme	2	2	1	2	10	2	1	0	0	0
tt	me	10	10	1	10	0	10	1	2	2	2
tw	bm	5	5	1	5	0	5	1	2	2	2
tz	bm	2	2	0	2	10	2	1	0	0	0
v	bme	100	100	100	100	10	100	1	100	100	100
vv	me	5	5	1	5	0	5	1	2	2	2
w	bme	100	100	100	100	10	100	1	100	100	100
wh	bm	10	10	1	10	0	10	1	2	2	2
wr	bm	10	10	1	10	0	10	1	2	2	2
ww	me	5	5	1	5	0	5	1	0	0	0
x	bme	10	10	10	10	10	10	1	2	2	2
xx	me	0	0	0	0	0	0	1	0	0	0
y	bme	10	10	0	10	0	10	1	2	2	2
z	bme	10	10	0	10	10	10	1	2	2	2
zz	me	0	0	0	0	10	0	0	0	0	0
