id	fname_chance	fname_chance_profession	fname_syllables_min	fname_chars_min	fname_chars_max	fname_syllables_max	fname_special_char_chance	fname_special_char	fname_special_char_max	fname_chance_begins_special	fname_chance_medial_special	fname_chance_ends_special	fname_max_special_syllables	lname_chance	lname_chance_profession	lname_syllables_min	lname_syllables_max	lname_chars_min	lname_chars_max	lname_special_char_chance	lname_special_char	lname_special_char_max	lname_chance_begins_special	lname_chance_medial_special	lname_chance_ends_special	lname_max_special_syllables
s	I	I	I	I	I	I	I	s	I	I	I	I	I	I	I	I	I	I	I	I	s	I	I	I	I	I
bothan	100	0	2	3	15	3	0		0	0	0	0	0	90	0	2	3	3	20	0		1	0	0	70	1
human	100	0	2	3	15	3	2	-'	1	0	0	0	0	90	10	2	3	3	20	2	-'	1	0	0	0	0
moncal	100	0	2	3	15	3	2	-	1	20	20	20	2	65	0	2	3	3	20	2	-	1	20	20	20	1
rodian	100	0	2	3	15	3	0		0	20	20	50	1	10	0	2	3	3	20	0		0	0	0	0	0
trandoshan	100	0	2	3	15	3	0		0	20	20	20	1	15	0	2	3	3	20	0		0	20	20	20	1
twilek	100	0	2	3	15	3	20	-'	1	20	20	20	1	90	0	2	3	3	20	20	-'	1	0	0	0	0
wookiee	100	0	2	3	15	6	0		0	50	75	50	5	0	0	0	0	0	0	0		0	0	0	0	0
zabrak	100	0	2	3	15	3	0		0	0	0	0	0	85	0	2	3	3	20	0		0	0	0	0	0
ithorian	100	0	2	3	15	3	0		0	0	0	0	0	85	0	2	3	3	20	0		0	0	0	0	0
sullustan	100	0	2	3	15	3	0		0	0	0	0	0	85	0	2	3	3	20	0		0	0	0	0	0
