vehicle	min_speed	speed	strafe	turn_rate	turn_rate_max	accel_min	accel_max	decel	damping_roll	damping_pitch	damping_height	glide	banking_angle	hover_height	auto_level	player_buff	vehicle_buff	buff_client_effect
s	f	f	i	f	f	f	f	f	f	f	f	f	f	f	f	s	s	s
object/mobile/vehicle/speederbike_swoop.iff	0	21.9	1	205	103	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_2	
object/mobile/vehicle/speederbike.iff	0	19.9	1	180	90	2.9	8.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_2	
object/mobile/vehicle/landspeeder_x34.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_2	
object/mobile/vehicle/landspeeder_av21.iff	0	21.9	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_3	
object/mobile/vehicle/jetpack.iff	0	21.9	1	205	103	2.9	9.9	7	2	3	4	2.5	45	4	0.25		vehicle_4	
object/mobile/vehicle/speederbike_flash.iff	0	19.9	1	170	85	2.9	9.9	7	2	3	4	2.5	30	0.5	0.25		vehicle_2	
object/mobile/vehicle/barc_speeder.iff	0	22.1	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_4	
object/mobile/vehicle/landspeeder_xp38.iff	0	17.9	1	154	77	2.9	8.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_v35.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_ab1.iff	0	17.9	1	154	77	2.9	8.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_usv5.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_desert_skiff.iff	0	22	1	154	77	2.9	7.9	7	2	3	4	2.5	30	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_tantive4.iff	0	15	1	150	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_lava_skiff.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/landspeeder_x31.iff	0	16	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1	
object/mobile/vehicle/walker_at_rt_reg.iff	0	21.5	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		vehicle_1	
object/mobile/vehicle/walker_at_rt_camo.iff	0	21.5	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0	vehicle_at_rt	vehicle_4	appearance/pt_psg_on_mark_3.prt
object/mobile/vehicle/barc_speeder_rebel.iff	0	23.1	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25	vehicle_pvp_barc_rebel	vehicle_5	
object/mobile/vehicle/barc_speeder_imperial.iff	0	23.1	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25	vehicle_pvp_barc_imperial	vehicle_5	
object/mobile/vehicle/temp_walker1.iff	0	1	1	270	270	1	1	20	2	3	4	2.5	45	0	0			
object/mobile/vehicle/light_bending_barc.iff	0	23.1	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_5	
object/mobile/vehicle/pod_racer_one.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3	
object/mobile/vehicle/pod_racer_two.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3	
object/mobile/vehicle/hover_chair.iff	0	7	1	175	103	2.9	9.9	7	2	3	4	2.5	15	1.1	0.25		vehicle_5	
object/mobile/vehicle/mechno_chair.iff	0	7	1	175	103	2.9	9.9	7	2	3	4	2.5	15	0.5	0.25		vehicle_5	
object/mobile/vehicle/sith_speeder.iff	0	23	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_4	
object/mobile/vehicle/landspeeder_organa.iff	0	17.9	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_3	
object/mobile/vehicle/snowspeeder.iff	0	0.1	0	0	0	100	100	100	1	1	1	1	1	0.5	0.25		battlefield_vehicle_1	
object/mobile/vehicle/hoth_at_st.iff	0	10	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		battlefield_vehicle_1	
object/mobile/vehicle/snowspeeder2.iff	29.99	30	0	28	28	25	50	300	1	1	0.1	2.5	50	5	0.25		battlefield_vehicle_1	
object/mobile/vehicle/stap_speeder.iff	0	21.9	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_4
object/mobile/vehicle/gift_stap_speeder.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_2
object/mobile/vehicle/pod_racer_ipg_longtail.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3
object/mobile/vehicle/koro2_speeder.iff	0	17.9	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1
object/mobile/vehicle/swamp_speeder.iff	0	17.9	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1
object/mobile/vehicle/tcg_merr_sonn_jt12_jetpack.iff	0	21.9	1	205	103	2.9	9.9	7	2	3	4	2.5	45	4	0.25		vehicle_4
object/mobile/vehicle/walker_at_xt.iff	0	10	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		vehicle_1
object/mobile/vehicle/landspeeder_tantive4_adv.iff	0	17.9	1	154	80	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1
object/mobile/vehicle/geonosian_speeder.iff	0	23.1	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1
object/mobile/vehicle/senate_pod.iff	0	16	1	110	55	1.9	5.9	20	2	3	4	1.5	10	0.5	0.25		vehicle_1
object/mobile/vehicle/pod_racer_balta_podracer.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_1
object/mobile/vehicle/mustafar_panning_droid.iff	0	16	1	205	103	1.9	9.9	20	2	3	1.5	2.5	45	0.5	0.25		vehicle_2
object/mobile/vehicle/basilisk_war_droid.iff	0	21.9	1	205	103	2.9	9.9	7	1	1	1.5	2.5	50	0.75	0.25		vehicle_2
object/mobile/vehicle/pod_racer_light_bending.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3
object/mobile/vehicle/xj6_air_speeder.iff	0	22	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_3
object/mobile/vehicle/fg_8t8_podracer.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3
object/mobile/vehicle/air2_swoop_speeder.iff	0	22.1	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_3
object/mobile/vehicle/landspeeder_usv5_s02.iff	0	17.9	1	154	77	2.9	7.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_1
object/mobile/vehicle/podracer_anakin.iff	0	23.2	0	15	120	9.9	12.5	7	2	3	4	2.5	70	0.5	0.25		vehicle_3
object/mobile/vehicle/flare_s_swoop.iff	0	20	1	180	85	2.9	9.9	6	2	3	4	2.5	45	0.5	0.25		vehicle_4
object/mobile/vehicle/flare_s_swoop_crafted.iff	0	22	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_4
object/mobile/vehicle/hoverlifter_speeder.iff	0	20	1	190	85	2.9	9.9	6	2	3	4	2.5	45	0.5	0.25		vehicle_4
object/mobile/vehicle/hoverlifter_speeder_crafted.iff	0	22	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_4
object/mobile/vehicle/grievous_wheel_bike.iff	0	23	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		vehicle_4
object/mobile/vehicle/a1_deluxe_floater.iff	0	22	1	154	77	2.9	9.9	7	2	3	4	2.5	45	0.5	0.25		vehicle_3
object/mobile/vehicle/speeder_ric_920.iff	0	22	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		vehicle_4
object/mobile/vehicle/tcg_hk47_jetpack.iff	0	21.9	1	205	103	2.9	9.9	7	2	3	4	2.5	45	4	0.25		vehicle_4
object/mobile/vehicle/tcg_at_pt_walker.iff	0	21.5	1	190	95	2.9	9.9	7	2	3	4	2.5	45	0	0		vehicle_1
object/mobile/vehicle/tcg_military_transport.iff	0	21.9	1	205	103	2.9	9.9	7	1	1	1.5	2.5	50	0.75	0.25		vehicle_3
object/mobile/vehicle/tcg_republic_gunship.iff	0	21.9	1	205	103	2.9	9.9	7	1	1	1.5	2.5	50	0.75	0.25		vehicle_3
