OBJECT_REFERENCE	PCD_TEMPLATE	OBJECT_TEMPLATE	GARAGE_DISPLAY_TEMPLATE	DECAY_RATE	REPAIR_RATE	CAN_REPAIR_DISABLED
s	s	s	s	f[100]	f[0.1]	i
spdrbike	object/intangible/vehicle/speederbike_pcd.iff	object/mobile/vehicle/speederbike.iff	object/tangible/tcg/series7/garage_display_vehicles/speederbike.iff	25	4	0
swoop	object/intangible/vehicle/speederbike_swoop_pcd.iff	object/mobile/vehicle/speederbike_swoop.iff	object/tangible/tcg/series7/garage_display_vehicles/speederbike_swoop.iff	50	4	0
x34	object/intangible/vehicle/landspeeder_x34_pcd.iff	object/mobile/vehicle/landspeeder_x34.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_x34.iff	15	4	0
av21	object/intangible/vehicle/landspeeder_av21_pcd.iff	object/mobile/vehicle/landspeeder_av21.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_av21.iff	15	4	0
jetpack_mandalorian	object/intangible/vehicle/jetpack_pcd.iff	object/mobile/vehicle/jetpack.iff	object/tangible/tcg/series7/garage_display_vehicles/jetpack.iff	35	21	1
flash	object/intangible/vehicle/speederbike_flash_pcd.iff	object/mobile/vehicle/speederbike_flash.iff	object/tangible/tcg/series7/garage_display_vehicles/speederbike_flash.iff	15	4	0
x31	object/intangible/vehicle/landspeeder_x31_pcd.iff	object/mobile/vehicle/landspeeder_x31.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_x31.iff	15	4	0
barc_speeder	object/intangible/vehicle/barc_speeder_pcd.iff	object/mobile/vehicle/barc_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/barc_speeder.iff	15	4	0
xp38	object/intangible/vehicle/landspeeder_xp38_pcd.iff	object/mobile/vehicle/landspeeder_xp38.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_xp38.iff	15	4	0
v35	object/intangible/vehicle/landspeeder_v35_pcd.iff	object/mobile/vehicle/landspeeder_v35.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_v35.iff	15	4	0
ab1	object/intangible/vehicle/landspeeder_ab1_pcd.iff	object/mobile/vehicle/landspeeder_ab1.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_ab1.iff	15	4	0
usv5	object/intangible/vehicle/landspeeder_usv5_pcd.iff	object/mobile/vehicle/landspeeder_usv5.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_usv5.iff	15	4	1
desert_skiff	object/intangible/vehicle/landspeeder_desert_skiff_pcd.iff	object/mobile/vehicle/landspeeder_desert_skiff.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_desert_skiff.iff	15	4	0
tantive4	object/intangible/vehicle/landspeeder_tantive4_pcd.iff	object/mobile/vehicle/landspeeder_tantive4.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_tantive4.iff	20	7	1
lava_skiff	object/intangible/vehicle/landspeeder_lava_skiff_pcd.iff	object/mobile/vehicle/landspeeder_lava_skiff.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_lava_skiff.iff	15	4	0
walker_at_rt_reg	object/intangible/vehicle/walker_at_rt_reg_pcd.iff	object/mobile/vehicle/walker_at_rt_reg.iff	object/tangible/tcg/series7/garage_display_vehicles/walker_at_rt_reg.iff	15	1.5	1
walker_at_rt_camo	object/intangible/vehicle/walker_at_rt_camo_pcd.iff	object/mobile/vehicle/walker_at_rt_camo.iff	object/tangible/tcg/series7/garage_display_vehicles/walker_at_rt_camo.iff	15	1.5	1
barc_speeder_rebel	object/intangible/vehicle/barc_speeder_rebel_pcd.iff	object/mobile/vehicle/barc_speeder_rebel.iff	object/tangible/tcg/series7/garage_display_vehicles/barc_speeder_rebel.iff	15	0.75	1
barc_speeder_imperial	object/intangible/vehicle/barc_speeder_imperial_pcd.iff	object/mobile/vehicle/barc_speeder_imperial.iff	object/tangible/tcg/series7/garage_display_vehicles/barc_speeder_imperial.iff	15	0.75	1
temp_walker1	object/intangible/vehicle/temp_walker1_pcd.iff	object/mobile/vehicle/temp_walker1.iff	object/tangible/tcg/series7/garage_display_vehicles/temp_walker1.iff	35	21	0
barc_speeder_light_bend	object/intangible/vehicle/light_bending_barc.iff	object/mobile/vehicle/light_bending_barc.iff	object/tangible/tcg/series7/garage_display_vehicles/light_bending_barc.iff	15	0.75	1
pod_racer_one	object/intangible/vehicle/pod_racer_one_pcd.iff	object/mobile/vehicle/pod_racer_one.iff	object/tangible/tcg/series7/garage_display_vehicles/pod_racer_one.iff	15	0.75	1
pod_racer_two	object/intangible/vehicle/pod_racer_two_pcd.iff	object/mobile/vehicle/pod_racer_two.iff	object/tangible/tcg/series7/garage_display_vehicles/pod_racer_two.iff	15	0.75	1
hover_chair	object/intangible/vehicle/hover_chair_pcd.iff	object/mobile/vehicle/hover_chair.iff	object/tangible/tcg/series7/garage_display_vehicles/hover_chair.iff	15	0.75	1
mechno_chair	object/intangible/vehicle/mechno_chair_pcd.iff	object/mobile/vehicle/mechno_chair.iff	object/tangible/tcg/series7/garage_display_vehicles/mechno_chair.iff	15	0.75	1
sith_speeder	object/intangible/vehicle/sith_speeder_pcd.iff	object/mobile/vehicle/sith_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/sith_speeder.iff	15	4	1
organa_speeder	object/intangible/vehicle/landspeeder_organa_pcd.iff	object/mobile/vehicle/landspeeder_organa.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_organa.iff	15	4	1
snowspeeder	object/intangible/vehicle/snowspeeder.iff	object/mobile/vehicle/snowspeeder.iff	object/tangible/tcg/series7/garage_display_vehicles/snowspeeder.iff	15	0.75	1
hoth_at_st	object/intangible/vehicle/hoth_at_st_pcd.iff	object/mobile/vehicle/hoth_at_st.iff	object/tangible/tcg/series7/garage_display_vehicles/hoth_at_st.iff	15	1.5	1
stap_speeder	object/intangible/vehicle/stap_speeder_pcd.iff	object/mobile/vehicle/stap_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/stap_speeder.iff	15	4	1
stap_speeder_gift	object/intangible/vehicle/gift_stap_pcd.iff	object/mobile/vehicle/gift_stap_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/stap_speeder.iff	15	4	1
pod_racer_ipg_longtail	object/intangible/vehicle/pod_racer_ipg_longtail_pcd.iff	object/mobile/vehicle/pod_racer_ipg_longtail.iff	object/tangible/tcg/series7/garage_display_vehicles/pod_racer_ipg_longtail.iff	15	0.75	1
koro2_speeder	object/intangible/vehicle/koro2_speeder_pcd.iff	object/mobile/vehicle/koro2_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/koro2_speeder.iff	15	4	1
swamp_speeder	object/intangible/vehicle/swamp_speeder_pcd.iff	object/mobile/vehicle/swamp_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/swamp_speeder.iff	15	4	1
mandalorian_jetpack	object/intangible/vehicle/tcg_merr_sonn_jt12_jetpack_pcd.iff	object/mobile/vehicle/tcg_merr_sonn_jt12_jetpack.iff	object/tangible/tcg/series7/garage_display_vehicles/tcg_merr_sonn_jt12_jetpack.iff	35	21	1
walker_at_xt	object/intangible/vehicle/walker_at_xt_pcd.iff	object/mobile/vehicle/walker_at_xt.iff	object/tangible/tcg/series7/garage_display_vehicles/walker_at_xt.iff	15	1.5	1
tantive4_adv	object/intangible/vehicle/landspeeder_tantive4_adv_pcd.iff	object/mobile/vehicle/landspeeder_tantive4_adv.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_tantive4_adv.iff	15	4	1
geonosian_speeder	object/intangible/vehicle/geonosian_speeder_pcd.iff	object/mobile/vehicle/geonosian_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/geonosian_speeder.iff	15	4	1
senate_pod	object/intangible/vehicle/senate_pod_pcd.iff	object/mobile/vehicle/senate_pod.iff	object/tangible/tcg/series7/garage_display_vehicles/senate_pod.iff	15	4	1
balta_podracer	object/intangible/vehicle/pod_racer_balta_podracer_pcd.iff	object/mobile/vehicle/pod_racer_balta_podracer.iff	object/tangible/tcg/series7/garage_display_vehicles/pod_racer_balta_podracer.iff	15	0.75	1
panning_droid	object/intangible/vehicle/mustafar_panning_droid.iff	object/mobile/vehicle/mustafar_panning_droid.iff	object/tangible/tcg/series7/garage_display_vehicles/mustafar_panning_droid.iff	50	4	0
xj6_air_speeder	object/intangible/vehicle/xj6_air_speeder_pcd.iff	object/mobile/vehicle/xj6_air_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/xj6_air_speeder.iff	15	4	1
fg_8t8_podracer	object/intangible/vehicle/fg_8t8_podracer_pcd.iff	object/mobile/vehicle/fg_8t8_podracer.iff	object/tangible/tcg/series7/garage_display_vehicles/fg_8t8_podracer.iff	15	0.75	1
air2_swoop_speeder	object/intangible/vehicle/air2_swoop_speeder_pcd.iff	object/mobile/vehicle/air2_swoop_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/air2_swoop_speeder.iff	15	0.75	1
basilisk_war_droid	object/intangible/vehicle/basilisk_war_droid.iff	object/mobile/vehicle/basilisk_war_droid.iff	object/tangible/tcg/series7/garage_display_vehicles/basilisk_war_droid.iff	50	4	0
lb_pod_racer_one	object/intangible/vehicle/pod_racer_light_bending.iff	object/mobile/vehicle/pod_racer_light_bending.iff	object/tangible/tcg/series7/garage_display_vehicles/pod_racer_light_bending.iff	15	0.75	1
landspeeder_usv5_s02	object/intangible/vehicle/landspeeder_usv5_s02_pcd.iff	object/mobile/vehicle/landspeeder_usv5_s02.iff	object/tangible/tcg/series7/garage_display_vehicles/landspeeder_usv5_s02.iff	15	4	1
podracer_anakin	object/intangible/vehicle/podracer_anakin_pcd.iff	object/mobile/vehicle/podracer_anakin.iff	object/tangible/tcg/series7/garage_display_vehicles/podracer_anakin.iff	15	0.75	1
flare_s_swoop	object/intangible/vehicle/flare_s_swoop_pcd.iff	object/mobile/vehicle/flare_s_swoop.iff	object/tangible/tcg/series7/garage_display_vehicles/flare_s_swoop.iff	15	4	1
flare_s_swoop_crafted	object/intangible/vehicle/flare_s_swoop_crafted_pcd.iff	object/mobile/vehicle/flare_s_swoop_crafted.iff	object/tangible/tcg/series7/garage_display_vehicles/flare_s_swoop.iff	15	4	1
hoverlifter_speeder	object/intangible/vehicle/hoverlifter_speeder_pcd.iff	object/mobile/vehicle/hoverlifter_speeder.iff	object/tangible/tcg/series7/garage_display_vehicles/hoverlifter_speeder.iff	15	4	1
hoverlifter_speeder_crafted	object/intangible/vehicle/hoverlifter_speeder_crafted_pcd.iff	object/mobile/vehicle/hoverlifter_speeder_crafted.iff	object/tangible/tcg/series7/garage_display_vehicles/hoverlifter_speeder.iff	15	4	1
grievous_wheel_bike	object/intangible/vehicle/grievous_wheel_bike.iff	object/mobile/vehicle/grievous_wheel_bike.iff	object/tangible/tcg/series7/garage_display_vehicles/grievous_wheel_bike.iff	20	4	1
speeder_ric_920	object/intangible/vehicle/speeder_ric_920_pcd.iff	object/mobile/vehicle/speeder_ric_920.iff	object/tangible/tcg/series7/garage_display_vehicles/speeder_ric_920.iff	15	4	1
a1_deluxe_floater	object/intangible/vehicle/a1_deluxe_floater_pcd.iff	object/mobile/vehicle/a1_deluxe_floater.iff	object/tangible/tcg/series7/garage_display_vehicles/a1_deluxe_floater.iff	15	4	1
hk47_jetpack	object/intangible/vehicle/tcg_hk47_jetpack_pcd.iff	object/mobile/vehicle/tcg_hk47_jetpack.iff	object/tangible/tcg/series7/garage_display_vehicles/tcg_hk47_jetpack.iff	35	21	1
tcg_at_pt_walker	object/intangible/vehicle/tcg_at_pt_walker_pcd.iff	object/mobile/vehicle/tcg_at_pt_walker.iff	object/tangible/tcg/series7/garage_display_vehicles/tcg_at_pt_walker.iff	15	1.5	1
tcg_military_transport	object/intangible/vehicle/tcg_military_transport_pcd.iff	object/mobile/vehicle/tcg_military_transport.iff	object/tangible/tcg/series7/garage_display_vehicles/tcg_military_transport.iff	15	4	1
tcg_republic_gunship	object/intangible/vehicle/tcg_republic_gunship_pcd.iff	object/mobile/vehicle/tcg_republic_gunship.iff	object/tangible/tcg/series7/garage_display_vehicles/tcg_republic_gunship.iff	15	4	1
