questZone	escortShipTypes	escortPoints	numAttackShipLists	attackShips1	attackShips2	attackShips3	attackShips4	attackShips5	attackShips6	attackShips7	attackShips8	attackPeriod	attackListType	damageMultiplier	hateModifier	numResponses	noDistancePolling	customDistanceMessages	reward	killReward	_DESIGNER NOTES_	questSeries
s	s	s	i	s	s	s	s	s	s	s	s	i	"e(sequential=0,random=1)[sequential]"	i	i	i	i	i	i	i	s	s
space_corellia	freighterheavy_tier2	space_corellia:trade_escort_1	2	hutt_pirate_s01_tier2	hutt_fighter_s02_tier2							120	sequential	4	250	5	0	0	2500	200		pilot_profession
	freighterlight_tier2	space_corellia:trade_escort_2		hutt_pirate_s01_tier2	hutt_pirate_s02_tier2																	
	freightermedium_tier2	space_corellia:trade_escort_3																				
		space_corellia:trade_escort_4																				
		space_corellia:trade_escort_5																				
		space_corellia:trade_escort_6																				
		space_corellia:trade_escort_7																				
		space_corellia:trade_escort_8																				
		space_corellia:trade_escort_9																				
