questZone	escortShipTypes	escortPoints	numAttackShipLists	attackShips1	attackShips2	attackShips3	attackShips4	attackShips5	attackShips6	attackShips7	attackShips8	attackPeriod	attackListType	damageMultiplier	hateModifier	numResponses	noDistancePolling	customDistanceMessages	reward	killReward	_DESIGNER NOTES_	questSeries
s	s	s	i	s	s	s	s	s	s	s	s	i	"e(sequential=0,random=1)[sequential]"	i	i	i	i	i	i	i	s	s
space_endor	imp_lambda_shuttle_tier4	space_endor:tatooine_imperial_tier4_escortduty_1	3	red_skull_pirate_light_tier4	red_skull_pirate_medium_tier4	red_skull_pirate_medium_tier4						120	sequential	0	1000	5	0	0	5000	300		pilot_profession
	imp_freightermedium_tier4	space_endor:tatooine_imperial_tier4_escortduty_2		red_skull_pirate_light_tier4	red_skull_pirate_medium_tier4	red_skull_pirate_medium_tier4																
	imp_freighterlight_tier4	space_endor:tatooine_imperial_tier4_escortduty_3		red_skull_pirate_light_tier4	red_skull_pirate_medium_tier4	red_skull_pirate_light_tier4																
	imp_freighterheavy_tier4	space_endor:tatooine_imperial_tier4_escortduty_4			red_skull_pirate_medium_tier4	red_skull_pirate_light_tier4																
		space_endor:tatooine_imperial_tier4_escortduty_5																				
		space_endor:tatooine_imperial_tier4_escortduty_6																				
		space_endor:tatooine_imperial_tier4_escortduty_7																				
		space_endor:tatooine_imperial_tier4_escortduty_8																				
		space_endor:tatooine_imperial_tier4_escortduty_9																				
