zoneLine	destination	initialRequiredFlag	finalRequiredFlag	customAccessString	script	notes
s[unique]	s[tatooine:0:0:0]	s[none]	s[none]	s[default_no_access]	s[none]	s
exampleObjOrScriptVar			object_or_script_variable_name	youLackObjOrScriptVar		Script Vars go away after one use
exampleGroundQuest			has:ground_quest_name	youLackGroundQuest		has or won are the two valid checks
exampleSpaceQuest			won:space_quest_type:space_quest_name	youLackSpaceQuest		has or won are the two valid checks
exampleGroundTask			task:ground_quest_name:taskname	youLackTaskActive		Checks for isTaskActive
exampleHasItemByType			item:object_template	youLackSpecifiedObject		Checks player inventory for object
exampleHasItemByTypeWithObjvar			item:object_template:objvar_name	youLackSpecifiedObjectWithObjVar		Checks player inventory for specific object with objvar
exampleHasItemWithObjvar			item:objvar_name	youLackObjectWithObjVar		Checks player inventory for object with objvar
kachirho_deadforest	kashyyyk_dead_forest:84:26:-460					
deadforest_kachirho	kashyyyk_main:-756:18:245					
kachirho_huntinggrounds	kashyyyk_hunting:658:8:666	has:ep3_hunt_kerssoc_enter_etyyy	won:ep3_hunt_kerssoc_enter_etyyy	kerssoc_hunting_licence		
huntinggrounds_kachirho	kashyyyk_main:203:18:-425					
rryatt_kachirho	kashyyyk_main:-63:19:827					scene:x:y:z
deadforest_myyydril	instance:myyydril_caverns:kashyyyk_pob_dungeons:hall1:-4:-4:-12				theme_park.dungeon.myyydril.myyydril_player	instance:instance_name:scene:cellname:x:y:z  - Location in Cell
myyydril_deadforest	kashyyyk_dead_forest:-242:38:302					
kachirho_rryatt	instance:rryatt_trail:kashyyyk_rryatt_trail:nocell:-41.2:3.5:-3.2				theme_park.kashyyyk.rryatt_trail.rryatt_player	Location is offset from parent if there is no cell
kachirho_tree_ground_level	kashyyyk_main:-479:29:-24					
kachirho_tree_first_level	kashyyyk_main:-461:157:-71					
kachirho_tree_second_level	kashyyyk_main:-466:179:-86					
kachirho_tree_third_level	kashyyyk_main:-457:210:-84					
rryattOne_rryattTwo	offset:233:-45.3:183					offset location is from the point of the portal to a location in the same zone
rryattTwo_rryattOne	offset:-240:43.:-177					
rryattTwo_rryattThree	offset:853:62.3:-955					
rryattThree_rryattTwo	offset:-856:-62.2:953					
rryattThree_rryattFour	offset:-2294:-46:-1228					
rryattFour_rryattThree	offset:2300:46:1232					
rryattFour_rryattFive	offset:716.5:-166.3:-467.2					
rryattFive_rryattFour	offset:-718.5:166:465.3					
rryattOneF_zoneIn	offset:-593.5:53.6:-464.2					Return locations from each trail guide to the Kachirho Gate in the Rryatt
rryattTwoF_zoneIn	offset:-1083:48.2:-600					
rryattTwoM_zoneIn	offset:-830:98.2:-641.6					
rryattThreeF_zoneIn	offset:-2481:-18:-698					
rryattThreeM_zoneIn	offset:-1934.5:-14:351					
rryattFourF_zoneIn	offset:-1183:28.2:533					
rryattFourM_zoneIn	offset:-182:28.2:530					
rryattFiveM_zoneIn	offset:-1898:191.8:1000					
rryattGate_rryattTwo	offset:827:-100:675					Quest released zone transitions from the Master Trail Guide near the Kachirho Gate
rryattGate_rryattThree	offset:1942:12.9:-327.2					
rryattGate_rryattFour	offset:189.7:-29.3:-500					
rryattGate_rryattFive	offset:1906:-193:-973					
npe_space_station	instance:npe_space_station:dungeon1:hangarbay2:62.7:0.9:-33.5					Shared space station for new player experience
npe_space_dungeon	instance:npe_space_dungeon:dungeon1:cave_entrance:6.1:9.7:4.3					Shared space station dungeon player experience
aurillia_township	dathomir:5306:78:-4145					
tusken_encounter	tatooine:-3057.4:5.0:2103	won:feeder_tusken_01	won:feeder_tusken_01			
axkva_min	dathomir:-3946:124:-48	won:axkva_min_intro	won:axkva_min_intro			
ig88	lok:-7590.5:92:3491.4	won:found_ig88_encounter	won:found_ig88_encounter			
dathomir_trade_outpost	dathomir:619:6.04:3092					
mos_eisley	tatooine:3528:0:-4804					
coronet	corellia:-137:0:-4723					
theed	naboo:-4856:0:4162					
nym_stronghold	lok:416:0:5268					
station_nova_orion	instance:nova_orion_station:dungeon1:hangarbay2:62.7:0.9:-33.5					Shared space station
exar_kun	yavin4:4923:103:5603	won:exar_kun_intro_02	won:exar_kun_intro_02			
