# pixel program	sampler stage	effects
pixel_program/a_alpha_envmask.psh	1	c_alpha_envmask.eft,c_punchout_envmask.eft
pixel_program/a_alpha_envmask_ps11.psh	2	a_alpha_envmask.eft,a_alpha_envmask_spec.eft,a_alpha_envmask_spec_collide.eft,a_alpha_envmask_specmap.eft,a_alpha_envmask_specmap_collide.eft,a_punchout_envmask.eft
pixel_program/a_alpha_envmask_ps20.psh	2	a_alpha_envmask.eft,a_alpha_envmask_spec.eft,a_alpha_envmask_spec_collide.eft,a_alpha_envmask_specmap.eft,a_alpha_envmask_specmap_collide.eft
pixel_program/a_alpha_envmask_spec.psh	1	c_alpha_envmask_spec.eft,c_alpha_envmask_spec_collide.eft
pixel_program/a_alpha_envmask_spec_ps11.psh	2	a_alpha_envmask_spec.eft,a_alpha_envmask_spec_collide.eft
pixel_program/a_alpha_envmask_specmap.psh	1	c_alpha_envmask_specmap.eft
pixel_program/a_alpha_envmask_specmap_ps11.psh	2	a_alpha_envmask_specmap.eft,a_alpha_envmask_specmap_collide.eft
pixel_program/a_envmask_pp_ps20.psh	1	a_envmask.eft
pixel_program/a_envmask_ps11.psh	1	a_envmask.eft
pixel_program/a_envmask_spec_ps11.psh	1	a_envmask_spec.eft,a_envmask_specmab.eft
pixel_program/a_envmask_spec_ps20.psh	1	a_envmask_spec.eft,a_envmask_specmab.eft
pixel_program/a_envmask_spec_ps20_nodot3.psh	1	a_envmask_spec.eft,a_envmask_specmab.eft
pixel_program/a_envmask_specmap_cbmp_ps20.psh	3	a_envmask_specmap_cbmp.eft
pixel_program/a_envmask_specmap_detail_emismap_ps11.psh	3	a_envmask_specmap_detail_emismap.eft
pixel_program/a_envmask_specmap_detail_emismap_ps20.psh	3	a_envmask_specmap_detail_emismap.eft
pixel_program/a_envmask_specmap_detail_emismap_ps20_nodot3.psh	3	a_envmask_specmap_detail_emismap.eft
pixel_program/a_envmask_specmap_detail_ps11.psh	3	a_envmask_specmap_detail.eft
pixel_program/a_envmask_specmap_detail_ps20.psh	3	a_envmask_specmap_detail.eft
