strType	strComments	fltCommandSpeedModifier	fltCommandSpeed	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk1.iff	Do not edit.	0.05	34.500	150.000	150.000	0.05	75	75	1	0.05	500.000	0.05	500.000	1
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk2.iff	Do not edit.	0.05	30.000	345.000	345.000	0.05	172.5	172.5	1	0.05	500.000	0.05	1250.000	3
object/tangible/ship/components/droid_interface/ddi_cygnus_di6.iff	Do not edit.	0.05	33.750	225.000	225.000	0.05	112.5	112.5	1	0.05	500.000	0.05	875.000	2
object/tangible/ship/components/droid_interface/ddi_cygnus_di8.iff	Do not edit.	0.05	19.125	952.200	952.200	0.05	476.1	476.1	1	0.05	500.000	0.05	5462.500	6
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk1.iff	Do not edit.	0.05	30.000	345.000	345.000	0.05	172.5	172.5	1	0.05	500.000	0.05	1250.000	3
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk2.iff	Do not edit.	0.05	19.125	952.200	952.200	0.05	476.1	476.1	1	0.05	500.000	0.05	5462.500	6
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk3.iff	Do not edit.	0.05	13.500	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500.000	0.05	13650.000	8
object/tangible/ship/components/droid_interface/ddi_freitek_elite.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_freitek_modified_droid_commander_mk1.iff	Do not edit.	0.05	29.250	517.500	517.500	0.05	258.75	258.75	1	0.05	500.000	0.05	2187.500	4
object/tangible/ship/components/droid_interface/ddi_gallofree_level1.iff	Do not edit.	0.05	24.000	634.800	634.800	0.05	317.4	317.4	1	0.05	500.000	0.05	3125.000	5
object/tangible/ship/components/droid_interface/ddi_haor_chall_old_tech.iff	Do not edit.	0.05	30.000	345.000	345.000	0.05	172.5	172.5	1	0.05	500.000	0.05	1250.000	3
object/tangible/ship/components/droid_interface/ddi_haor_chall_vintage_piece.iff	Do not edit.	0.05	29.250	517.500	517.500	0.05	258.75	258.75	1	0.05	500.000	0.05	2187.500	4
object/tangible/ship/components/droid_interface/ddi_hk_advanced.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_hk_elite.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_hk_mk1.iff	Do not edit.	0.05	24.000	634.800	634.800	0.05	317.4	317.4	1	0.05	500.000	0.05	3125.000	5
object/tangible/ship/components/droid_interface/ddi_hk_mk2.iff	Do not edit.	0.05	19.125	952.200	952.200	0.05	476.1	476.1	1	0.05	500.000	0.05	5462.500	6
object/tangible/ship/components/droid_interface/ddi_hk_mk3.iff	Do not edit.	0.05	16.500	934.430	934.430	0.05	467.215	467.215	1	0.05	500.000	0.05	7800.000	7
object/tangible/ship/components/droid_interface/ddi_hk_mk4.iff	Do not edit.	0.05	13.500	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500.000	0.05	13650.000	8
object/tangible/ship/components/droid_interface/ddi_incom_advanced_droid_interface.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_incom_deluxe_droid_interface_mk1.iff	Do not edit.	0.05	33.750	225.000	225.000	0.05	112.5	112.5	1	0.05	500.000	0.05	875.000	2
object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk1.iff	Do not edit.	0.05	34.500	150.000	150.000	0.05	75	75	1	0.05	500.000	0.05	500.000	1
object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk2.iff	Do not edit.	0.05	30.000	345.000	345.000	0.05	172.5	172.5	1	0.05	500.000	0.05	1250.000	3
object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk3.iff	Do not edit.	0.05	19.125	952.200	952.200	0.05	476.1	476.1	1	0.05	500.000	0.05	5462.500	6
object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk4.iff	Do not edit.	0.05	16.500	934.430	934.430	0.05	467.215	467.215	1	0.05	500.000	0.05	7800.000	7
object/tangible/ship/components/droid_interface/ddi_incom_elite.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_incom_enhanced_droid_interface_mk4.iff	Do not edit.	0.05	13.500	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500.000	0.05	13650.000	8
object/tangible/ship/components/droid_interface/ddi_incom_fast_droid_interface_mk2.iff	Do not edit.	0.05	29.250	517.500	517.500	0.05	258.75	258.75	1	0.05	500.000	0.05	2187.500	4
object/tangible/ship/components/droid_interface/ddi_kde_governor_mk1.iff	Do not edit.	0.05	33.750	225.000	225.000	0.05	112.5	112.5	1	0.05	500.000	0.05	875.000	2
object/tangible/ship/components/droid_interface/ddi_kde_governor_mk2.iff	Do not edit.	0.05	24.000	634.800	634.800	0.05	317.4	317.4	1	0.05	500.000	0.05	3125.000	5
object/tangible/ship/components/droid_interface/ddi_kessel_imperial_cygnus_dp44.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_kessel_imperial_sds_unknown_prototype.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_kessel_imperial_sfs_imperial_finest.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_kessel_rebel_incom_dx61.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_kessel_rebel_incom_supreme_interface.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_kessel_rebel_qualdex_integrated_array.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_koensayr_simple_droid_interface.iff	Do not edit.	0.05	34.500	150.000	150.000	0.05	75	75	1	0.05	500.000	0.05	500.000	1
object/tangible/ship/components/droid_interface/ddi_koensayr_standard_droid_interface.iff	Do not edit.	0.05	33.750	225.000	225.000	0.05	112.5	112.5	1	0.05	500.000	0.05	875.000	2
object/tangible/ship/components/droid_interface/ddi_kse_advanced_manager.iff	Do not edit.	0.05	13.500	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500.000	0.05	13650.000	8
object/tangible/ship/components/droid_interface/ddi_kse_custom_manager_mk2.iff	Do not edit.	0.05	29.250	517.500	517.500	0.05	258.75	258.75	1	0.05	500.000	0.05	2187.500	4
object/tangible/ship/components/droid_interface/ddi_kse_elite_manager_1.iff	Do not edit.	0.05	13.500	1100.380	1100.380	0.05	550.19	550.19	1	0.05	500.000	0.05	19500.000	9
object/tangible/ship/components/droid_interface/ddi_kse_elite_manager_2.iff	Do not edit.	0.05	10.125	1650.570	1650.570	0.05	825.285	825.285	1	0.05	500.000	0.05	23500.000	10
object/tangible/ship/components/droid_interface/ddi_kse_enhanced_manager_mk3.iff	Do not edit.	0.05	16.500	934.430	934.430	0.05	467.215	467.215	1	0.05	500.000	0.05	7800.000	7
object/tangible/ship/components/droid_interface/ddi_kse_improved_manager_mk1.iff	Do not edit.	0.05	33.750	225.000	225.000	0.05	112.5	112.5	1	0.05	500.000	0.05	875.000	2
