strType	strComments	fltCurrentEnergy	fltMaximumEnergyModifier	fltMaximumEnergy	fltRechargeRateModifier	fltRechargeRate	fltConsumptionRateModifier	fltConsumptionRate	fltAccelerationModifier	fltAcceleration	fltMaxSpeedModifier	fltMaxSpeed	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/booster/bst_corellian_advanced_thrust_enhancer.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_corellian_elite_thrust_enhancer.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_corellian_experimental_tjh3.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_corellian_heavy_thrust_enhancer.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_corellian_highly_modified_elite_thrust_enhancer.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_corellian_performance_advanced_thrust_enhancer.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_corellian_promotional_standard_thrust_enhancer.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_corellian_standard_thrust_enhancer.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_corellian_tjh3.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
