strType	strComments	fltShieldRechargeRateModifier	fltShieldRechargeRate	fltShieldHitpointsMaximumFrontModifier	fltShieldHitpointsMaximumFront	fltShieldHitpointsMaximumBackModifier	fltShieldHitpointsMaximumBack	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_elite.iff	Do not edit.	0.27	10.269	0.33	1558.874	0.33	1558.874	1210.418	1210.418	0.05	605.209	605.209	1	0.3	3056	0.2	64350	9
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_elite_2.iff	Do not edit.	0.22	13.937	0.32	1833.97	0.32	1833.97	1375.475	1375.475	0.04	687.7375	687.7375	1	0.2	3056	0.1	62040	10
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_s1.iff	Do not edit.	0.26	1.66	0.341	200	0.341	200	150	150	0.05	75	75	1	0.35	2750	0.2	1100	1
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_s2.iff	Do not edit.	0.15	2.05	0.345	250	0.345	250	187.5	187.5	0.05	93.75	93.75	1	0.3	2556	0.2	1925	2
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_s3.iff	Do not edit.	0.26	6.43	0.341	846.4	0.341	846.4	634.8	634.8	0.05	317.4	317.4	1	0.2	2806	0.2	7562.5	5
object/tangible/ship/components/shield_generator/shd_armek_plasma_shell_s6.iff	Do not edit.	0.26	7.403	0.341	925.75	0.341	925.75	1031.55	1031.55	0.07	515.775	515.775	1	0.3	2806	0.2	15622.75	6
object/tangible/ship/components/shield_generator/shd_cygnus_elite.iff	Do not edit.	0.26	13.937	0.35	1833.97	0.35	1833.97	1306.701	1306.701	0.05	653.3505	653.3505	1	0.3	3056	0.2	59455	10
object/tangible/ship/components/shield_generator/shd_cygnus_improved_mk2.iff	Do not edit.	0.26	7.191	0.341	846.4	0.341	846.4	634.8	634.8	0.05	317.4	317.4	1	0.35	3000	0.2	7562.5	5
object/tangible/ship/components/shield_generator/shd_cygnus_mk1.iff	Do not edit.	0.26	1.52	0.341	200	0.341	200	150	150	0.05	75	75	1	0.3	2556	0.2	1100	1
object/tangible/ship/components/shield_generator/shd_cygnus_mk2.iff	Do not edit.	0.24	4.37	0.341	575	0.341	575	431.25	431.25	0.03	215.625	215.625	1	0.3	2681	0.2	5293.75	4
object/tangible/ship/components/shield_generator/shd_cygnus_mk3.iff	Do not edit.	0.22	8.037	0.32	1058	0.32	1058	793.5	793.5	0.04	396.75	396.75	1	0.2	2806	0.1	13219.25	6
object/tangible/ship/components/shield_generator/shd_cygnus_mk4.iff	Do not edit.	0.26	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.03	467.215	467.215	1	0.3	2931	0.2	23166	7
object/tangible/ship/components/shield_generator/shd_cygnus_mk5.iff	Do not edit.	0.15	12.029	0.345	1467.176	0.345	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_cygnus_special_mk1.iff	Do not edit.	0.28	1.9	0.341	250	0.341	250	187.5	187.5	0.03	93.75	93.75	1	0.3	2556	0.2	2502.5	2
object/tangible/ship/components/shield_generator/shd_dual_deflector_s1.iff	Do not edit.	0.15	1.64	0.341	200	0.341	200	150	150	0.05	75	75	1	0.3	2556	0.2	1100	1
