strType	strComments	fltMaxSpeedModifier	fltMaxSpeed	fltMaxPitchModifier	fltMaxPitch	fltMaxRollModifier	fltMaxRoll	fltMaxYawModifier	fltMaxYaw	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/engine/eng_corellian_cruiser_grade_mk1.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	165	165	0.05	82.5	82.5	1	0.14	1500	0.14	990	1
object/tangible/ship/components/engine/eng_cygnus_hd3.iff	Do not edit.	0.1	44.1	0.09	42.75	0.09	42.75	0.09	42.75	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_gallofree_jx2.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_haor_chall_old_engine.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	120	120	0.05	60	60	1	0.14	1200	0.14	990	1
object/tangible/ship/components/engine/eng_incom_light_fusialthrust.iff	Do not edit.	0.1	35.7	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	765	1
object/tangible/ship/components/engine/eng_koensayr_small_ionjet.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	855	1
object/tangible/ship/components/engine/eng_kse_a2x.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_mandal_x37_vandal.iff	Do not edit.	0.1	44.1	0.07	47.25	0.07	47.25	0.07	47.25	157.5	157.5	0.05	78.75	78.75	1	0.14	1575	0.14	945	1
object/tangible/ship/components/engine/eng_moncal_light.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_novaldex_light_eventhorizon.iff	Do not edit.	0.1	44.1	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	855	1
object/tangible/ship/components/engine/eng_qualdex_small_kyromaster.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	142.5	142.5	0.05	71.25	71.25	1	0.14	1425	0.14	900	1
object/tangible/ship/components/engine/eng_sds_imperial_1.iff	Do not edit.	0.1	46.2	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	1080	1
object/tangible/ship/components/engine/eng_sfs_imperial_1.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_sorosuub_l_337_ion_engine.iff	Do not edit.	0.1	39.9	0.07	42.75	0.07	42.75	0.07	45	142.5	142.5	0.05	71.25	71.25	1	0.14	1425	0.14	855	1
object/tangible/ship/components/engine/eng_subpro_light_engines.iff	Do not edit.	0.1	42	0.06	47.25	0.06	47.25	0.06	47.25	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_tiefighter_basic.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	945	1
object/tangible/ship/components/engine/eng_z95_basic.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/engine_test.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/xwing_engine_s01_test.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/xwing_engine_s02_test.iff	Do not edit.	0.1	42	0.07	45	0.07	45	0.07	45	150	150	0.05	75	75	1	0.14	1500	0.14	900	1
object/tangible/ship/components/engine/eng_corellian_deluxe_cruiser_grade_mk1.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1653.75	2
object/tangible/ship/components/engine/eng_cygnus_hd_5.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1496.25	2
object/tangible/ship/components/engine/eng_gallofree_jx3.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/eng_koensayr_tuned_small_ionjet.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/eng_kse_improved_a2x.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/eng_moncal_enhanced_light.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/eng_novaldex_eventhorizon.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/eng_sds_limited_imperial_1.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	178.125	178.125	0.05	89.0625	89.0625	1	0.14	1425	0.14	1575	2
object/tangible/ship/components/engine/eng_sfs_performance_imperial_1.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1496.25	2
object/tangible/ship/components/engine/eng_sorosuub_tuned_l_337_ion_engine.iff	Do not edit.	0.1	55.125	0.07	56.25	0.07	56.25	0.07	56.25	187.5	187.5	0.05	93.75	93.75	1	0.14	1500	0.14	1575	2
object/tangible/ship/components/engine/engine_surronian_a2.iff	Do not edit.	0.1	52.5	0.07	56.25	0.07	56.25	0.07	56.25	206.25	206.25	0.05	103.125	103.125	1	0.14	1500	0.14	1732.5	2
object/tangible/ship/components/engine/eng_corellian_cruiser_grade_mk2.iff	Do not edit.	0.1	39.984	0.07	47.7	0.07	47.7	0.07	47.7	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2025	3
object/tangible/ship/components/engine/eng_cygnus_hd7.iff	Do not edit.	0.1	47.04	0.07	47.7	0.07	47.7	0.07	47.7	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2362.5	3
object/tangible/ship/components/engine/eng_koensayr_dual_small_ionjet.iff	Do not edit.	0.1	47.04	0.07	47.7	0.07	47.7	0.07	47.7	276	276	0.05	138	138	1	0.14	1275	0.14	2587.5	3
object/tangible/ship/components/engine/eng_kse_a5x.iff	Do not edit.	0.1	51.744	0.07	47.7	0.07	47.7	0.07	47.7	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2812.5	3
object/tangible/ship/components/engine/eng_moncal_standard.iff	Do not edit.	0.1	49.392	0.09	45.315	0.09	45.315	0.09	45.315	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2362.5	3
object/tangible/ship/components/engine/eng_qualdex_kyromaster.iff	Do not edit.	0.1	47.04	0.06	50.085	0.06	50.085	0.06	50.085	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2362.5	3
object/tangible/ship/components/engine/eng_sfs_imperial_2.iff	Do not edit.	0.1	47.04	0.07	47.7	0.07	47.7	0.07	47.7	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2362.5	3
object/tangible/ship/components/engine/eng_sorosuub_u83r_ion_drive.iff	Do not edit.	0.1	47.04	0.07	47.7	0.07	47.7	0.07	47.7	345	345	0.05	172.5	172.5	1	0.14	1575	0.14	2362.5	3
object/tangible/ship/components/engine/engine_seinar_ps56.iff	Do not edit.	0.1	49.392	0.07	50.085	0.07	50.085	0.07	50.085	362.25	362.25	0.05	181.125	181.125	1	0.14	1650	0.14	2475	3
object/tangible/ship/components/engine/engine_surronian_a25.iff	Do not edit.	0.1	44.688	0.07	45.315	0.07	45.315	0.07	47.7	327.75	327.75	0.05	163.875	163.875	1	0.14	1500	0.14	2250	3
object/tangible/ship/components/engine/eng_incom_fusialthrust.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	4134.375	4
object/tangible/ship/components/engine/eng_koensayr_enhanced_dual_small_ionjet.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	3937.5	4
object/tangible/ship/components/engine/eng_mandal_x57_vandal.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	4134.375	4
object/tangible/ship/components/engine/eng_moncal_charged_standard.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	4134.375	4
object/tangible/ship/components/engine/eng_rss_imperial_skyrunner.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	4134.375	4
object/tangible/ship/components/engine/eng_sfs_tuned_imperial_2.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	474.375	474.375	0.05	237.1875	237.1875	1	0.14	1575	0.14	4528.125	4
object/tangible/ship/components/engine/engine_damorian_rx7.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	4331.25	4
object/tangible/ship/components/engine/engine_incom_e16.iff	Do not edit.	0.1	61.74	0.07	59.625	0.07	59.625	0.07	59.625	431.25	431.25	0.05	215.625	215.625	1	0.14	1575	0.14	3937.5	4
object/tangible/ship/components/engine/engine_kongar_defender.iff	Do not edit.	0.1	58.8	0.07	59.625	0.07	59.625	0.07	59.625	409.6875	409.6875	0.05	204.84375	204.84375	1	0.14	1500	0.14	4134.375	4
object/tangible/ship/components/engine/eng_incom_heavy_fusialthrust.iff	Do not edit.	0.1	57.948	0.07	50.56	0.07	50.56	0.07	50.56	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	7312.5	5
object/tangible/ship/components/engine/eng_kse_a7x.iff	Do not edit.	0.1	52.68	0.07	50.56	0.07	50.56	0.07	50.56	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	6187.5	5
object/tangible/ship/components/engine/eng_mandal_heavy.iff	Do not edit.	0.1	52.68	0.07	50.56	0.07	50.56	0.07	50.56	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	6187.5	5
object/tangible/ship/components/engine/eng_moncal_heavy.iff	Do not edit.	0.1	52.68	0.07	50.56	0.07	50.56	0.07	50.56	507.84	507.84	0.05	253.92	253.92	1	0.14	1350	0.14	6750	5
