strType	strComments	fltEnergyGenerationModifier	fltEnergyGeneration	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/reactor/rct_koensayr_supernova.iff	Do not edit.	0.2	9500	150	150	0.05	75	75	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_incom_mark1.iff	Do not edit.	0.2	10000	150	150	0.05	75	75	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_kse_lx11.iff	Do not edit.	0.2	10000	150	150	0.05	75	75	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_seinar_level1.iff	Do not edit.	0.2	10000	150	150	0.05	75	75	1	0	0	0.32	1320	1
object/tangible/ship/components/reactor/rct_tiefighter_basic.iff	Do not edit.	0.2	10000	165	165	0.05	82.5	82.5	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_z95_basic.iff	Do not edit.	0.2	10000	135	135	0.07	67.5	67.5	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_subpro_dyna1.iff	Do not edit.	0.21	10000	150	150	0.06	75	75	1	0	0	0.31	1320	1
object/tangible/ship/components/reactor/rct_cygnus_mk1.iff	Do not edit.	0.22	10000	150	150	0.05	75	75	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_mandal_dxr.iff	Do not edit.	0.22	10000	165	165	0.05	82.5	82.5	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_freitek_level1.iff	Do not edit.	0.2	10500	150	150	0.05	75	75	1	0	0	0.3	1320	1
object/tangible/ship/components/reactor/rct_mandal_dxr2.iff	Do not edit.	0.2	9500	225	225	0.05	112.5	112.5	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_cygnus_tuned_mk1.iff	Do not edit.	0.2	10000	225	225	0.05	112.5	112.5	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_freitek_performance_level1.iff	Do not edit.	0.2	10000	225	225	0.05	112.5	112.5	1	0	0	0.32	2310	2
object/tangible/ship/components/reactor/rct_incom_improved_mark1.iff	Do not edit.	0.2	10000	247.5	247.5	0.05	123.75	123.75	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_seinar_enhanced_level1.iff	Do not edit.	0.2	10000	202.5	202.5	0.07	101.25	101.25	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_subpro_special_dyna2.iff	Do not edit.	0.2	10000	225	225	0.05	112.5	112.5	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_koensayr_charged_supernova.iff	Do not edit.	0.22	10000	225	225	0.05	112.5	112.5	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_kse_custom_lx11.iff	Do not edit.	0.2	10500	225	225	0.05	112.5	112.5	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_watto_sunray_2.iff	Do not edit.	0.22	10500	247.5	247.5	0.05	123.75	123.75	1	0	0	0.3	2310	2
object/tangible/ship/components/reactor/rct_sfs_imperial_1.iff	Do not edit.	0.2	10500	345	345	0.06	172.5	172.5	1	0	0	0.3	3300	3
object/tangible/ship/components/reactor/rct_cygnus_mk2.iff	Do not edit.	0.2	11000	310.5	310.5	0.07	155.25	155.25	1	0	0	0.31	3300	3
object/tangible/ship/components/reactor/rct_incom_mark2.iff	Do not edit.	0.2	11000	379.5	379.5	0.05	189.75	189.75	1	0	0	0.3	3300	3
object/tangible/ship/components/reactor/rct_koensayr_supernova_mk2.iff	Do not edit.	0.2	11000	345	345	0.05	172.5	172.5	1	0	0	0.32	3300	3
object/tangible/ship/components/reactor/rct_seinar_level2.iff	Do not edit.	0.2	11000	310.5	310.5	0.07	155.25	155.25	1	0	0	0.3	3300	3
object/tangible/ship/components/reactor/rct_slayn_vortex_mk1.iff	Do not edit.	0.2	11000	345	345	0.05	172.5	172.5	1	0	0	0.3	3300	3
object/tangible/ship/components/reactor/rct_sorosuub_fusion_reactor_1.iff	Do not edit.	0.2	11000	379.5	379.5	0.06	189.75	189.75	1	0	0	0.29	3300	3
object/tangible/ship/components/reactor/rct_freitek_powerhouse_mk1.iff	Do not edit.	0.22	11000	379.5	379.5	0.05	189.75	189.75	1	0	0	0.3	3300	3
