strType	strComments	fltMinDamageModifier	fltMinDamage	fltMaxDamageModifier	fltMaxDamage	fltShieldEffectivenessModifier	fltShieldEffectiveness	fltArmorEffectivenessModifier	fltArmorEffectiveness	fltEnergyPerShotModifier	fltEnergyPerShot	fltRefireRateModifier	fltRefireRate	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/weapon/weapon_test.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_armek_advanced.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.6	0.05	0.45	0.17	29.868	0.05	0.34	990.342	990.342	0.05	495.171	495.171	1	0.17	2400	0.17	42900	9
object/tangible/ship/components/weapon/wpn_armek_elite.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.75	0.05	0.563	0.17	37.335	0.05	0.425	1237.928	1237.928	0.05	618.964	618.964	1	0.17	2400	0.17	51700	10
object/tangible/ship/components/weapon/wpn_armek_sw4.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2200	0.17	6875	5
object/tangible/ship/components/weapon/wpn_armek_sw6.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	11580.5	6
object/tangible/ship/components/weapon/wpn_armek_sw7.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1051.234	1051.234	0.05	525.617	525.617	1	0.17	2300	0.17	28665	8
object/tangible/ship/components/weapon/wpn_armek_sw8.iff	Do not edit.	0.12	1432.638	0.12	2215.197	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2100	0.17	17940	7
object/tangible/ship/components/weapon/wpn_awing_blaster.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_borstel_rg9.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_bwing_blaster.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_corellian_1d.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2300	0.17	17940	7
object/tangible/ship/components/weapon/wpn_corellian_ag1g_laser.iff	Do not edit.	0.12	1790.797	0.12	2768.996	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2100	0.17	31395	8
object/tangible/ship/components/weapon/wpn_corellian_ag2g_quad_laser.iff	Do not edit.	0.12	2228.963	0.12	3610.631	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2200	0.17	56400	10
object/tangible/ship/components/weapon/wpn_corellian_cruiser_grade_blaster_mk1.iff	Do not edit.	0.11	298.7	0.11	401.7	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	180	180	0.05	90	90	1	0.17	2000	0.17	1100	1
object/tangible/ship/components/weapon/wpn_cygnus_destroyer_mk1.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_cygnus_destroyer_mk2.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	379.5	379.5	0.05	189.75	189.75	1	0.17	2100	0.17	2875	3
object/tangible/ship/components/weapon/wpn_cygnus_elite.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2400	0.17	56400	10
object/tangible/ship/components/weapon/wpn_cygnus_eradicator_1.iff	Do not edit.	0.14	2049.468	0.14	3168.962	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2500	0.17	31395	8
object/tangible/ship/components/weapon/wpn_freitek_cannoneer_mk1.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2100	0.17	2625	3
object/tangible/ship/components/weapon/wpn_gyrhil_auto_blaster.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_gyrhil_r9x.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1513.023	1513.023	0.05	756.5115	756.5115	1	0.17	2400	0.17	61100	10
object/tangible/ship/components/weapon/wpn_haor_chall_speedblaster.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2100	0.17	2625	3
object/tangible/ship/components/weapon/wpn_hk_modified_scorcher_elite.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.75	0.05	0.75	0.17	43.557	0.05	0.44625	1513.023	1513.023	0.05	756.5115	756.5115	1	0.17	2400	0.17	65800	10
object/tangible/ship/components/weapon/wpn_hk_scorcher.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	474.375	474.375	0.05	237.1875	237.1875	1	0.17	2100	0.17	5031.25	4
object/tangible/ship/components/weapon/wpn_hk_scorcher_2.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2200	0.17	6875	5
object/tangible/ship/components/weapon/wpn_hk_scorcher_3.iff	Do not edit.	0.12	1678.563	0.12	2477.469	0.05	0.625	0.05	0.625	0.17	37.283	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	14202.5	6
