strType	strComments	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/armor/arm_corellian_advanced_durasteel.iff	Do not edit.	902.032	902.032	0.38	902.032	902.032	1	0	0	0.433	13773.24	7
object/tangible/ship/components/armor/arm_corellian_cheap_durasteel.iff	Do not edit.	144.8	144.8	0.38	144.8	144.8	1	0	0	0.24	900.9	1
object/tangible/ship/components/armor/arm_corellian_elite_durasteel.iff	Do not edit.	915.514	915.514	0.38	915.514	915.514	1	0	0	0.483	27413.1	9
object/tangible/ship/components/armor/arm_corellian_enhanced_elite_plastisteel.iff	Do not edit.	1529.525	1529.525	0.38	1529.525	1529.525	1	0	0	0.483	40650.3	10
object/tangible/ship/components/armor/arm_corellian_heavy_durasteel.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.355	9645.683	6
object/tangible/ship/components/armor/arm_corellian_improved_advanced_durasteel.iff	Do not edit.	1283.277	1283.277	0.3	1283.277	1283.277	1	0	0	0.433	24594.57	8
object/tangible/ship/components/armor/arm_corellian_light_durasteel.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_corellian_modified_heavy_durasteel.iff	Do not edit.	1039.081	1039.081	0.38	1039.081	1039.081	1	0	0	0.433	13492.44	7
object/tangible/ship/components/armor/arm_corellian_reinforced_light_durasteel.iff	Do not edit.	287.04	287.04	0.38	287.04	287.04	1	0	0	0.318	1757.25	3
object/tangible/ship/components/armor/arm_corellian_reinforced_supreme_durasteel.iff	Do not edit.	1208.948	1208.948	0.38	1208.948	1208.948	1	0	0	0.483	35135.1	9
object/tangible/ship/components/armor/arm_corellian_special_standard_durasteel.iff	Do not edit.	892.952	892.952	0.39	892.952	892.952	1	0	0	0.375	9645.683	6
object/tangible/ship/components/armor/arm_corellian_standard_durasteel.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3783.938	4
object/tangible/ship/components/armor/arm_corellian_supreme_durasteel.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.4	19189.17	8
object/tangible/ship/components/armor/arm_cygnus_light_weave.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_cygnus_standard_weave.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2207.25	3
object/tangible/ship/components/armor/arm_freitek_deluxe_light.iff	Do not edit.	181	181	0.38	181	181	1	0	0	0.24	1387.575	2
