strType	strComments	fltCurrentEnergy	fltMaxEnergyModifier	fltMaxEnergy	fltRechargeRateModifier	fltRechargeRate	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap1.iff	Do not edit.	600	0.23	600	0.2	20	150	150	0.05	75	75	1	0.22	1200	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap10.iff	Do not edit.	732.05	0.23	732.05	0.2	29.28	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap2.iff	Do not edit.	550	0.23	550	0.2	22	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap3.iff	Do not edit.	1089	0.23	1089	0.2	36.3	952.2	952.2	0.05	476.1	476.1	1	0.22	1300	0.13	12017.5	6
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap5.iff	Do not edit.	698.775	0.23	698.775	0.2	27.951	981.151	981.151	0.05	490.5755	490.5755	1	0.22	1200	0.13	18720	7
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap9.iff	Do not edit.	1048.162	0.23	1048.162	0.2	41.927	1541.81	1541.81	0.05	770.905	770.905	1	0.22	1200	0.13	32760	8
object/tangible/ship/components/weapon_capacitor/cap_corellian_deluxe_cruiser_grade_cap2.iff	Do not edit.	825	0.25	825	0.25	33	517.5	517.5	0.05	258.75	258.75	1	0.25	1050	0.18	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_corellian_elite.iff	Do not edit.	933.364	0.23	933.364	0.2	37.332	1568.042	1568.042	0.05	784.021	784.021	1	0.22	1150	0.13	61100	10
object/tangible/ship/components/weapon_capacitor/cap_corellian_standard.iff	Do not edit.	605	0.25	605	0.25	24.2	634.8	634.8	0.05	317.4	317.4	1	0.25	1100	0.18	6875	5
object/tangible/ship/components/weapon_capacitor/cap_corellian_tuned_cruiser_grade_cap1.iff	Do not edit.	825	0.2	825	0.1	33	225	225	0.05	112.5	112.5	1	0.22	1100	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_cygnus_cygcap_a.iff	Do not edit.	750	0.23	750	0.2	30	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_cygnus_cygcap_b.iff	Do not edit.	522.5	0.23	522.5	0.2	20.9	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2250	3
object/tangible/ship/components/weapon_capacitor/cap_freitek_xd2.iff	Do not edit.	495	0.23	495	0.2	19.8	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2125	3
object/tangible/ship/components/weapon_capacitor/cap_gallofree_lt22.iff	Do not edit.	825	0.23	825	0.1	39.6	517.5	517.5	0.05	258.75	258.75	1	0.22	1050	0.13	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_haor_chall_old_capacitor.iff	Do not edit.	350	0.23	350	0.2	14	105	105	0.05	52.5	52.5	1	0.22	700	0.13	700	1
object/tangible/ship/components/weapon_capacitor/cap_huppla_pasa_tisc_old_capacitor.iff	Do not edit.	866.25	0.23	866.25	0.2	34.65	543.375	543.375	0.05	271.6875	271.6875	1	0.22	1100	0.13	4812.5	4
object/tangible/ship/components/weapon_capacitor/cap_incom_bjn825.iff	Do not edit.	605	0.2	605	0.1	24.2	345	345	0.05	172.5	172.5	1	0.22	1150	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_incom_improved_rebel_mk1.iff	Do not edit.	750	0.23	750	0.2	30	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_incom_rebel_mk1.iff	Do not edit.	475	0.23	475	0.2	21	150	150	0.05	75	75	1	0.22	1050	0.13	950	1
object/tangible/ship/components/weapon_capacitor/cap_incom_special_bjn825.iff	Do not edit.	990	0.23	990	0.2	33	517.5	517.5	0.05	258.75	258.75	1	0.22	1250	0.13	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_kessel_imperial_rendili_hyperbattery.iff	Do not edit.	695.447	0.23	695.447	0.2	27.816	1045.361	1045.361	0.05	522.6805	522.6805	1	0.22	1150	0.13	44850	9
object/tangible/ship/components/weapon_capacitor/cap_kessel_imperial_sds_imperial_finest.iff	Do not edit.	1098.075	0.23	1098.075	0.2	43.92	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1200	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_kessel_imperial_sfs_array.iff	Do not edit.	732.05	0.23	732.05	0.2	29.28	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_kessel_rebel_armek_array.iff	Do not edit.	732.05	0.23	732.05	0.2	29.28	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_kessel_rebel_deepwell_k33_prototype.iff	Do not edit.	1098.075	0.25	1098.075	0.25	43.92	1650.57	1650.57	0.05	825.285	825.285	1	0.25	1200	0.18	56400	10
