resources	wt_level1	level1	wt_level2	level2	wt_level3	level3	wt_chemical	chemical	wt_technical	technical	wt_all_relic	all_relic	wt_acklay	acklay	enhanced_gaping_spider	kliknik_force_weak	kliknik_force_strong	enhanced_kwi	wt_power_cube	power_cube	level_range
s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	s	s	s	s	s	s	s
resource:ore:350	30	datatables/loot/dungeon/geonosian_bio_bunker.iff:resources	7	object/weapon/ranged/pistol/pistol_geonosian_sonic_blaster_loot.iff	14	datatables/loot/dungeon/geonosian_bio_bunker.iff:resources	1	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_chemical_tab.iff	1	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_data_tab.iff	1	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_chemical_tab.iff	8	object/tangible/component/munition/acklay_venom.iff	object/tangible/component/chemistry/spider_venom.iff	object/tangible/food/spice/spice_kliknik_boost.iff	object/tangible/food/spice/spice_kliknik_boost.iff	object/tangible/food/spice/spice_kwi_boost.iff	20	object/tangible/component/weapon/geonosian_power_cube.iff	level1 0-18
resource:metal:350	20	datatables/loot/dungeon/geonosian_bio_bunker.iff:chemical	13	datatables/loot/dungeon/geonosian_bio_bunker.iff:resources	7	object/weapon/ranged/rifle/rifle_tenloss_dxr6_disruptor_loot.iff	3	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_honey_carafe.iff	3	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_small_ball.iff	3	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_honey_carafe.iff	8	object/tangible/component/weapon/acklay_bone_reinforcement_core.iff	object/tangible/component/weapon/spider_spine.iff		object/tangible/component/armor/armor_core_assault_advanced.iff		3	object/tangible/component/weapon/geonosian_power_cube_green.iff	level2 19-24
resource:gemstone:300	20	datatables/loot/dungeon/geonosian_bio_bunker.iff:technical	15	datatables/loot/dungeon/geonosian_bio_bunker.iff:chemical	16	datatables/loot/dungeon/geonosian_bio_bunker.iff:chemical	2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_ration_kit.iff	2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_tech_kit.iff	2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_ration_kit.iff	4						1	object/tangible/component/weapon/geonosian_power_cube_red.iff	level3 24+
	10	datatables/loot/dungeon/geonosian_bio_bunker.iff:all_relic	15	datatables/loot/dungeon/geonosian_bio_bunker.iff:technical	15	datatables/loot/dungeon/geonosian_bio_bunker.iff:technical	2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_spice_container.iff			2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_spice_container.iff							2	object/tangible/component/weapon/geonosian_power_cube_yellow.iff	
	10	object/tangible/component/weapon/geonosian_sword_core.iff	16	datatables/loot/dungeon/geonosian_bio_bunker.iff:all_relic	14	datatables/loot/dungeon/geonosian_bio_bunker.iff:all_relic					1	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_data_tab.iff									
	10	object/tangible/component/weapon/geonosian_reinforcement_core.iff	10	object/tangible/component/weapon/geonosian_sword_core.iff	15	object/tangible/component/weapon/geonosian_sword_core.iff					3	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_small_ball.iff									
	6	object/tangible/component/weapon/geonosian_solidifying_agent.iff	10	object/tangible/component/weapon/geonosian_reinforcement_core.iff	15	object/tangible/component/weapon/geonosian_reinforcement_core.iff					2	object/tangible/loot/dungeon/geonosian_mad_bunker/relic_gbb_tech_kit.iff									
	15	object/tangible/component/weapon/geonosian_power_cube.iff	6	object/tangible/component/weapon/geonosian_solidifying_agent.iff	7	object/tangible/component/weapon/geonosian_solidifying_agent.iff															
			15	object/tangible/component/weapon/geonosian_power_cube.iff	20	object/tangible/component/weapon/geonosian_power_cube.iff															
			3	object/tangible/component/weapon/geonosian_power_cube_green.iff	4	object/tangible/component/weapon/geonosian_power_cube_green.iff															
			1	object/tangible/component/weapon/geonosian_power_cube_red.iff	2	object/tangible/component/weapon/geonosian_power_cube_red.iff															
			2	object/tangible/component/weapon/geonosian_power_cube_yellow.iff	3	object/tangible/component/weapon/geonosian_power_cube_yellow.iff															
			5	object/tangible/loot/loot_schematic/geonosian_reinforcement_core_schematic.iff	8	object/tangible/loot/loot_schematic/geonosian_reinforcement_core_schematic.iff															
			5	object/tangible/loot/loot_schematic/geonosian_sword_core_schematic.iff	1	object/tangible/loot/loot_schematic/geonosian_sonic_blaster_schematic.iff															
					5	object/tangible/loot/loot_schematic/geonosian_sword_core_schematic.iff
					1	object/tangible/loot/loot_schematic/geonosian_tenloss_dxr6_schematic.iff
