npe_rakqua_warrior_loot	npe_rakqua_warrior_loot_chance	npe_rakqua_bowman_loot	npe_rakqua_bowman_loot_chance	npe_rakqua_rifle_loot	npe_rakqua_rifle_loot_chance	npe_rakqua_shaman_loot	npe_rakqua_shaman_loot_chance	npe_rakqua_witch_loot	npe_rakqua_witch_loot_chance	npe_rakqua_guard_loot	npe_rakqua_guard_loot_chance	npe_venomstriker_loot	npe_venomstriker_loot_chance	npe_blightbane_loot	npe_blightbane_loot_chance	npe_quietus_loot	npe_quietus_loot_chance	npe_k3i_buzzer_loot	npe_k3i_buzzer_loot_chance	npe_i10_probe_loot	npe_i10_probe_loot_chance	npe_droid_seeker_loot	npe_droid_seeker_loot_chance	npe_droid_espy_loot	npe_droid_espy_loot_chance	npe_droid_rescind_loot	npe_droid_rescind_loot_chance	npe_droid_4warning_loot	npe_droid_4warning_loot_chance	npe_malevolence_loot	npe_malevolence_loot_chance	npe_overlord_loot	npe_overlord_loot_chance	npe_construct_loot	npe_construct_loot_chance	npe_carax_loot	npe_carax_loot_chance	npe_widow_loot	npe_widow_loot_chance	npe_battle_loot	npe_battle_loot_chance	loot_high	loot_high_chance	loot_low	loot_low_chance
s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i	s	i
static:item_npe_junk_chance_cube_01_01	8	static:weapon_carbine_02_04	1	static:weapon_carbine_02_05	1	static:weapon_rifle_02_04	1	static:weapon_rifle_02_05	1	static:weapon_pistol_02_05	1	static:item_npe_junk_creature_brain_01_01	8	static:item_npe_junk_creature_brain_01_01	8	static:item_npe_junk_creature_brain_01_01	8	static:item_npe_junk_power_unit_01_01	5	static:item_npe_junk_power_unit_01_01	5	static:item_npe_junk_power_unit_01_01	5	static:item_npe_junk_copper_battery_01_01	5	static:item_npe_junk_copper_battery_01_01	5	static:item_npe_junk_copper_battery_01_01	5	static:weapon_unarmed_04_01	1	static:weapon_pistol_04_01	1	static:weapon_sword_1h_04_01	1	static:weapon_carbine_04_01	1	static:item_npe_melee_acc_bookchip_01_01	1	static:weapon_pistol_02_05	1	static:weapon_pistol_02_05	1	static:weapon_pistol_02_04	1
static:item_npe_junk_sacred_writings_01_01	8	static:weapon_sword_2h_02_04	1	static:weapon_sword_2h_02_05	1	static:weapon_sword_1h_02_04	1	static:weapon_sword_1h_02_05	1	static:weapon_polearm_02_05	1	static:item_npe_junk_creature_eye_01_01	8	static:item_npe_junk_creature_eye_01_01	8	static:item_npe_junk_creature_eye_01_01	8	static:item_npe_junk_wire_blue_01_01	5	static:item_npe_junk_wire_blue_01_01	5	static:item_npe_junk_wire_blue_01_01	5	static:item_npe_junk_frequency_jammer_01_01	5	static:item_npe_junk_frequency_jammer_01_01	5	static:item_npe_junk_frequency_jammer_01_01	5	static:item_npe_static_shield_01_01	7	static:weapon_rifle_04_01	1	static:weapon_sword_2h_04_01	1	static:weapon_polearm_04_01	1	static:item_npe_necklace_heal_eff_01_01	1	static:weapon_rifle_02_05	1	static:weapon_rifle_02_05	1	static:weapon_rifle_02_04	1
static:item_npe_junk_bowl_01_01	8	static:item_npe_junk_chance_cube_01_01	8	static:item_npe_necklace_resists_01_01	1	static:item_npe_bracelet_ter_neg_01_01	1	static:item_npe_junk_chance_cube_01_01	8	static:item_npe_junk_chance_cube_01_01	8	static:item_npe_junk_creature_heart_01_01	8	static:item_npe_junk_creature_heart_01_01	8	static:item_npe_junk_creature_heart_01_01	8	static:item_npe_junk_circuit_board_01_01	5	static:item_npe_junk_circuit_board_01_01	5	static:item_npe_junk_circuit_board_01_01	5	static:item_npe_junk_droid_circuitry_01_01	5	static:item_npe_junk_droid_circuitry_01_01	5	static:item_npe_junk_droid_circuitry_01_01	5	datatables/loot/new_loot/elite_droid.iff:level1_10	1	static:item_npe_health_paste_01_01	1	datatables/loot/new_loot/elite_droid.iff:level1_10	3	static:item_npe_action_ventilator_01_01	1	static:item_npe_junk_copper_battery_01_01	8	static:weapon_carbine_02_05	1	static:weapon_carbine_02_05	1	static:weapon_carbine_02_04	1
static:weapon_pistol_02_04	1	static:item_npe_junk_sacred_writings_01_01	8	static:item_npe_junk_chance_cube_01_01	8	static:item_npe_junk_chance_cube_01_01	8	static:item_npe_junk_sacred_writings_01_01	8	static:item_npe_junk_sacred_writings_01_01	8	datatables/loot/new_loot/elite_droid.iff:level1_10	2	datatables/loot/new_loot/elite_droid.iff:level1_10	2	datatables/loot/new_loot/elite_npc.iff:level1_10	2	static:item_npe_junk_holo_recorder_01_01	5	static:item_npe_junk_holo_recorder_01_01	5	static:item_npe_junk_holo_recorder_01_01	5	static:item_npe_junk_complex_module_01_01	5	static:item_npe_junk_complex_module_01_01	5	static:item_npe_junk_complex_module_01_01	5			static:item_npe_rang_acc_device_01_01	1			datatables/loot/new_loot/elite_creature.iff:level1_10	3	static:item_npe_junk_frequency_jammer_01_01	8	static:weapon_polearm_02_05	1	static:weapon_polearm_02_05	1	static:weapon_polearm_02_04	1
static:weapon_polearm_02_04	1	static:item_npe_junk_bowl_01_01	8	static:item_npe_junk_sacred_writings_01_01	8	static:item_npe_junk_sacred_writings_01_01	8	static:item_npe_junk_bowl_01_01	8	static:item_npe_junk_bowl_01_01	8							datatables/loot/new_loot/elite_droid.iff:level1_10	3	datatables/loot/new_loot/elite_droid.iff:level1_10	3	datatables/loot/new_loot/elite_droid.iff:level1_10	3	datatables/loot/new_loot/elite_droid.iff:level1_10	3	datatables/loot/new_loot/elite_droid.iff:level1_10	3	datatables/loot/new_loot/elite_creature.iff:level1_10	3			datatables/loot/new_loot/elite_creature.iff:level1_10	6					static:item_npe_junk_droid_circuitry_01_01	8	static:weapon_sword_1h_02_05	1	static:weapon_sword_1h_02_05	1	static:weapon_sword_1h_02_04	1
datatables/loot/new_loot/elite_npc.iff:level1_10	2	datatables/loot/new_loot/elite_npc.iff:level1_10	2	static:item_npe_junk_bowl_01_01	8	static:item_npe_junk_bowl_01_01	8	datatables/loot/new_loot/elite_npc.iff:level1_10	2	datatables/loot/new_loot/elite_npc.iff:level1_10	2																											static:item_npe_junk_complex_module_01_01	8	static:weapon_sword_2h_02_05	1	static:weapon_sword_2h_02_05	1	static:static:weapon_sword_2h_02_04	1
				datatables/loot/new_loot/elite_npc.iff:level1_10	2	datatables/loot/new_loot/elite_npc.iff:level1_10	2																															datatables/loot/new_loot/elite_creature.iff:level1_10	3	static:item_npe_junk_copper_battery_01_01	8	static:item_npe_junk_power_unit_01_01	5	static:item_npe_junk_power_unit_01_01	5
																																								static:item_npe_junk_frequency_jammer_01_01	8	static:item_npe_junk_ampule_container_01_01	5	static:item_npe_junk_ampule_container_01_01	5
																																								static:item_npe_junk_droid_circuitry_01_01	8	static:item_npe_junk_wire_blue_01_01	5	static:item_npe_junk_wire_blue_01_01	5
																																								static:item_npe_junk_complex_module_01_01	8	static:item_npe_junk_briefcase_01_01	5	static:item_npe_junk_briefcase_01_01	5
																																								datatables/loot/new_loot/elite_creature.iff:level1_10	3	static:item_npe_junk_holo_recorder_01_01	5	static:item_npe_junk_holo_recorder_01_01	5
																																										static:item_npe_junk_newsfilter_module_01_01	5	static:item_npe_junk_newsfilter_module_01_01	5
																																										static:item_npe_junk_chem_dispersal_01_01	5	static:item_npe_junk_chem_dispersal_01_01	5
																																										static:item_npe_junk_circuit_board_01_01	5	static:item_npe_junk_circuit_board_01_01	5
																																										static:item_npe_junk_dirty_cloth_01_01	5	static:item_npe_junk_dirty_cloth_01_01	5
																																										static:item_npe_junk_complex_module_01_01	5	static:item_npe_junk_complex_module_01_01	5
																																										static:item_npe_junk_copper_battery_01_01	5	static:item_npe_junk_copper_battery_01_01	5
																																										static:item_npe_junk_blank_datadisk_01_01	5	static:item_npe_junk_blank_datadisk_01_01	5
																																										static:item_npe_junk_decryptor_01_01	5	static:item_npe_junk_decryptor_01_01	5
																																										static:item_npe_junk_worklight_01_01	5	static:item_npe_junk_worklight_01_01	5
																																										static:item_npe_junk_enigmatic_circuit_01_01	5	static:item_npe_junk_enigmatic_circuit_01_01	5
																																										static:item_npe_junk_frequency_jammer_01_01	5	static:item_npe_junk_frequency_jammer_01_01	5
																																										static:item_npe_junk_bookchip_01_01	5	static:item_npe_junk_bookchip_01_01	5
																																										static:item_npe_junk_palm_diary_01_01	5	static:item_npe_junk_palm_diary_01_01	5
																																										static:item_npe_junk_imitation_pearl_01_01	5	static:item_npe_junk_imitation_pearl_01_01	5
																																										static:item_npe_junk_droid_circuitry_01_01	5	static:item_npe_junk_droid_circuitry_01_01	5
																																										static:item_npe_junk_creature_brain_01_01	5	static:item_npe_junk_creature_brain_01_01	5
																																										static:item_npe_junk_creature_eye_01_01	5	static:item_npe_junk_creature_eye_01_01	5
																																										static:item_npe_junk_creature_heart_01_01	5	static:item_npe_junk_creature_heart_01_01	5
																																										static:item_npe_junk_chance_cube_01_01	5	static:item_npe_junk_chance_cube_01_01	5
																																										static:item_npe_junk_sacred_writings_01_01	5	static:item_npe_junk_sacred_writings_01_01	5
																																										static:item_npe_junk_bowl_01_01	5	static:item_npe_junk_bowl_01_01	5
																																										datatables/loot/new_loot/elite_creature.iff:level1_10	15	datatables/loot/new_loot/elite_creature.iff:level1_10	15
