warren1	warren2	warren3	warren4	level_range
s	s	s	s	s
datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	
datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	
datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	
level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	
level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	
level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_melee	
level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_melee	
datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	
datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	
level:weapon_munition	level:weapon_munition	level:weapon_munition	level:weapon_munition	
datatables/loot/generic.iff:component	datatables/loot/generic.iff:component	datatables/loot/generic.iff:component	datatables/loot/generic.iff:component	
