generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	object/weapon/ranged/heavy/heavy_rocket_launcher.iff	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	object/weapon/ranged/pistol/pistol_republic_blaster.iff	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	datatables/loot/generic.iff:jacket	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	object/weapon/ranged/pistol/pistol_scatter.iff	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	level:weapon_ranged	datatables/loot/generic.iff:jacket	datatables/loot/generic.iff:jacket	datatables/loot/npc/criminal.iff:generic	object/weapon/ranged/rifle/rifle_acid_beam.iff	level4 15-19
datatables/loot/generic.iff:misc		level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	datatables/loot/generic.iff:jacket	object/weapon/ranged/rifle/rifle_beam.iff	level5 20+
datatables/loot/generic.iff:tool		level:weapon_melee	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged		
datatables/loot/npc/criminal.iff:resources		level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_ranged		
		datatables/loot/generic.iff:accessory	level:weapon_melee	level:weapon_melee	level:weapon_ranged		
		datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	level:weapon_melee		
		object/tangible/container/jar/jar_spice_s01.iff	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	level:weapon_melee		
		level:weapon_munition	object/tangible/container/jar/jar_spice_s01.iff	datatables/loot/generic.iff:accessory	level:weapon_melee		
			object/tangible/container/jar/jar_spice_s02.iff	object/tangible/container/jar/jar_spice_s01.iff	datatables/loot/generic.iff:accessory		
			level:weapon_munition	object/tangible/container/jar/jar_spice_s02.iff	datatables/loot/generic.iff:accessory		
				object/tangible/container/jar/jar_spice_s03.iff	datatables/loot/generic.iff:accessory		
				level:weapon_munition	datatables/loot/generic.iff:accessory
				level:weapon_munition	object/tangible/container/jar/jar_spice_s01.iff
					object/tangible/container/jar/jar_spice_s02.iff
					object/tangible/container/jar/jar_spice_s03.iff
					level:weapon_munition
					level:weapon_munition
					level:weapon_munition
