generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/mercenary.iff:generic	object/weapon/ranged/grenade/grenade_cryoban.iff	object/weapon/ranged/pistol/pistol_scatter.iff	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/mercenary.iff:generic	object/weapon/ranged/grenade/grenade_fallback.iff	object/weapon/ranged/rifle/rifle_flame_thrower.iff	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	object/weapon/ranged/grenade/grenade_fragmentation.iff	object/weapon/ranged/rifle/rifle_jawa_ion.iff	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	level:weapon_melee	level:weapon_melee	level:weapon_melee	object/weapon/ranged/grenade/grenade_fragmentation_light.iff	object/weapon/ranged/pistol/pistol_scatter.iff	level4 15-19
datatables/loot/generic.iff:misc					object/weapon/ranged/grenade/grenade_glop.iff	object/weapon/ranged/rifle/rifle_flame_thrower.iff	level5 20+
datatables/loot/generic.iff:tool					object/weapon/ranged/grenade/grenade_imperial_detonator.iff	object/weapon/ranged/rifle/rifle_jawa_ion.iff	
datatables/loot/npc/criminal.iff:resources					object/weapon/ranged/grenade/grenade_proton.iff	object/weapon/ranged/pistol/pistol_scatter.iff	
					object/weapon/ranged/grenade/grenade_thermal_detonator.iff	object/weapon/ranged/rifle/rifle_flame_thrower.iff	
						object/weapon/ranged/rifle/rifle_jawa_ion.iff	
