generic	grenade_weak	grenade_medium	grenade_strong
s	s	s	s
datatables/loot/dungeon/dungeon_expendable.iff:grenade_weak	object/weapon/ranged/grenade/grenade_cryoban_loot_weak.iff	object/weapon/ranged/grenade/grenade_cryoban_loot_medium.iff	object/weapon/ranged/grenade/grenade_cryoban_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_weak	object/weapon/ranged/grenade/grenade_fragmentation_loot_weak.iff	object/weapon/ranged/grenade/grenade_fragmentation_loot_medium.iff	object/weapon/ranged/grenade/grenade_fragmentation_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_weak	object/weapon/ranged/grenade/grenade_glop_loot_weak.iff	object/weapon/ranged/grenade/grenade_glop_loot_medium.iff	object/weapon/ranged/grenade/grenade_glop_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_weak	object/weapon/ranged/grenade/grenade_imperial_detonator_loot_weak.iff	object/weapon/ranged/grenade/grenade_imperial_detonator_loot_medium.iff	object/weapon/ranged/grenade/grenade_imperial_detonator_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_weak	object/weapon/ranged/grenade/grenade_proton_loot_weak.iff	object/weapon/ranged/grenade/grenade_proton_loot_medium.iff	object/weapon/ranged/grenade/grenade_proton_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_medium	object/weapon/ranged/grenade/grenade_therman_detonator_loot_weak.iff	object/weapon/ranged/grenade/grenade_therman_detonator_loot_medium.iff	object/weapon/ranged/grenade/grenade_therman_detonator_loot_strong.iff
datatables/loot/dungeon/dungeon_expendable.iff:grenade_medium			
datatables/loot/dungeon/dungeon_expendable.iff:grenade_medium			
datatables/loot/dungeon/dungeon_expendable.iff:grenade_medium			
datatables/loot/dungeon/dungeon_expendable.iff:grenade_strong			
datatables/loot/dungeon/dungeon_expendable.iff:grenade_strong			
