generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/nightsister.iff:generic	datatables/loot/npc/nightsister.iff:generic	datatables/loot/npc/nightsister.iff:generic	datatables/loot/npc/nightsister.iff:generic	datatables/loot/npc/nightsister.iff:generic	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	resource:creature_resources:150	resource:creature_resources:250	resource:creature_resources:350	resource:creature_resources:450	datatables/loot/npc/nightsister.iff:generic	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	resource:creature_resources:150	resource:creature_resources:250	resource:creature_resources:350	resource:creature_resources:450	datatables/loot/npc/nightsister.iff:generic	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	datatables/loot/generic.iff:food	datatables/loot/generic.iff:food	datatables/loot/generic.iff:food	datatables/loot/generic.iff:food	datatables/loot/npc/nightsister.iff:clothing	level4 15-19
datatables/loot/generic.iff:misc				object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff	datatables/loot/npc/nightsister.iff:clothing	level5 20+
datatables/loot/generic.iff:tool						datatables/loot/npc/nightsister.iff:clothing	
datatables/loot/npc/criminal.iff:resources						object/weapon/melee/polearm/polearm_vibro_axe.iff	
						object/weapon/melee/polearm/polearm_vibro_axe.iff	
						object/weapon/melee/polearm/polearm_vibro_axe.iff	
