generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	object/tangible/fishing/fishing_pole.iff	object/tangible/dice/eqp_chance_cube.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	object/tangible/fishing/fishing_pole.iff	object/tangible/magic_eight_ball/magic_eight_ball.iff	object/weapon/melee/polearm/lance_staff_wood_s2.iff	object/weapon/melee/polearm/lance_staff_wood_s2.iff	object/weapon/melee/2h_sword/2h_sword_cleaver.iff	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	level:weapon_ranged	object/tangible/loot/misc/palm_frond.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/2h_sword/2h_sword_katana.iff	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	level:weapon_melee	object/tangible/loot/misc/datadisk_corrupt.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/2h_sword/2h_sword_maul.iff	level4 15-19
datatables/loot/generic.iff:misc		object/tangible/fishing/bait/bait_chum.iff	object/tangible/loot/misc/firework_dud_s1.iff	resource:ore:150	resource:ore:150	object/weapon/melee/2h_sword/2h_sword_scythe.iff	level5 20+
datatables/loot/generic.iff:tool		object/tangible/fishing/bait/bait_grub.iff	object/tangible/loot/misc/firework_dud_s2.iff	resource:metal:150	resource:metal:150	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	
datatables/loot/npc/criminal.iff:resources		object/tangible/fishing/bait/bait_insect.iff	object/tangible/loot/misc/ticket_expired.iff	resource:water:150	resource:water:150	object/weapon/melee/2h_sword/2h_sword_cleaver.iff	
		object/tangible/fishing/bait/bait_worm.iff	object/tangible/loot/misc/slave_collar.iff	resource:ore:150	resource:ore:150	object/weapon/melee/2h_sword/2h_sword_katana.iff	
		resource:ore:150	object/tangible/dice/eqp_one_hundred_sided_dice_set.iff	resource:metal:150	resource:metal:150	object/weapon/melee/2h_sword/2h_sword_maul.iff	
		resource:metal:150	object/tangible/dice/eqp_six_sided_dice_set.iff	resource:water:150	resource:water:150	object/weapon/melee/2h_sword/2h_sword_scythe.iff	
		resource:water:150	object/tangible/dice/eqp_ten_sided_dice_set.iff		resource:ore:150	resource:ore:150	
			object/tangible/dice/eqp_twelve_sided_dice_set.iff		resource:metal:150	resource:metal:150	
			object/tangible/dice/eqp_twenty_sided_dice_set.iff		resource:water:150	resource:water:150	
			object/tangible/loot/misc/decryptor_broken_s01.iff			resource:ore:150	
			object/tangible/loot/misc/picture_handheld_s01.iff			resource:metal:150
			object/tangible/loot/misc/picture_handheld_s02.iff			resource:water:150
			object/tangible/loot/misc/worklight.iff			
