generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	object/tangible/loot/tool/datapad_broken.iff	object/tangible/loot/tool/datapad_broken.iff	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	level2 5-9
datatables/loot/generic.iff:food	resource:water:50		level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	datatables/loot/npc/imperial.iff:generic	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10			object/tangible/loot/tool/datapad_broken.iff	level:weapon_ranged	level:weapon_ranged	level4 15-19
datatables/loot/generic.iff:misc					object/tangible/loot/tool/datapad_broken.iff	level:weapon_ranged	level5 20+
datatables/loot/generic.iff:tool					object/weapon/ranged/rifle/rifle_flame_thrower.iff	object/tangible/loot/tool/datapad_broken.iff	
datatables/loot/npc/criminal.iff:resources						level:weapon_munition	
						object/weapon/ranged/rifle/rifle_beam.iff	
						object/weapon/ranged/pistol/pistol_launcher.iff	
						object/weapon/ranged/heavy/heavy_particle_beam.iff	
