resources	blksun_interior	dthwatch_lvl1	dthwatch_lvl2	dthwatch_boss	dthwatch_miner	dthwatch_civilian
s	s	s	s	s	s	s
resource:ore:350	object/tangible/loot/tool/usable_datapad.iff	object/tangible/loot/tool/usable_datapad.iff	object/tangible/loot/tool/usable_datapad.iff	object/tangible/loot/dungeon/death_watch_bunker/ducted_fan.iff	datatables/loot/dungeon/death_watch_bunker.iff:resources	object/tangible/loot/tool/usable_datapad.iff
resource:metal:350	object/tangible/loot/loot_schematic/death_watch_pistol_de_10_schematic.iff	object/tangible/wearables/goggles/rebreather.iff	object/tangible/wearables/goggles/rebreather.iff	object/tangible/loot/dungeon/death_watch_bunker/fuel_dispersion_unit.iff	object/tangible/loot/tool/usable_datapad.iff	object/tangible/wearables/goggles/rebreather.iff
resource:gemstone:300	object/tangible/wearables/goggles/rebreather.iff	object/tangible/loot/loot_schematic/death_watch_pistol_de_10_schematic.iff	object/tangible/loot/dungeon/death_watch_bunker/ducted_fan.iff	object/tangible/loot/dungeon/death_watch_bunker/fuel_injector_tank.iff	object/tangible/wearables/goggles/rebreather.iff	object/tangible/dungeon/death_watch_bunker/gel_packet.iff
	object/tangible/loot/loot_schematic/death_watch_executioners_hack_schematic.iff	object/tangible/loot/loot_schematic/death_watch_executioners_hack_schematic.iff	object/tangible/loot/dungeon/death_watch_bunker/fuel_dispersion_unit.iff	object/tangible/loot/dungeon/death_watch_bunker/jetpack_stabilizer.iff	object/tangible/dungeon/death_watch_bunker/gel_packet.iff	
	object/tangible/loot/dungeon/death_watch_bunker/pistol_de10_barrel.iff	object/tangible/loot/dungeon/death_watch_bunker/ducted_fan.iff	object/tangible/loot/loot_schematic/death_watch_pistol_de_10_schematic.iff	object/tangible/loot/dungeon/death_watch_bunker/emulsion_protection.iff		
	object/tangible/dungeon/death_watch_bunker/gel_packet.iff	object/tangible/loot/dungeon/death_watch_bunker/pistol_de10_barrel.iff	object/tangible/loot/loot_schematic/death_watch_executioners_hack_schematic.iff	object/tangible/loot/dungeon/death_watch_bunker/binary_liquid.iff		
		object/tangible/loot/dungeon/death_watch_bunker/emulsion_protection.iff	object/tangible/loot/dungeon/death_watch_bunker/fuel_injector_tank.iff	object/tangible/loot/loot_schematic/death_watch_drink_mandalorian_wine_schematic.iff		
		object/tangible/loot/dungeon/death_watch_bunker/binary_liquid.iff	object/tangible/loot/dungeon/death_watch_bunker/pistol_de10_barrel.iff			
		object/tangible/loot/loot_schematic/death_watch_drink_mandalorian_wine_schematic.iff	object/tangible/loot/dungeon/death_watch_bunker/emulsion_protection.iff			
		object/tangible/dungeon/death_watch_bunker/gel_packet.iff	object/tangible/loot/dungeon/death_watch_bunker/binary_liquid.iff			
			object/tangible/loot/loot_schematic/death_watch_drink_mandalorian_wine_schematic.iff			
			object/tangible/dungeon/death_watch_bunker/gel_packet.iff			
