generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/heavy/heavy_rocket_launcher.iff	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	object/tangible/medicine/newbie_medpack_wound_action.iff	object/tangible/medicine/newbie_medpack_wound_action.iff	datatables/loot/npc/imperial.iff:generic	level:weapon_melee	datatables/loot/npc/imperial.iff:generic	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	object/tangible/medicine/newbie_medpack_wound_health.iff	level:weapon_ranged	level:weapon_ranged	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	datatables/loot/npc/imperial.iff:generic	object/tangible/medicine/newbie_medpack_damage.iff	level:weapon_melee	datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	level4 15-19
datatables/loot/generic.iff:misc		object/tangible/medicine/newbie_medpack_wound_action.iff	level:weapon_ranged	datatables/loot/npc/imperial.iff:generic	level:weapon_ranged	level:weapon_ranged	level5 20+
datatables/loot/generic.iff:tool		object/tangible/medicine/newbie_medpack_wound_health.iff	object/tangible/medicine/newbie_medpack_wound_health.iff	datatables/loot/npc/imperial.iff:generic	level:weapon_ranged	level:weapon_ranged	
datatables/loot/npc/criminal.iff:resources		datatables/loot/npc/imperial.iff:generic	datatables/loot/npc/imperial.iff:generic	level:weapon_ranged	object/tangible/loot/tool/datapad_broken.iff	object/tangible/loot/tool/datapad_broken.iff	
		object/tangible/loot/tool/datapad_broken.iff	object/tangible/loot/tool/datapad_broken.iff	object/tangible/loot/tool/datapad_broken.iff	object/tangible/medicine/newbie_medpack_wound_action.iff	level:weapon_munition	
			level:weapon_ranged	object/tangible/medicine/newbie_medpack_wound_action.iff	object/tangible/medicine/newbie_medpack_wound_health.iff	object/tangible/medicine/newbie_medpack_wound_action.iff	
				object/tangible/medicine/newbie_medpack_wound_health.iff		object/tangible/medicine/newbie_medpack_wound_health.iff	
