common_junk_loot	common_collectible	rare_junk_loot	rare_collectible	very_rare_junk_loot	very_rare_collectible
s	s	s	s	s	s
item_meatlump_junkloot_sculpture_01_01	meatlump_uniform_piece_02_05	item_meatlump_junkloot_sculpture_01_02	meatlump_uniform_piece_02_03	item_meatlump_junkloot_pet_01_01	meatlump_uniform_piece_02_02
item_meatlump_junkloot_bedroll_01_01	meatlump_hench_doll_arm_l_02_01	item_meatlump_junkloot_towel_01_01	meatlump_uniform_piece_02_04	item_meatlump_junkloot_pet_01_02	meatlump_officer_doll_leg_r_02_01
item_meatlump_junkloot_pie_01_01	meatlump_code_word_02_01	item_meatlump_junkloot_drainstopper_01_01	meatlump_hench_doll_head_02_01	item_meatlump_junkloot_pet_01_03	meatlump_king_doll_head_02_01
item_meatlump_junkloot_petrified_meatlump_01_01	meatlump_code_word_02_02	item_meatlump_junkloot_lumpclip_01_01	meatlump_hench_doll_leg_l_02_01	item_meatlump_junkloot_plunger_01_01	item_meatlump_rank_08
item_meatlump_junkloot_handtorch_01_01	meatlump_code_word_02_03		meatlump_hench_doll_leg_r_02_01		item_meatlump_rank_07
item_meatlump_junkloot_flaring_kit_01_01	meatlump_code_word_02_04		meatlump_officer_doll_head_02_01		
item_meatlump_junkloot_temperature_clamp_01_01	meatlump_code_word_02_05		meatlump_officer_doll_arm_l_02_01		
item_meatlump_junkloot_instrument_pouch_01_01	meatlump_code_word_02_07		meatlump_officer_doll_arm_r_02_01		
item_meatlump_junkloot_magnetic_locator_01_01	meatlump_code_word_02_09		meatlump_officer_stuffing_02_01		
item_meatlump_junkloot_pipe_cutter_01_01	meatlump_newspaper_02_01		meatlump_king_doll_arm_l_02_01		
item_meatlump_junkloot_pressure_gauge_01_01	meatlump_newspaper_02_02		meatlump_king_doll_arm_r_02_01		
item_meatlump_junkloot_leak_system_01_01	meatlump_newspaper_02_03		meatlump_king_doll_leg_l_02_01		
item_meatlump_junkloot_datapad_picture_01_01	meatlump_newspaper_02_04		meatlump_king_doll_leg_r_02_01		
	meatlump_newspaper_02_10		meatlump_code_word_02_06		
	item_meatlump_rank_01		meatlump_code_word_02_08
	item_meatlump_rank_02		meatlump_code_word_02_10
			meatlump_newspaper_02_05
			meatlump_newspaper_02_06
			meatlump_newspaper_02_07
			item_meatlump_rank_03
			item_meatlump_rank_04
			item_meatlump_rank_05
			item_meatlump_rank_06
