generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	datatables/loot/npc/mercenary.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	level:weapon_ranged	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	level:weapon_melee	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	datatables/loot/npc/criminal.iff:generic	level4 15-19
datatables/loot/generic.iff:misc			datatables/loot/generic.iff:jacket	datatables/loot/generic.iff:jacket	datatables/loot/generic.iff:jacket	datatables/loot/generic.iff:jacket	level5 20+
datatables/loot/generic.iff:tool			level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	
datatables/loot/npc/criminal.iff:resources			level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	
			level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	level:weapon_ranged	
			level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_melee	
			level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_melee	
			level:weapon_melee	level:weapon_melee	level:weapon_melee	level:weapon_melee	
			datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	
			datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	
				datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	
				datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory	datatables/loot/generic.iff:accessory
				object/tangible/container/jar/jar_spice_s01.iff	object/tangible/container/jar/jar_spice_s01.iff	object/tangible/container/jar/jar_spice_s01.iff
				object/tangible/container/jar/jar_spice_s02.iff	object/tangible/container/jar/jar_spice_s02.iff	object/tangible/container/jar/jar_spice_s02.iff
				object/tangible/container/jar/jar_spice_s03.iff	object/tangible/container/jar/jar_spice_s03.iff	object/tangible/container/jar/jar_spice_s03.iff
					level:weapon_munition	level:weapon_munition
					level:weapon_munition	level:weapon_munition
					level:weapon_munition	level:weapon_munition
