tatooine	naboo	corellia	rori	talus	dantooine	lok	yavin4	endor	dathomir	collections
s	s	s	s	s	s	s	s	s	s	s
armor_assault_agi_lvl20_bicep_l_02_01	item_clothing_backpack_agi_lvl20_02_01	item_clothing_backpack_agi_lvl30_02_01	item_clothing_backpack_agi_lvl40_02_01	item_clothing_backpack_agi_lvl50_02_01	item_clothing_backpack_agi_lvl50_02_01	item_clothing_backpack_agi_lvl60_02_01	item_clothing_backpack_agi_lvl70_02_01	item_clothing_backpack_agi_lvl80_02_01	item_clothing_backpack_agi_lvl80_02_01	col_gulginaw_feather_02_01
armor_assault_agi_lvl20_bicep_r_02_01	item_clothing_backpack_con_lvl20_02_01	item_clothing_backpack_con_lvl30_02_01	item_clothing_backpack_con_lvl40_02_01	item_clothing_backpack_con_lvl50_02_01	item_clothing_backpack_con_lvl50_02_01	item_clothing_backpack_con_lvl60_02_01	item_clothing_backpack_con_lvl70_02_01	item_clothing_backpack_con_lvl80_02_01	item_clothing_backpack_con_lvl80_02_01	col_kai_tok_feather_02_01
armor_assault_agi_lvl20_boots_02_01	item_clothing_backpack_lck_lvl20_02_01	item_clothing_backpack_lck_lvl30_02_01	item_clothing_backpack_lck_lvl40_02_01	item_clothing_backpack_lck_lvl50_02_01	item_clothing_backpack_lck_lvl50_02_01	item_clothing_backpack_lck_lvl60_02_01	item_clothing_backpack_lck_lvl70_02_01	item_clothing_backpack_lck_lvl80_02_01	item_clothing_backpack_lck_lvl80_02_01	col_mantigrue_feather_02_01
armor_assault_agi_lvl20_bracer_l_02_01	item_clothing_backpack_pre_lvl20_02_01	item_clothing_backpack_pre_lvl30_02_01	item_clothing_backpack_pre_lvl40_02_01	item_clothing_backpack_pre_lvl50_02_01	item_clothing_backpack_pre_lvl50_02_01	item_clothing_backpack_pre_lvl60_02_01	item_clothing_backpack_pre_lvl70_02_01	item_clothing_backpack_pre_lvl80_02_01	item_clothing_backpack_pre_lvl80_02_01	col_peko_peko_feather_02_01
armor_assault_agi_lvl20_bracer_r_02_01	item_clothing_backpack_sta_lvl20_02_01	item_clothing_backpack_sta_lvl30_02_01	item_clothing_backpack_sta_lvl40_02_01	item_clothing_backpack_sta_lvl50_02_01	item_clothing_backpack_sta_lvl50_02_01	item_clothing_backpack_sta_lvl60_02_01	item_clothing_backpack_sta_lvl70_02_01	item_clothing_backpack_sta_lvl80_02_01	item_clothing_backpack_sta_lvl80_02_01	col_perlek_feather_02_01
armor_assault_agi_lvl20_chest_02_01	item_clothing_backpack_str_lvl20_02_01	item_clothing_backpack_str_lvl30_02_01	item_clothing_backpack_str_lvl40_02_01	item_clothing_backpack_str_lvl50_02_01	item_clothing_backpack_str_lvl50_02_01	item_clothing_backpack_str_lvl60_02_01	item_clothing_backpack_str_lvl70_02_01	item_clothing_backpack_str_lvl80_02_01	item_clothing_backpack_str_lvl80_02_01	col_whisper_bird_feather_02_01
armor_assault_agi_lvl20_gloves_02_01	item_clothing_bandolier_agi_lvl20_02_01	item_clothing_bandolier_agi_lvl30_02_01	item_clothing_bandolier_agi_lvl40_02_01	item_clothing_bandolier_agi_lvl50_02_01	item_clothing_bandolier_agi_lvl50_02_01	item_clothing_bandolier_agi_lvl60_02_01	item_clothing_bandolier_agi_lvl70_02_01	item_clothing_bandolier_agi_lvl80_02_01	item_clothing_bandolier_agi_lvl80_02_01	col_rancor_bone_02_01
armor_assault_agi_lvl20_helmet_02_01	item_clothing_bandolier_con_lvl20_02_01	item_clothing_bandolier_con_lvl30_02_01	item_clothing_bandolier_con_lvl40_02_01	item_clothing_bandolier_con_lvl50_02_01	item_clothing_bandolier_con_lvl50_02_01	item_clothing_bandolier_con_lvl60_02_01	item_clothing_bandolier_con_lvl70_02_01	item_clothing_bandolier_con_lvl80_02_01	item_clothing_bandolier_con_lvl80_02_01	col_rancor_entrails_02_01
armor_assault_agi_lvl20_leggings_02_01	item_clothing_bandolier_lck_lvl20_02_01	item_clothing_bandolier_lck_lvl30_02_01	item_clothing_bandolier_lck_lvl40_02_01	item_clothing_bandolier_lck_lvl50_02_01	item_clothing_bandolier_lck_lvl50_02_01	item_clothing_bandolier_lck_lvl60_02_01	item_clothing_bandolier_lck_lvl70_02_01	item_clothing_bandolier_lck_lvl80_02_01	item_clothing_bandolier_lck_lvl80_02_01	col_rancor_eye_02_01
