pvp_imperial_officer_rank	pvp_rebel_officer_rank	random_imperial_logo_patch	random_rebel_logo_patch
s	s	s	s
col_imperial_rank_lt_01_01	col_rebel_rank_lt_01_01	col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_rank_cpt_01_01	col_rebel_rank_cpt_01_01	col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_rank_maj_01_01	col_rebel_rank_com_01_01	col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_rank_ltcol_01_01	col_rebel_rank_maj_01_01	col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_rank_col_01_01	col_rebel_rank_col_01_01	col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_rank_gen_01_01	col_rebel_rank_gen_01_01	col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07
		col_imperial_logo_patch_01_08	col_rebel_logo_patch_01_08
		col_imperial_logo_patch_01_09	col_rebel_logo_patch_01_09
		col_imperial_logo_patch_01_10	col_rebel_logo_patch_01_10
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
		col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
		col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
		col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
		col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
		col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
		col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07
		col_imperial_logo_patch_01_08	col_rebel_logo_patch_01_08
		col_imperial_logo_patch_01_09	col_rebel_logo_patch_01_09
		col_imperial_logo_patch_01_10	col_rebel_logo_patch_01_10
