procString	procChance	noSelfProcBuffs	noTargetProcBuffs	requiredSelfBuffs	explanation
s	i[20]	s	s	s	c
proc_cyber_shock	15				"for cybernetic items, the proc effect will happen any time the weapon type used matches combatWeaponType. For procs that are attached to specific weapons, implement that system and leave the combatWeaponType field blank."
proc_fire_attack	100				
proc_fire_attack_1	100				
proc_tow_proc_a_1	10				TOW buff
proc_tow_proc_a_2	10				TOW buff
proc_tow_proc_a_3	10				TOW buff
proc_tow_proc_b_1	10				TOW buff
proc_tow_proc_b_2	10				TOW buff
proc_tow_proc_b_3	10				TOW buff
proc_tow_proc_b_4	10				TOW buff
proc_tow_proc_b_5	5				TOW buff
proc_tow_proc_b_6	10				TOW buff
proc_tow_proc_b_7	10				TOW buff
proc_tow_proc_coyn	5				coyn weapons
proc_tow_proc_bracelet_melee	6				TOW buff
proc_tow_proc_bracelet_range	6				TOW buff
proc_tow_proc_bracelet_combo	3				TOW buff
proc_content_charged_proc_fire	5				content path
proc_content_charged_proc_cold	5				content path
proc_content_charged_proc_melee_poison_1	10				content path
proc_content_charged_proc_range_heat_1	10				content path
proc_content_charged_proc_melee_poison_2	7				content path
proc_content_charged_proc_range_heat_2	7				content path
proc_old_light_jedi_gift	8				Vet Jedi Robe Proc
proc_old_dark_jedi_gift	8				Vet Jedi Robe Proc
proc_generic_test	50				Test Proc
reac_generic_test	50				Test Reactive
expertise_generic_test_proc	50				Test Expertise Proc
expertise_generic_test_reac	50				Test Expertise Reac
forceCrystalForce	10				Village Force Crystal
forceCrystalForce	100				
bh_return_fire_1	100				
bh_armor_duelist_heal_1	100				expertise bounty hunter reactive heal
bh_armor_duelist_heal_2	100				expertise bounty hunter reactive heal
bh_armor_duelist_heal_3	100				expertise bounty hunter reactive heal
bh_armor_duelist_heal_4	100				expertise bounty hunter reactive heal
bh_armor_duelist_heal_5	100				expertise bounty hunter reactive heal
expertise_fs_force_clarity_1_proc	5				Expertise to get a second attack
expertise_fs_flurry_charge_proc	5				Expertise to charge up a Flurry charge
expertise_sm_ranged_shot_proc	0				Expertise to get a second attack
expertise_sm_melee_proc	0				Expertise to get a second attack
expertise_sm_melee_stun_proc	0		"sm_melee_stun,sm_melee_stun_recourse"		Expertise to get a second attack that stuns
expertise_sm_card_ranged_proc	0				Expertise to get a second attack through Card Up Your Sleeve
expertise_sm_card_melee_proc	0				Expertise to get a second attack through Card Up Your Sleeve
expertise_sm_feeling_lucky_chance_proc	0	"sm_feeling_lucky,sm_feeling_lucky_recourse"			Expertise to get the Feeling Lucky buff
kill_meter_co_it_burns_proc	0		fire		Expertise to get a fire debuff on target
kill_meter_co_armor_splash_proc	0		acid		Expertise to get a fire debuff on target
kill_meter_co_youll_regret_that_reac	0	co_youll_regret_that			Expertise to get youll regret that
expertise_co_burst_fire_proc	0			co_position_secured	Expertise to get a second attack through Burst Fire
gcw_base_damage_shield_a	100				gcw damage shield
gcw_base_damage_shield_b	100				gcw damage shield
gcw_base_damage_shield_c	100				gcw damage shield
gcw_base_damage_shield_d	100				gcw damage shield
gcw_base_damage_shield_e	100				gcw damage shield
gcw_base_reactive_heal_a	100				gcw reactive heal
gcw_base_reactive_heal_b	100				gcw reactive heal
gcw_base_reactive_heal_c	100				gcw reactive heal
gcw_base_reactive_heal_d	100				gcw reactive heal
gcw_base_reactive_heal_e	100				gcw reactive heal
gcw_base_reactive_action_a	10				gcw reactive action heal
gcw_base_reactive_action_b	10				gcw reactive action heal
gcw_base_reactive_action_c	10				gcw reactive action heal
gcw_base_reactive_action_d	10				gcw reactive action heal
gcw_base_reactive_action_e	10				gcw reactive action heal
proc_gcw_base_damage_a	20				gcw damage proc
proc_gcw_base_damage_b	20				gcw damage proc
proc_gcw_base_damage_c	20				gcw damage proc
proc_gcw_base_damage_d	20				gcw damage proc
proc_gcw_base_damage_e	20				gcw damage proc
proc_pvp_despair	10				Proc on the new pvp rank 12 reward weapons. Will lower enemy stats.
pvp_retaliation_ability	5				damage shield
pvp_retaliation_rebel_ability	5				damage shield
pvp_adrenaline_ability	5				heal action on damage
pvp_adrenaline_rebel_ability	5				heal action on damage
pvp_unstoppable_ability	5				heal health on damage
pvp_unstoppable_rebel_ability	5				heal health on damage
expertise_dueterium_rounds_proc	5				Medic expertise proc
expertise_poison_knuckle_proc	5				Medic expertise proc
expertise_buildabuff_heal_1_reac	8				Buildabuff Reactive Heal (level 10)
expertise_buildabuff_heal_2_reac	8				Buildabuff Reactive Heal (level 40)
expertise_buildabuff_heal_3_reac	8				Buildabuff Reactive Heal (level 70)
kun_one_sacrifice	100				Boss creature damage shield.
kun_two_sacrifice	100				Boss creature damage shield.
kun_three_sacrifice	100				Boss creature damage shield.
kun_four_sacrifice	100				Boss creature damage shield.
kun_five_sacrifice	100				Boss creature damage shield.
kun_six_sacrifice	100				Boss creature damage shield.
kun_seven_sacrifice	100				Boss creature damage shield.
kun_eight_sacrifice	100				Boss creature damage shield.
caretaker_shield_reflect	100				Boss creature damage shield.
kun_order_set	40				Reactive Effect
kun_chaos_set	40				Reactive Effect
set_bonus_bh_utility_a_1	10				3 Piece BH Set
set_bonus_bh_utility_a_2	10				4 Piece BH Set
set_bonus_bh_utility_a_3	10				5 Piece BH Set
banner_buff_commando	15				Commando GCW Banner Proc
sp_assassins_mark_reac_proc	35				Spy Assassins Mark Proc
