promotion_name	promotion_list	promotion_type	max_drops	start_hour	start_minute	start_second	start_month	start_day	start_year	end_hour	end_minute	end_second	end_month	end_day	end_year
s[unique]	s	s	i	i	i	i	i	i	i	i	i	i	i	i	i
item_swg_promo_1	item_promo_1	item	10000	14	0	0	12	2	2008	10	0	0	12	19	2008
tcg_swg_promo_4	promo_4	card	10000	14	0	0	12	19	2008	10	0	0	12	22	2008
tcg_swg_promo_5	promo_5	card	10000	14	0	0	1	9	2009	10	0	0	1	12	2009
tcg_swg_promo_6	promo_6	card	10000	14	0	0	1	30	2009	10	0	0	2	2	2009
tcg_swg_promo_7	promo_7	card	10000	14	0	0	2	27	2009	10	0	0	3	2	2009
tcg_swg_promo_8	promo_8	card	10000	14	0	0	4	3	2009	10	0	0	4	6	2009
tcg_swg_promo_9	promo_9	card	10000	14	0	0	5	1	2009	10	0	0	5	4	2009
tcg_swg_promo_10	promo_10	card	10000	14	0	0	6	5	2009	10	0	0	6	8	2009
tcg_swg_promo_11	promo_11	card	10000	14	0	0	7	2	2009	10	0	0	7	6	2009
tcg_swg_promo_12	promo_12	card	10000	14	0	0	7	31	2009	10	0	0	8	3	2009
tcg_swg_promo_13	promo_13	card	10000	14	0	0	9	4	2009	10	0	0	9	8	2009
tcg_swg_promo_14	promo_14	card	10000	14	0	0	10	2	2009	10	0	0	10	5	2009
tcg_swg_promo_15	promo_15	card	10000	14	0	0	11	6	2009	10	0	0	11	9	2009
tcg_swg_promo_16	promo_16	card	10000	14	0	0	12	4	2009	10	0	0	12	7	2009
