NAME	CATEGORY	AFFECTS	DESCRIPTION	MAX_TIMES_APPLIED	COST	AFFECT_AMOUNT	REQUIRED_EXPERTISE
s	s	s	c	i	i	i	s
strength	attributes	strength_modified	5 to attribute per package	5	1	10	
constitution	attributes	constitution_modified	5 to attribute per package	5	1	10	
stamina	attributes	stamina_modified	5 to attribute per package	5	1	10	
precision	attributes	precision_modified	5 to attribute per package	5	1	10	
agility	attributes	agility_modified	5 to attribute per package	5	1	10	
luck	attributes	luck_modified	5 to attribute per package	5	1	10	
kinetic	resistances	expertise_innate_protection_kinetic	250 to resistance per package	5	1	250	
energy	resistances	expertise_innate_protection_energy	250 to resistance per package	5	1	250	
culinary	trade	food_assembly	Assembly + Experience bonus for that type	5	2	1	
fashion	trade	clothing_assembly	Assembly + Experience bonus for that type	5	2	1	
droid_tech	trade	droid_assembly	Assembly + Experience bonus for that type	5	2	1	
munitions	trade	weapon_assembly	Assembly + Experience bonus for that type	5	2	1	
architecture	trade	structure_assembly	Assembly + Experience bonus for that type	5	2	1	
chassis_assembly	trade	chassis_assembly	Assembly + Experience bonus for that type	5	2	1	
engine_assembly	trade	engine_assembly	Assembly + Experience bonus for that type	5	2	1	
booster_assembly	trade	booster_assembly	Assembly + Experience bonus for that type	5	2	1	
power_systems	trade	power_systems	Assembly + Experience bonus for that type	5	2	1	
weapon_systems	trade	weapon_systems	Assembly + Experience bonus for that type	5	2	1	
shields_assembly	trade	shields_assembly	Assembly + Experience bonus for that type	5	2	1	
advanced_assembly	trade	advanced_assembly	Assembly + Experience bonus for that type	5	2	1	
security	trade	armor_assembly	Assembly + Experience bonus for that type	5	2	1	
critical_hit	combat	expertise_critical_niche_all	1% bonus per package to critical hit chance	1	5	3	
dodge	combat	expertise_glancing_blow_all	1% bonus per package to dodge	1	5	3	
action_cost_reduction	combat	expertise_action_all	5% bonus per package in reducing all action costs	1	5	5	
healing	misc	expertise_dot_absorption_all	1% bonus per package to healing effects that you receive	5	2	4	holism
healer	misc	expertise_healing_all	Reduce amount of damage you receive from damage over time effects	5	2	2	holism
reactive_go_with_the_flow	misc	movement_speed	1% bonus per package to movement speed increase (foot speed and mounts)	5	2	5	go_with_the_flow 
reactive_second_chance	misc	reactive_second_chance	Reactive heal	4	2	2	second_chance
harvest_faire	misc	expertise_harvester_collection_increase	5% increase per package on the amount and chance on harvests and creature kills	5	2	1	harvest_faire  
flush_with_success	misc	flush_with_success	Increase amount of XP earned by 2% per point.	5	2	3	flush_with_success  
