NAME	TYPE	SPAWN	SCRIPT	SKILL	SDATA1	LIFESPAN	SCENE	RANGE	FDATA1	FDATA2
s	s	s	s	s	s	f	s	f	f	f
Gaming Table	static	object/tangible/event_perk/frn_all_gaming_kiosk_s01.iff	none	none	none	57600	none	-1	-1	-1
Imperial Recruiter	recruiter	imperial_recruiter	none	none	none	57600	none	-1	-1	-1
Rebel Recruiter	recruiter	rebel_recruiter	none	none	none	57600	none	-1	-1	-1
Endor Flag	static	object/tangible/event_perk/endr_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Corellia Flag	static	object/tangible/event_perk/corl_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Dantooine Flag	static	object/tangible/event_perk/dant_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Dathomir Flag	static	object/tangible/event_perk/dath_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Lok Flag	static	object/tangible/event_perk/lok_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Naboo Flag	static	object/tangible/event_perk/nboo_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Rori Flag	static	object/tangible/event_perk/rori_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Talus Flag	static	object/tangible/event_perk/talus_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Tatooine Flag	static	object/tangible/event_perk/tato_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Yavin Flag	static	object/tangible/event_perk/yavn_imprv_flagpole_s01.iff	none	none	none	57600	none	-1	-1	-1
Test Theater	honorguard	corsec_trooper	none	none	none	57600	none	20	10	3
Test NPC	npc	object/mobile/human_male.iff	systems.event_perk.event_perk_npc	none	none	57600	none	3	-1	-1
Lambda Shuttle	static	object/tangible/event_perk/lambda_shuttle.iff	none	none	none	57600	none	-1	-1	-1
AT-AT	static	object/mobile/atat.iff	systems.event_perk.invulnerable	none	none	57600	none	-1	-1	-1
AT-ST	static	object/mobile/atst.iff	systems.event_perk.invulnerable	none	none	57600	none	-1	-1	-1
Imperial Banner	static	object/tangible/event_perk/banner_imperial_style_01.iff	none	none	none	57600	none	-1	-1	-1
Tie Bomber	static	object/tangible/event_perk/tie_bomber.iff	none	none	none	57600	none	-1	-1	-1
Shuttle	static	object/tangible/event_perk/player_shuttle.iff	none	none	none	57600	none	-1	-1	-1
Rebel Banner	static	object/tangible/event_perk/banner_rebel_style_01.iff	none	none	none	57600	none	-1	-1	-1
X-wing	static	object/tangible/event_perk/xwing.iff	none	none	none	57600	none	-1	-1	-1
Bantha	static	object/mobile/bantha_saddle.iff	systems.event_perk.invulnerable	none	none	57600	none	-1	-1	-1
Marble Gazebo	static	object/tangible/event_perk/garden_gazebo_lg_s01.iff	none	none	none	57600	none	5	-1	-1
Naboo Gazebo	static	object/tangible/event_perk/filler_building_naboo_theed_style_9.iff	systems.event_perk.invulnerable	none	none	57600	none	12	-1	-1
Corellian Banner	static	object/tangible/event_perk/corl_banner_govt_tall_s01.iff	none	none	none	57600	none	-1	-1	-1
Banner Style 1	static	object/tangible/event_perk/banner_generic_s01.iff	none	none	none	57600	none	-1	-1	-1
Banner Style 2	static	object/tangible/event_perk/banner_generic_s02.iff	none	none	none	57600	none	-1	-1	-1
Tatooine Banner	static	object/tangible/event_perk/banner_tatooine_style_01.iff	none	none	none	57600	none	-1	-1	-1
Stone Base Banner	static	object/tangible/event_perk/guild_banner_free_style_01.iff	none	none	none	57600	none	-1	-1	-1
Pavillion 1	static	object/tangible/event_perk/camp_pavilion_s1.iff	none	none	none	57600	none	9	-1	-1
Pavillion 2	static	object/tangible/event_perk/camp_pavilion_s2.iff	none	none	none	57600	none	11	-1	-1
Imperial Recruiting Station	theater	datatables/theater/event_perk/imperial_recruiting_station.iff	none	none	none	57600	none	8.5	-5.9	-3.1
Rebel Recruiting Station	theater	datatables/theater/event_perk/rebel_recruiting_station.iff	none	none	none	57600	none	8.5	-5.9	-3.1
Destroyed AT-AT	theater	datatables/theater/event_perk/crashed_atat.iff	none	none	none	57600	none	18	-6.7	5.8
Crashed Tie Fighter	theater	datatables/theater/event_perk/crashed_tie_fighter.iff	none	none	none	57600	none	4	1.8	1.8
Crashed Tie Bomber	theater	datatables/theater/event_perk/crashed_tie_bomber.iff	none	none	none	57600	none	6.8	1	-3.7
Crashed X-Wing	theater	datatables/theater/event_perk/crashed_xwing.iff	none	none	none	57600	none	10.5	4.3	-5.2
Imperial Landing Party Lambda	theater	datatables/theater/event_perk/imperial_landing_party_lambda.iff	systems.event_perk.theater_npc_spawn_special	none	imperial_recruiter	57600	none	500	2.61	14.82
Imperial Landing Party AT-AT	theater	datatables/theater/event_perk/imperial_landing_party_atat.iff	systems.event_perk.theater_npc_spawn_special	none	imperial_recruiter	57600	none	500	2.61	14.82
Imperial Honor Guard 1X10	honorguard	stormtrooper	none	none	none	57600	none	-1	5	1
Imperial Honor Guard 2X10	honorguard	stormtrooper	none	none	none	57600	none	-1	5	2
Imperial Honor Guard 3X10	honorguard	stormtrooper	none	none	none	57600	none	-1	5	3
Imperial Honor Guard 4X10	honorguard	stormtrooper	none	none	none	57600	none	-1	10	2
Rebel Honor Guard 1X10	honorguard	rebel_crewman	none	none	none	57600	none	-1	5	1
Rebel Honor Guard 2X10	honorguard	rebel_crewman	none	none	none	57600	none	-1	5	2
