TEMPLATE	STF_NAME	PRICE
s	s	i
object/tangible/deed/event_perk/corsec_stage_theater_deed.iff	pro_corsec_stage_theater	15000
object/tangible/deed/event_perk/fed_dub_stage_theater_deed.iff	pro_fed_dub_stage_theater	15000
object/tangible/deed/event_perk/party_stage_theater_deed.iff	pro_party_stage_theater	10000
object/tangible/deed/event_perk/rsf_stage_theater_deed.iff	pro_rsf_stage_theater	15000
object/tangible/deed/event_perk/universe_flags_theater.iff	pro_universe_flags_theater	10000
object/tangible/deed/event_perk/crashed_xwing_theater_deed.iff	pro_crashed_xwing_theater	15000
object/tangible/deed/event_perk/crashed_tie_bomber_theater_deed.iff	pro_crashed_tie_bomber_theater	15000
object/tangible/deed/event_perk/crashed_tie_fighter_theater_deed.iff	pro_crashed_tie_fighter_theater	15000
object/tangible/deed/event_perk/destroyed_atat_theater_deed.iff	pro_destroyed_atat_theater	25000
object/tangible/deed/event_perk/audience_seating_deed.iff	pro_audience_seating	15000
object/tangible/deed/event_perk/fenced_enclosure_deed.iff	pro_fenced_enclosure	15000
object/tangible/deed/event_perk/fire_pit_deed.iff	pro_fire_pit	5000
object/tangible/deed/event_perk/graveyard_deed.iff	pro_graveyard	10000
object/tangible/deed/event_perk/jawas_and_droids_deed.iff	pro_jawas_and_droids	10000
object/tangible/deed/event_perk/picnic_pavillion_deed.iff	pro_picnic_pavillion	15000
object/tangible/deed/event_perk/wrecked_sandcrawler_deed.iff	pro_wrecked_sandcrawler	25000
object/tangible/deed/event_perk/imperial_recruiting_station_theater_deed.iff	pro_imp_recruiting_theater	20000
object/tangible/deed/event_perk/rebel_recruiting_station_theater_deed.iff	pro_rebel_recruiting_theater	20000
