SONGS	SND_FILE	NOTE
s	s	s
emperors_theme	sound/music_emperor_theme_loop.snd	Emperor's Theme
chamber_music	sound/music_starport_a_loop.snd	Chamber Music
hard_rock	sound/music_starport_b_loop.snd	Hard Rock
theed_palace	sound/music_theed_palace_loop.snd	Theed Palace
medley	sound/music_autorun_loop.snd	Medley
otoh_gunga	sound/music_otoh_gunga_loop.snd	Otoh Gunga
star_wars_intro	sound/music_intro_loop.snd	Star Wars Intro
celeb_phantom_menace	sound/music_celebration_a_loop.snd	Celebration: Phantom Menace
celeb_rotj	sound/music_celebration_b_loop.snd	Celebration: Return of the Jedi
pod_race	sound/music_combat_bfield_loop.snd	Pod Race
figrin_dan_1	sound/music_figrin_dan_1_loop.snd	Figrin Dan 1
figrin_dan_2	sound/music_figrin_dan_2_loop.snd	Figrin Dan 2
soothing_corellia	sound/music_id_tent_corellia_loop.snd	Soothing Corellian
soothing_naboo	sound/music_id_tent_naboo_loop.snd	Soothing Naboo
soothing_tatooine	sound/music_id_tent_tatooine_loop.snd	Soothing Tatooine
max_rebo_1	sound/music_max_rebo_1_loop.snd	Max Rebo 1
max_rebo_2	sound/music_max_rebo_2_loop.snd	Max Rebo 2
romance_1	sound/music_romance_a_loop.snd	Romance 1
romance_2	sound/music_theme_han_leia.snd	Romance 2
romance_3	sound/music_romance_c_loop.snd	Romance 3
romance_4	sound/music_theme_ep2_love.snd	Romance 4
satisfaction_1	sound/music_satisfaction_a_loop.snd	Satisfaction 1
satisfaction_2	sound/music_satisfaction_b_loop.snd	Satisfaction 2
exar_theme	sound/music_exar_theme_loop.snd	Exar Theme
exploration	sound/music_explore_a_loop.snd	Exploration
humor_1	sound/music_humor_a_loop.snd	Humor 1
humor_2	sound/music_humor_b_loop.snd	Humor 2
leia_theme	sound/music_leia_theme_loop.snd	Leia Theme
leia_theme_2	sound/music_theme_princess_leia.snd	Leia Theme 2
evil_ambiance	sound/music_underground_loop.snd	Evil Ambiance
eerie_ambiance	sound/music_underwater_loop.snd	Eerie Ambiance
lok_theme	sound/music_gloom_a_loop.snd	Lok Theme
imperial_march	sound/mus_imperial_march_excerpt.snd	Imperial March
duel_of_fates	sound/mus_duel_of_the_fates_lcv.snd	Duel of the Fates
bespin_theme	sound/music_theme_bespin.snd	Bespin Theme
yoda_theme	sound/music_theme_yoda.snd	Yoda's Theme
jawas_theme	sound/music_theme_jawas.snd	Jawa Theme
ewoks_theme	sound/music_theme_ewoks.snd	Ewok Theme
anakin_theme	sound/music_theme_anakin.snd	Anakin's Theme
ceremony_01	sound/music_ceremony_1.snd	Ceremony 1
ceremony_02	sound/music_ceremony_2.snd	Ceremony 2
sadness	sound/music_sadness.snd	Sadness
luke_leia_theme	sound/music_theme_luke_leia.snd	Luke and Leia's Theme
battle_of_hoth	sound/music_theme_battle_hoth.snd	Battle of Hoth
death_star	sound/music_theme_death_star.snd	Death Star
saber_duel_01	sound/music_saber_duel_01.snd	Saber Duel 1
saber_duel_02	sound/music_saber_duel_02.snd	Saber Duel 2
saber_duel_03	sound/music_saber_duel_03.snd	Saber Duel 3
saber_duel_04	sound/music_saber_duel_04.snd	Saber Duel 4
mustafar_theme	sound/music_theme_mustafar.snd	Mustafar Theme
