TEMPLATE	STF_NAME	PRICE
s	s	i
object/tangible/deed/event_perk/corsec_1x10_honorguard_deed.iff	pro_corsec_1_person	5000
object/tangible/deed/event_perk/corsec_2x10_honorguard_deed.iff	pro_corsec_2_person	10000
object/tangible/deed/event_perk/corsec_3x10_honorguard_deed.iff	pro_corsec_3_person	15000
object/tangible/deed/event_perk/corsec_4x10_honorguard_deed.iff	pro_corsec_4_person	20000
object/tangible/deed/event_perk/fed_dub_1x10_honorguard_deed.iff	pro_fed_dub_1_person	5000
object/tangible/deed/event_perk/fed_dub_2x10_honorguard_deed.iff	pro_fed_dub_2_person	10000
object/tangible/deed/event_perk/fed_dub_3x10_honorguard_deed.iff	pro_fed_dub_3_person	15000
object/tangible/deed/event_perk/fed_dub_4x10_honorguard_deed.iff	pro_fed_dub_4_person	20000
object/tangible/deed/event_perk/rsf_1x10_honorguard_deed.iff	pro_rsf_1_person	5000
object/tangible/deed/event_perk/rsf_2x10_honorguard_deed.iff	pro_rsf_2_person	10000
object/tangible/deed/event_perk/rsf_3x10_honorguard_deed.iff	pro_rsf_3_person	15000
object/tangible/deed/event_perk/rsf_4x10_honorguard_deed.iff	pro_rsf_4_person	20000
