level	xp_required	xp_type	xp_multiplier	health_granted	tier	comments	temp_xp_calc	expertise_points
i	i	s	i	i	c	c	c	i
1	0	combat_meleespecialize_unarmed	1	0			1000	0
2	500	combat_meleespecialize_onehand	1	50			2500	0
3	1700	combat_meleespecialize_twohand	1	75			5000	0
4	3800	combat_meleespecialize_polearm	1	100			10000	0
5	6900	combat_rangedspecialize_rifle	1	125			15000	0
6	11000	combat_rangedspecialize_pistol	1	150			20000	0
7	16200	combat_rangedspecialize_carbine	1	175		4000	25000	0
8	22600	combat_rangedspecialize_heavy	1	200			30000	0
9	30300	bountyhunter	35	225			35000	0
10	39400	jedi_general	1	250		4004	39150	5
11	50000	crafting_medicine_general	1	275			103530	0
12	62200	combat_general	1	300			133304	1
13	76000	medical	1	325			165526	0
14	91500	creaturehandler	1	350	tier 7	first novice elite	200400	1
15	108800	trapping	1	375			238130	0
16	128000	scout	1	390		marksman +.1line elite	278920	1
17	149200	entertainer	1	405			322974	0
18	172500	crafting	1	420		marksman +.2line elite	370496	1
19	198000			435			421690	0
20	225800			450			476760	1
21	256000			465		marksman +.3line elite	535910	0
22	288700			480			599344	1
23	324000			495	tier 8	marksman +1 line elite	667266	0
24	362000			510			739880	1
25	402800			525		marksman +1.1line elite	817390	0
26	446500			540			900000	1
27	493200			555		marksman +1.2line elite	987914	0
28	543000			570			1081336	1
29	596000			585			1180470	0
30	652300			600		marksman +1.3line elite	1285520	1
31	712100			615			1396690	0
32	775500			630	tier 9	marksman +2 line elite	1514184	1
33	842600			645			1638206	0
34	913600			660		marksman +2.1line elite	1768960	1
35	988600			675			1906650	0
36	1067800			690		marksman +2.2line elite	2051480	1
37	1151300			705			2203654	0
38	1239300			720			2363376	1
39	1331900			735		marksman +2.3line elite	2530850	0
40	1429300			750			2706280	1
41	1531600			765	tier 10	marksman +3 line elite	2889870	0
42	1639000			780			3081824	1
43	1751700			795		marksman +2.1line elite	3282346	0
44	1869900			810			3491640	1
45	1993800			825		marksman +2.2line elite	3709910	0
46	2123600			840			3937360	1
47	2259500			855			4174194	0
48	2401700			870		marksman +2.3line elite	4420616	1
49	2550400			885			4676830	0
50	2705800			900	tier 11	marksman +4 line elite	4943040	1
51	2868100			915			5219450	0
52	3037600			930			5506264	1
53	3214500			945			5803686	0
54	3399000			960	tier 12	one elite mastery	6111920	1
55	3591400			1000			6416482	0
56	3792000			1040			6717168	1
57	4001000			1080			7013774	0
58	4218700			1120			7306096	1
59	4445400			1160			7593930	0
60	4681400			1200	tier 13	marksman +mastery +1line 2nd elite	7877072	1
61	4927000			1240			8155318	0
62	5182500			1280			8428464	1
63	5448300			1320			8696306	0
64	5724700			1360			8958640	1
65	6012100			1400	tier 14	marksman +mastery +2line 2nd elite	9215262	0
66	6310800			1440			9465968	1
67	6621200			1480			9710554	0
68	6943700			1520			9948816	1
69	7278700			1560			10180550	0
70	7626600			1600	tier 15	marksman +mastery +3line 2nd elite	10405552	1
71	7987800			1640			10623618	0
72	8362800			1680			10834544	1
73	8752000			1720			11038126	0
74	9155900			1760			11234160	1
75	9575000			1800	tier 16	marksman +mastery +4line 2nd elite	11422442	0
76	10009800			1840			11602768	1
77	10460800			1880			11774934	0
78	10928500			1920			11938736	1
79	11413500			1960			12093970	0
80	11916400			2000	tier 17	second elite mastery	12240432	1
81	12437700			2000				0
82	12978100			2000				1
83	13538200			2000				0
84	14118600			2000				1
85	14720000			2000				0
86	15343100			2000				1
87	15988600			2000				0
88	16657200			2000				1
89	17349700			2000				0
90	18066900			2000				1
