strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType	intGCWFaction	intGCWThreshold	intGCWScoreType	strGCWSpecificRegion
s	i	i	i	i	i	i	s	s	s	i	i	i	s
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_rancor_enraged_lair_neutral_large					
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_rancor_enraged_pack_neutral_none					
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_rancor_gnarled_pack_neutral_none					
object/tangible/lair/npc_lair.iff	-1	80	90	15	25			dathomir_malkloc_plainswalker_neutral_none					
object/tangible/lair/npc_lair.iff	-1	80	90	15	25			dathomir_nightsister_elder_enclave_neutral_large_theater					
object/tangible/lair/npc_lair.iff	-1	80	90	15	25			dathomir_nightsister_spell_weaver_escort_neutral_none					
object/tangible/lair/npc_lair.iff	-1	74	80	15	25			dathomir_nightsister_rancor_tamer_neutral_none					
object/tangible/lair/npc_lair.iff	-1	74	80	15	25			dathomir_nightsister_rangers_neutral_none					
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_nightsister_stalker_neutral_none					
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_mtn_clan_arch_witch_squad_neutral_none					
object/tangible/lair/npc_lair.iff	-1	85	90	15	25			dathomir_mtn_clan_councilwoman_escort_neutral_none					
object/tangible/lair/npc_lair.iff	-1	80	90	15	25			dathomir_mtn_clan_outpost_neutral_large_theater					
object/tangible/lair/npc_lair.iff	-1	80	90	15	25			dathomir_gaping_spider_recluse_lair_neutral_medium					
