GroupId	SchematicName
s	s
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_segment_recon.iff
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_segment_battle.iff
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_segment_assault.iff
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_core_recon_basic.iff
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_core_battle_basic.iff
craftArmorCoreGroupA	object/draft_schematic/armor/component/armor_core_assault_basic.iff
craftArmorCoreGroupB	object/draft_schematic/armor/component/armor_core_recon_standard.iff
craftArmorCoreGroupC	object/draft_schematic/armor/component/armor_core_battle_standard.iff
craftArmorCoreGroupD	object/draft_schematic/armor/component/armor_core_assault_standard.iff
craftArmorCoreGroupE	object/draft_schematic/armor/component/armor_core_recon_advanced.iff
craftArmorCoreGroupF	object/draft_schematic/armor/component/armor_core_battle_advanced.iff
craftArmorCoreGroupF	object/draft_schematic/armor/component/armor_core_assault_advanced.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_chest.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_leggings.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_helmet.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_bicep_l.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_bicep_r.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_bracer_l.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_bracer_r.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_boots.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_bone_gloves.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_chest.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_leggings.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_helmet.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_gloves.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_boots.iff
craftArmorAppearanceGroupA	object/draft_schematic/armor/armor_appearance_mabari_belt.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_chest.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_leggings.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_helmet.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_bicep_l.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_bicep_r.iff
craftArmorAppearanceGroupB	object/draft_schematic/armor/armor_appearance_chitin_bracer_l.iff
