id	templateFilename	hardpoint
h[invalid]	s	s
scope_sm_1	object/tangible/component/weapon/shared_scope_weapon_sm_s01.iff	scope
scope_sm_2	object/tangible/component/weapon/shared_scope_weapon_sm_s02.iff	scope
scope_sm_3	object/tangible/component/weapon/shared_scope_weapon_sm_s03.iff	scope
scope_sm_4	object/tangible/component/weapon/shared_scope_weapon_sm_s04.iff	scope
scope_sm_5	object/tangible/component/weapon/shared_scope_weapon_sm_s05.iff	scope
scope_sm_6	object/tangible/component/weapon/shared_scope_weapon_sm_s06.iff	scope
scope_lg_1	object/tangible/component/weapon/shared_scope_weapon_lg_s01.iff	scope
scope_lg_2	object/tangible/component/weapon/shared_scope_weapon_lg_s02.iff	scope
scope_lg_3	object/tangible/component/weapon/shared_scope_weapon_lg_s03.iff	scope
muzzle_sm_1	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s01.iff	muzzle
muzzle_sm_2	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s02.iff	muzzle
muzzle_sm_3	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s03.iff	muzzle
muzzle_sm_4	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s04.iff	muzzle
muzzle_sm_5	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s05.iff	muzzle
muzzle_sm_6	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s06.iff	muzzle
muzzle_sm_7	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_sm_s07.iff	muzzle
muzzle_m_1	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s01.iff	muzzle
muzzle_m_2	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s02.iff	muzzle
muzzle_m_3	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s03.iff	muzzle
muzzle_m_4	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s04.iff	muzzle
muzzle_m_5	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s05.iff	muzzle
muzzle_m_6	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s06.iff	muzzle
muzzle_m_7	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_m_s07.iff	muzzle
muzzle_lg_1	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s01.iff	muzzle
muzzle_lg_2	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s02.iff	muzzle
muzzle_lg_3	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s03.iff	muzzle
muzzle_lg_4	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s04.iff	muzzle
muzzle_lg_5	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s05.iff	muzzle
muzzle_lg_6	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s06.iff	muzzle
muzzle_lg_7	object/tangible/component/weapon/shared_blaster_barrel_wp_muzzle_lg_s07.iff	muzzle
stock_1	object/tangible/component/weapon/shared_stock.iff	stock
stock_carbine_laser	object/tangible/component/weapon/shared_weapon_carbine_laser_stock.iff	stock
stock_dlt20	object/tangible/component/weapon/shared_weapon_dlt20_stock.iff	stock
stock_dxr6	object/tangible/component/weapon/shared_weapon_dxr6_stock.iff	stock
stock_e11_closed	object/tangible/component/weapon/shared_weapon_e11_stock_closed.iff	stock
stock_e11_open	object/tangible/component/weapon/shared_weapon_e11_stock_open.iff	stock
stock_ee3	object/tangible/component/weapon/shared_weapon_ee3_stock.iff	stock
stock_elite	object/tangible/component/weapon/shared_weapon_elite_stock.iff	stock
stock_rifle_laser	object/tangible/component/weapon/shared_weapon_rifle_laser_stock.iff	stock
stock_t21	object/tangible/component/weapon/shared_weapon_t21_stock.iff	stock
