spawns	name	room	loc_x	loc_y	loc_z	scriptOne	scriptTwo	scriptThree	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	building_id
s	s	s	f	f	f	s	s	s	s	f	s	i	s	s	s	s	s	s	s	s	s	i(0)
crackdown_rebel_guard_captain		world	31.4	51	-5350.3	theme_park.script_spawner.spawner_methods.ss_setup				-75		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	31	51	-5337	theme_park.script_spawner.spawner_methods.ss_setup				-90		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	76.5	52	-5361.1	theme_park.script_spawner.spawner_methods.ss_setup				-88		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	151	52	-5316	theme_park.script_spawner.spawner_methods.ss_setup				55		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	159	52	-5320	theme_park.script_spawner.spawner_methods.ss_setup				-13		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	135.1	52	-5374.9	theme_park.script_spawner.spawner_methods.ss_setup				83		180	spawn_objvar	static								
crackdown_rebel_command_security_guard		world	77	52	-5372	theme_park.script_spawner.spawner_methods.ss_setup				-17		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_command_security_guard		world	81	52	-5333	theme_park.script_spawner.spawner_methods.ss_setup				83		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_guardsman		world	123.6	52	-5368	theme_park.script_spawner.spawner_methods.ss_setup				-142		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	89.9	52	-5393.8	theme_park.script_spawner.spawner_methods.ss_setup				-47		180	spawn_objvar	static								
crackdown_rebel_command_security_guard		world	125.5	52	-5416	theme_park.script_spawner.spawner_methods.ss_setup				-81		180	spawn_objvar	static								
crackdown_rebel_command_security_guard		world	55.2	52.6	-5332.5	theme_park.script_spawner.spawner_methods.ss_setup				-176		180	spawn_objvar	static								
