spawns	name	room	loc_x	loc_y	loc_z	scriptOne	scriptTwo	scriptThree	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	s	s	s	s	f	s	i	s	s	s	s	s	s	s	s	s
mos_taike_police_officer		world	3927.4	47	2294.7	theme_park.script_spawner.spawner_methods.ss_setup				-24		180	spawn_objvar	city_wander	spawn_objvar2	customs					
mos_taike_police_officer		world	3909.9	33	2342.2	theme_park.script_spawner.spawner_methods.ss_setup				96		180	spawn_objvar	city_wander	spawn_objvar2	customs					
mos_taike_police_officer		world	3829.7	19.3	2351.7	theme_park.script_spawner.spawner_methods.ss_setup				-68		180	spawn_objvar	city_wander	spawn_objvar2	customs					
mos_taike_police_officer		world	3750	6.1	2380.4	theme_park.script_spawner.spawner_methods.ss_setup				-32		180	spawn_objvar	city_wander	spawn_objvar2	customs					
crackdown_sand_trooper		world	3786.1	11.6	2378.4	theme_park.script_spawner.spawner_methods.ss_setup				177		180	spawn_objvar	static							
crackdown_sand_trooper		world	3760.8	6.5	2373.7	theme_park.script_spawner.spawner_methods.ss_setup				-97		180	spawn_objvar	static							
crackdown_elite_sand_trooper		world	3757.8	8.3	2343.7	theme_park.script_spawner.spawner_methods.ss_setup				-38		180	spawn_objvar	static							
crackdown_elite_sand_trooper		world	3856.3	27.5	2325.3	theme_park.script_spawner.spawner_methods.ss_setup				-63		180	spawn_objvar	static							
mos_taike_police_officer		world	3888.2	33	2350	theme_park.script_spawner.spawner_methods.ss_setup				-92		180	spawn_objvar	static							
crackdown_stormtrooper_squad_leader		world	3951.4	53.5	2265.1	theme_park.script_spawner.spawner_methods.ss_setup				-106		180	spawn_objvar	static							
