spawns	name	room	loc_x	loc_y	loc_z	script	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	building_id
s	s	s	f	f	f	s	s	f	s	i	s	s	s	s	s	s	s	s	s	i
crackdown_rebel_colonel		core	10	-11	-20	theme_park.script_spawner.spawner_methods.ss_setup		20		180	spawn_objvar	customs								1256066
crackdown_rebel_comm_operator		core	15	-11	-21	theme_park.script_spawner.spawner_methods.ss_setup		-1		180										1256066
crackdown_rebel_command_security_guard		core	20	-11	-21	theme_park.script_spawner.spawner_methods.ss_setup		-20		180										1256066
crackdown_rebel_squad_leader		core	13	-13	-16	theme_park.script_spawner.spawner_methods.ss_setup		18		180										1256066
crackdown_rebel_soldier		foyer	13	-13	2	theme_park.script_spawner.spawner_methods.ss_setup		17		180										1256066
crackdown_rebel_soldier		foyer	17	-13	12	theme_park.script_spawner.spawner_methods.ss_setup		-88		180										1256066
crackdown_rebel_medic		hallway	6	-13	11	theme_park.script_spawner.spawner_methods.ss_setup		-175		180										1256066
crackdown_rebel_sharpshooter		hallway	-4	-13	13	theme_park.script_spawner.spawner_methods.ss_setup		157		180										1256066
crackdown_rebel_army_captain		room2	-5	-13	-12	theme_park.script_spawner.spawner_methods.ss_setup		25		180										1256066
crackdown_rebel_soldier		room2	-6	-13	6	theme_park.script_spawner.spawner_methods.ss_setup		148		180	spawn_objvar	customs								1256066
crackdown_rebel_cadet		room2	-6	-13	-4	theme_park.script_spawner.spawner_methods.ss_setup		58		180										1256066
crackdown_rebel_rifleman		room1	7	-6	-7	theme_park.script_spawner.spawner_methods.ss_setup		-12		180										1256066
crackdown_rebel_rifleman		room1	1	-6	-6	theme_park.script_spawner.spawner_methods.ss_setup		115		180										1256066
crackdown_rebel_sergeant		hall1	0	0	3.5	theme_park.script_spawner.spawner_methods.ss_setup		4		180										1256066
crackdown_rebel_master_sergeant		mainhall	0	0	-4	theme_park.script_spawner.spawner_methods.ss_setup		2		180	spawn_objvar	customs								1250080
crackdown_rebel_sergeant		room3	-4	0	-3	theme_park.script_spawner.spawner_methods.ss_setup		96		180										1250080
crackdown_rebel_medic		room1	4	0	1.5	theme_park.script_spawner.spawner_methods.ss_setup		-90		180										1250080
crackdown_rebel_army_captain		room2	4	0	-2	theme_park.script_spawner.spawner_methods.ss_setup		-108		180	spawn_objvar	customs								1250087
crackdown_rebel_warrant_officer_ii		mainhall	0	0	-4.5	theme_park.script_spawner.spawner_methods.ss_setup		0		180										1250087
crackdown_rebel_rifleman		world	-2755	5	2029	theme_park.script_spawner.spawner_methods.ss_setup		140		180	spawn_objvar	default								
crackdown_rebel_squad_leader		world	-2776	5	1987	theme_park.script_spawner.spawner_methods.ss_setup		83		180	spawn_objvar	city_wander								
crackdown_rebel_rifleman		world	-2711	5	2027	theme_park.script_spawner.spawner_methods.ss_setup		144		180	spawn_objvar	city_wander								
crackdown_rebel_rifleman		world	-2716	5	2014	theme_park.script_spawner.spawner_methods.ss_setup		84		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_grenadier		world	-2804	5	1963	theme_park.script_spawner.spawner_methods.ss_setup		42		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-2949	5	1964	theme_park.script_spawner.spawner_methods.ss_setup		14		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-2958	5	1982	theme_park.script_spawner.spawner_methods.ss_setup		86		180	spawn_objvar	static								
crackdown_rebel_sharpshooter		world	-2893	5	1991	theme_park.script_spawner.spawner_methods.ss_setup		170		180	spawn_objvar	city_wander								
crackdown_rebel_sergeant		world	-2875	5	1991	theme_park.script_spawner.spawner_methods.ss_setup		-125		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-2959	5	2041	theme_park.script_spawner.spawner_methods.ss_setup		63		180	spawn_objvar	static	spawn_objvar2	customs						
crackdown_rebel_corporal		world	-2922	5	2056	theme_park.script_spawner.spawner_methods.ss_setup		-15		180	spawn_objvar	city_wander								
crackdown_rebel_corporal		world	-2937	5	2098	theme_park.script_spawner.spawner_methods.ss_setup		91		180	spawn_objvar	city_wander		
crackdown_rebel_soldier		world	-2904	5	2120	theme_park.script_spawner.spawner_methods.ss_setup		-43		180	spawn_objvar	static		
crackdown_rebel_soldier		world	-2900	5	2144	theme_park.script_spawner.spawner_methods.ss_setup		9		180	spawn_objvar	city_wander		
crackdown_rebel_medic		world	-2921	5	2149	theme_park.script_spawner.spawner_methods.ss_setup		-65		180	spawn_objvar	city_wander		
crackdown_rebel_first_lieutenant		world	-2919	5	2107	theme_park.script_spawner.spawner_methods.ss_setup		-63		180	spawn_objvar	static		
crackdown_rebel_soldier		world	-2774	5	2206	theme_park.script_spawner.spawner_methods.ss_setup		64		180	spawn_objvar	default		
crackdown_rebel_sharpshooter		world	-2753	5	2214	theme_park.script_spawner.spawner_methods.ss_setup		35		180	spawn_objvar	static	spawn_objvar2	customs
crackdown_rebel_army_captain		world	-2714	5	2229	theme_park.script_spawner.spawner_methods.ss_setup		30		180	spawn_objvar	city_wander		
crackdown_rebel_soldier		world	-2683	5	2274	theme_park.script_spawner.spawner_methods.ss_setup		178		180	spawn_objvar	default		
crackdown_rebel_medic		world	-2699	5	2269	theme_park.script_spawner.spawner_methods.ss_setup		134		180	spawn_objvar	city_wander		
crackdown_rebel_soldier		world	-2741	5	2258	theme_park.script_spawner.spawner_methods.ss_setup		96		180	spawn_objvar	default		
crackdown_rebel_sergeant		world	-2766	5	2306	theme_park.script_spawner.spawner_methods.ss_setup		-123		180	spawn_objvar	default		
crackdown_rebel_corporal		world	-2781	5	2288	theme_park.script_spawner.spawner_methods.ss_setup		64		180	spawn_objvar	static		
crackdown_rebel_elite_sand_rat		world	-2797	5	2311	theme_park.script_spawner.spawner_methods.ss_setup		46		180	spawn_objvar	city_wander		
crackdown_rebel_elite_sand_rat		world	-2785	5	2339	theme_park.script_spawner.spawner_methods.ss_setup		-132		180	spawn_objvar	city_wander	spawn_objvar2	customs
crackdown_rebel_elite_sand_rat		world	-2803	5	2322	theme_park.script_spawner.spawner_methods.ss_setup		4		180	spawn_objvar	static		
crackdown_rebel_sergeant		world	-2854	5	2308	theme_park.script_spawner.spawner_methods.ss_setup		-12		180	spawn_objvar	static		
crackdown_rebel_elite_sand_rat		world	-2871	5	2285	theme_park.script_spawner.spawner_methods.ss_setup		159		180	spawn_objvar	default	spawn_objvar2	customs
crackdown_rebel_elite_sand_rat		world	-2878	5	2262	theme_park.script_spawner.spawner_methods.ss_setup		-88		180	spawn_objvar	city_wander		
crackdown_rebel_elite_sand_rat		world	-2881	5	2215	theme_park.script_spawner.spawner_methods.ss_setup		170		180	spawn_objvar	default		
crackdown_rebel_sergeant		world	-3064	5	2156	theme_park.script_spawner.spawner_methods.ss_setup		166		180	spawn_objvar	static		
crackdown_rebel_corporal		world	-3077	5	2177	theme_park.script_spawner.spawner_methods.ss_setup		48		180	spawn_objvar	default		
crackdown_rebel_soldier		world	-3093	5	2162	theme_park.script_spawner.spawner_methods.ss_setup		-61		180	spawn_objvar	city_wander		
crackdown_rebel_soldier		world	-3101	5	2158	theme_park.script_spawner.spawner_methods.ss_setup		-42		180	spawn_objvar	city_wander	spawn_objvar2	customs
crackdown_rebel_soldier		world	-3117	5	2143	theme_park.script_spawner.spawner_methods.ss_setup		-146		180	spawn_objvar	city_wander		
crackdown_rebel_soldier		world	-3099	5	2132	theme_park.script_spawner.spawner_methods.ss_setup		135		180	spawn_objvar	city_wander		
crackdown_rebel_sharpshooter		world	-3060	5	2122	theme_park.script_spawner.spawner_methods.ss_setup		-66		180	spawn_objvar	default		
crackdown_rebel_sharpshooter		world	-3030	5	2130	theme_park.script_spawner.spawner_methods.ss_setup		101		180	spawn_objvar	default		
crackdown_rebel_medic		world	-3155	5	2127	theme_park.script_spawner.spawner_methods.ss_setup		-35		180	spawn_objvar	static		
crackdown_rebel_sergeant		world	-3072	5	2125	theme_park.script_spawner.spawner_methods.ss_setup		-7		180	spawn_objvar	default		
