name	ratio
s[unique]	i[1]
precision_modified	1
strength_modified	1
constitution_modified	1
stamina_modified	1
agility_modified	1
luck_modified	1
camouflage	1
general_experimentation	4
jedi_saber_experimentation	5
droid_find_speed	3
expertise_damage_weapon_0	14
droid_tracks	4
general_assembly	3
jedi_saber_assembly	3
expertise_damage_weapon_1	14
droid_assembly	3
cybernetic_assembly	3
expertise_action_weapon_11	10
droid_experimentation	4
cybernetic_experimentation	4
weapon_assembly	3
expertise_damage_weapon_2	14
weapon_experimentation	4
healing_music_ability	3
expertise_damage_weapon_3	14
expertise_healing_all	8
healing_dance_ability	3
instrument_assembly	3
prop_assembly	3
expertise_damage_weapon_4	14
healing_dance_wound	3
healing_music_wound	3
expertise_damage_weapon_5	14
armor_assembly	3
armor_experimentation	4
expertise_damage_weapon_6	14
food_assembly	3
food_experimentation	4
clothing_assembly	3
expertise_reverse_engineering_bonus	10
expertise_damage_weapon_7	14
clothing_experimentation	4
structure_assembly	3
expertise_damage_weapon_9	14
structure_experimentation	4
chassis_assembly	3
engine_assembly	3
expertise_damage_weapon_10	14
booster_assembly	3
power_systems	3
expertise_damage_weapon_11	14
weapon_systems	3
shields_assembly	3
advanced_assembly	3
chassis_experimentation	4
expertise_action_weapon_0	10
weapon_systems_experimentation	4
engine_experimentation	4
booster_experimentation	4
expertise_action_weapon_1	10
power_systems_experimentation	4
shields_experimentation	4
advanced_ship_experimentation	4
expertise_action_weapon_2	10
resistance_poison	4
absorption_poison	4
resistance_disease	4
absorption_disease	4
expertise_action_weapon_3	10
resistance_bleeding	4
absorption_bleeding	4
expertise_action_weapon_4	10
resistance_fire	4
absorption_fire	4
expertise_critical_niche_all	15
expertise_action_weapon_5	10
expertise_glancing_blow_all	18
expertise_glancing_blow_ranged	14
expertise_action_weapon_6	10
expertise_glancing_blow_melee	14
expertise_critical_line_dm	2
expertise_critical_line_co_dm	2
expertise_critical_line_fs_dm	2
expertise_action_weapon_7	10
expertise_critical_line_me_dm	2
expertise_critical_line_of_sure	2
expertise_critical_line_sm_dm	2
expertise_critical_line_sp_dm	2
expertise_critical_pistol	10
expertise_critical_rifle	10
expertise_critical_carbine	10
expertise_critical_heavy	10
expertise_action_weapon_9	10
expertise_critical_1h	10
expertise_critical_2h	10
expertise_critical_unarmed	10
expertise_critical_polearm	10
expertise_critical_niche_pvp	10
expertise_critical_niche_droid	10
expertise_action_weapon_10	10
expertise_critical_niche_npc	10
expertise_critical_niche_creature	10
expertise_freeshot_dm	8
expertise_freeshot_co_dm	8
expertise_freeshot_fs_dm	8
expertise_freeshot_me_dm	8
expertise_freeshot_of_sure	8
expertise_freeshot_sm_dm	8
expertise_freeshot_sp_dm	8
expertise_damage_line_dm	8
expertise_damage_line_co_dm	8
expertise_damage_line_fs_dm	8
expertise_damage_line_me_dm	8
expertise_damage_line_of_sure	8
expertise_damage_line_sm_dm	8
expertise_damage_line_sp_dm	8
expertise_action_line_dm	8
expertise_action_line_co_dm	8
expertise_action_line_fs_dm	8
expertise_action_line_me_dm	8
expertise_action_line_of_sure	8
expertise_action_line_sm_dm	8
expertise_action_line_sp_dm	8
combat_critical_hit_reduction	4
combat_dodge	8
combat_parry	6
combat_block_chance	4
combat_block_value	1
combat_evasion_chance	3
combat_evasion_value	4
combat_strikethrough_chance	6
combat_strikethrough_value	4
bm_xp_mod_boost	7
detect_hidden	3
exotic_heal_action_reduction	10
commando_devastation	15
exotic_dodge_reduction	8
exotic_parry_reduction	6
incubation_time_reduction	3
bm_incubator_dps_armor	10
bm_mutation_chance_increase	10
exotic_acid_penetration	10
exotic_cold_penetration	10
exotic_heat_penetration	10
exotic_electricity_penetration	10
