schematic_name	crafted_object_template	from_where	ele_bonus
s	s	c	i[0]
new_weapon_comp_blade_vibro_unit	object/tangible/component/weapon/vibro_unit.iff	profession_wheel	
new_weapon_comp_blade_vibro_unit_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	profession_wheel	
new_weapon_comp_blaster_pistol_barrel	object/tangible/component/weapon/blaster_pistol_barrel.iff	profession_wheel	
new_weapon_comp_blaster_pistol_barrel_advanced	object/tangible/component/weapon/blaster_pistol_barrel_advanced.iff	profession_wheel	
new_weapon_comp_blaster_rifle_barrel	object/tangible/component/weapon/blaster_rifle_barrel.iff	profession_wheel	
new_weapon_comp_blaster_rifle_barrel_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	profession_wheel	
new_weapon_comp_elemental_acid	object/tangible/component/weapon/new_weapon/elemental_acid.iff	profession_wheel	
new_weapon_comp_elemental_cold	object/tangible/component/weapon/new_weapon/elemental_cold.iff	profession_wheel	
new_weapon_comp_elemental_electric	object/tangible/component/weapon/new_weapon/elemental_electric.iff	profession_wheel	
new_weapon_comp_elemental_heat	object/tangible/component/weapon/new_weapon/elemental_heat.iff	profession_wheel	
new_weapon_comp_elemental_heavy	object/tangible/component/weapon/new_weapon/elemental_heavy.iff	profession_wheel	
new_weapon_comp_gas_cartridge	object/tangible/component/weapon/new_weapon_comp_gas_cartridge.iff	profession_wheel	
new_weapon_comp_gas_cartridge_advanced	object/tangible/component/weapon/new_weapon_comp_gas_cartridge_advanced.iff	profession_wheel	
new_weapon_comp_projectile_pistol_barrel	object/tangible/component/weapon/projectile_pistol_barrel.iff	profession_wheel	
new_weapon_comp_projectile_pistol_barrel_advanced	object/tangible/component/weapon/projectile_pistol_barrel_advanced.iff	profession_wheel	
new_weapon_comp_projectile_rifle_barrel	object/tangible/component/weapon/projectile_rifle_barrel.iff	profession_wheel	
new_weapon_comp_projectile_rifle_barrel_advanced	object/tangible/component/weapon/projectile_rifle_barrel_advanced.iff	profession_wheel	
new_weapon_comp_reinforcement_core	object/tangible/component/weapon/new_weapon_comp_reinforcement_core.iff	profession_wheel	
new_weapon_comp_reinforcement_core_advanced	object/tangible/component/weapon/new_weapon_comp_reinforcement_core_advanced.iff	profession_wheel	
new_weapon_comp_scope	object/tangible/component/weapon/scope_weapon_advanced.iff	profession_wheel	
new_weapon_comp_stock	object/tangible/component/weapon/stock_advanced.iff	profession_wheel	
weapon_appearance_2h_sword_avatar_wke_toothpick	object/weapon/melee/2h_sword/2h_sword_avatar_wke_toothpick.iff		
weapon_appearance_2h_sword_kashyyk	object/weapon/melee/2h_sword/2h_sword_kashyyk.iff		
weapon_appearance_2h_sword_kun_massassi	object/weapon/melee/2h_sword/2h_sword_kun_massassi.iff		1
weapon_appearance_2h_sword_obsidian	object/weapon/melee/2h_sword/som_2h_sword_obsidian.iff		
weapon_appearance_2h_sword_pvp_bf	object/weapon/melee/2h_sword/2h_sword_pvp_bf_01.iff		1
weapon_appearance_2h_sword_scythe	object/weapon/melee/2h_sword/2h_sword_scythe.iff		
weapon_appearance_2h_sword_sith	object/weapon/melee/2h_sword/2h_sword_sith.iff		
weapon_appearance_2h_sword_tulrus	object/weapon/melee/2h_sword/som_2h_sword_tulrus.iff		
weapon_appearance_axe	object/weapon/melee/axe/axe_heavy_duty.iff	profession_wheel	
weapon_appearance_axe_vibro	object/weapon/melee/axe/axe_vibroaxe.iff	profession_wheel
weapon_appearance_baton_avatar_trando_stun_stick	object/weapon/melee/baton/baton_avatar_trando_stun_stick.iff	
weapon_appearance_baton_gaderiffi	object/weapon/melee/baton/baton_gaderiffi.iff	profession_wheel
weapon_appearance_baton_stun	object/weapon/melee/baton/baton_stun.iff	profession_wheel
weapon_appearance_battleaxe	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	profession_wheel
weapon_appearance_battleaxe_quest	object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	
weapon_appearance_blasterfist	object/weapon/melee/special/blasterfist.iff	profession_wheel
weapon_appearance_bowcaster_assault	object/weapon/ranged/rifle/rifle_bowcaster_heavy.iff	profession_wheel
weapon_appearance_bowcaster_recon	object/weapon/ranged/rifle/rifle_bowcaster_medium.iff	
weapon_appearance_carbine_alliance_needler	object/weapon/ranged/carbine/carbine_alliance_needler.iff	profession_wheel
weapon_appearance_carbine_avatar_trandoshan	object/weapon/ranged/carbine/carbine_avatar_trando.iff	
weapon_appearance_carbine_blaster_cdef	object/weapon/ranged/carbine/carbine_cdef.iff	profession_wheel
weapon_appearance_carbine_blaster_cdef_corsec	object/weapon/ranged/carbine/carbine_cdef_corsec.iff	
weapon_appearance_carbine_bothan_bola	object/weapon/ranged/carbine/carbine_bothan_bola.iff	
weapon_appearance_carbine_czerka_dart	object/weapon/ranged/carbine/carbine_czerka_dart.iff	profession_wheel
