entry_type	type	schematic_name	schematic_description	crafting_script	items_per_container	crafting_type	slots	xp_type	volume	crafted_object_template	crafted_object_template_hash	complexity	xp	hit_points_low	hit_points_high	min_damage_low	min_damage_high	max_damage_low	max_damage_high	accuracy_low	accuracy_high	damage_type	elemental_type	elemental_value_low	elemental_value_high	attack_speed_low	attack_speed_high	wound_chance_low	wound_chance_high	special_attack_cost_low	special_attack_cost_high	min_range_distance	max_range_distance	slot_type	slot_optional	slot_name	slot_ingredient_name	slot_ingredient_count	slot_appearance	exports_to	gasQuality_min_low	gasQuality_min_high	gasQuality_max_low	gasQuality_max_high	coreLevel_min	coreLevel_max	powerBit_type_min	powerBit_type_max	powerBit_min	powerBit_max	coreQuality_min_low	coreQuality_min_high	coreQuality_max_low	coreQuality_max_high	componentBonus_min_low	componentBonus_min_high	componentBonus_max_low	componentBonus_max_high	meleeComponentQuality_min_low	meleeComponentQuality_min_high	meleeComponentQuality_max_low	meleeComponentQuality_max_high	appearanceBonus_min_low	appearanceBonus_min_high	appearanceBonus_max_low	appearanceBonus_max_high
"e(weapon=0,slot=1)[weapon]"	"e(none=-1,rifle=1,carbine=2,pistol=3,heavy=4,melee=5,directional=6,component=7)[none]"	s	s	s	i	"e(none=-1,weapon=1)[none]"	i	"e(none=-1,crafting=0,weapon_crafting=1,melee_weapon_crafting=2,ranged_weapon_crafting=3,munition_weapon_crafting=4,jedi=5)[none]"	i[1]	s	h	i	i	i[1]	i[1]	i	i	i	i	i	i	"e(component=0,kinetic=1,energy=2)[component]"	"e(none=-1,kinetic=1,energy=2,cold=64,heat=32,acid=128,electric=256)[none]"	i	i	"e(pistol=40,carbine=60,rifle=80,heavy=100,directional=25,melee=100,component=0)[melee]"	"e(pistol=40,carbine=60,rifle=80,heavy=100,directional=25,melee=100,component=0)[melee]"	i	i	i	i	i[0]	i	"e(none=-1,resource=4,template=2,template_generic=5,schematic=6,schematic_generic=7)[none]"	b[0]	s	s	i	"e(none=0,scope=1,muzzle=2,stock=3)[none]"	s	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
weapon	melee	weapon_appearance_2h_sword_scythe		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	5	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_scythe.iff	object/weapon/melee/2h_sword/2h_sword_scythe.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	30
slot																																		resource	0	sword_core_jacket	steel_carbonite	60																												
slot																																		resource	0	grip	aluminum_phrik	30																												
slot																																		template	0	vibration_generator	object/tangible/component/weapon/vibro_unit_base.iff	1																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
slot																																		template	0	geonosian_sword_core	object/tangible/component/weapon/geonosian_sword_core.iff	1																												
weapon	melee	weapon_appearance_axe		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	4	weapon_crafting		object/weapon/melee/axe/axe_heavy_duty.iff	object/weapon/melee/axe/axe_heavy_duty.iff	16	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	axe_head	metal	15																												
slot																																		resource	0	shaft	wood	20																												
