GOT_type	mods
s	f
BASE	1.5
misc_deed	1.0
misc_food	0.5
misc_drink	0.5
misc_trap	0.5
misc_electronics	0.5
component	0.5
component_armor	0.5
component_chemistry	0.5
component_clothing	0.5
component_droid	0.5
component_electronics	0.5
component_munition	0.5
component_structure	0.5
component_weapon_melee	0.5
component_weapon_ranged	0.5
tool_repair	0.5
tool_camp_kit	0.5
misc_pharmaceutical	0.5
misc_chemical	0.5
weapon_thrown	0.75
powerup_weapon	0.5
powerup_weapon_melee	0.5
powerup_weapon_ranged	0.5
powerup_weapon_thrown	0.5
powerup_weapon_heavy	0.5
powerup_weapon_mine	0.5
powerup_weapon_heavy_special	0.5
