entry_type	schematic_name	schematic_description	crafting_script	items_per_container	slots	complexity	xp	xp_type	volume	crafted_object_template	layer_index	level	category	condition_multiplier	no_crit_fail	slot_type	slot_optional	slot_name	slot_ingredient_name	slot_ingredient_count
"e(layer=0,segment=1,core=2,final=3,slot=4,clothing=5)[final]"	s	s	s	i	i	i	i	"e(crafting=40,armor_crafting=42)[crafting]"	i[1]	s	i	"e(none=-1,basic=0,standard=1,advanced=2)[none]"	"e(none=-1,recon=0,battle=1,assault=2)[none]"	f[1.0]	b[0]	"e(none=-1,resource=4,template=2,template_generic=5,schematic=6,schematic_generic=7)[none]"	b[0]	s	s	i
layer	component/test_an_armor_layer	new_armor_advanced_layer_1_test	systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	1	10	100		1	object/tangible/component/armor/new_armor_layer_test.iff	8				1					
slot																resource	0	armor_layer_frame	metal	25
layer	component/armor_layer_acid		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_acid.iff	6									
slot																resource	0	armor_layer_frame	metal_nonferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	gemstone_crystalline	10
slot																resource	0	chemical_neutralization_medium	ore_siliclastic_malab	14
layer	component/armor_layer_blast		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_blast.iff	3									
slot																resource	0	armor_layer_frame	metal_ferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	armophous_vendusii	10
slot																resource	0	blast_harmonics_absorbtion_medium	ore_carbonate_varium	14
layer	component/armor_layer_cold		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_cold.iff	5									
slot																resource	0	armor_layer_frame	metal_nonferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	crystalline_laboi_mineral_crystal	10
slot																resource	0	insulation_medium	ore_siliclastic_malab	14
layer	component/armor_layer_electrical		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_electrical.iff	2									
slot																resource	0	armor_layer_frame	metal_nonferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	armophous_baltaran	10
slot																resource	0	primary_insulator_micro_layer	ore_siliclastic_ardanium	14
layer	component/armor_layer_energy		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_energy.iff	1									
slot																resource	0	armor_layer_frame	metal_ferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	armophous_plexite	10
slot																resource	0	energy_sink	ore_carbonate_alantium	14
layer	component/armor_layer_heat		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_heat.iff	4									
slot																resource	0	armor_layer_frame	metal_ferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	crystalline_kerol_firegem	10
slot																resource	0	primary_insulator_micro_layer	ore_carbonate_frasium	14
layer	component/armor_layer_kinetic		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	100	4	28	56	armor_crafting		object/tangible/component/armor/armor_layer_kinetic.iff	0									
slot																resource	0	armor_layer_frame	metal_ferrous	20
slot																resource	0	absorbtion_coating	petrochem_inert_polymer	12
slot																resource	0	defensive_layer_microlattice	gemstone_armophous	10
