schematic_name	schematic_uses	source_object
h	i[1]	c
object/draft_schematic/clothing/clothing_apron_field_01_quest_02.iff	3	object\tangible\loot\quest\schematic_apron_s01_quest_02.tpf
object/draft_schematic/weapon/rifle_tenloss_disrupter.iff	5	object\tangible\loot\loot_schematic\geonosian_tenloss_dxr6_schematic.tpf
object/draft_schematic/furniture/furniture_bottle_tall.iff	1	object\tangible\loot\loot_schematic\bottle_tall_schematic.tpf
object/draft_schematic/item/item_recycler_metal.iff	1	object\tangible\loot\loot_schematic\metal_recycler_schematic.tpf
object/draft_schematic/item/item_recycler_creature.iff	1	object\tangible\loot\loot_schematic\creature_recycler_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_boots.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_boots_schematic.tpf
object/draft_schematic/furniture/furniture_bench_park.iff	1	object\tangible\loot\loot_schematic\park_bench_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_golden_flower_02.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_golden_flower_02.tpf
object/draft_schematic/weapon/razor_knuckler.iff	1	object\tangible\loot\loot_schematic\death_watch_razor_knuckler_schematic.tpf
object/draft_schematic/vehicle/civilian/landspeeder_av21.iff	1	object\tangible\loot\loot_schematic\corellian_corvette_landspeeder_av21_schematic.tpf
object/draft_schematic/clothing/clothing_belt_field_05_quest.iff	3	object\tangible\loot\quest\schematic_belt_s05_quest.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_chest.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_chest_plate_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_l.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_bicep_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_helmet.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_helmet_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_gloves.iff	1	object\tangible\loot\factional_schematic\rebel_battle_gloves_schematic.tpf
