mod	min	max	ratio	no_pup
s	i	i	i	i[0]
general_experimentation	70	71	4	1
jedi_saber_experimentation	111	112	5	1
combat_critical_hit_reduction	121	124	4	
droid_find_speed	152	153	3	
expertise_damage_weapon_0	170	171	14	
combat_dodge	181	184	8	
droid_tracks	193	196	4	
general_assembly	234	235	3	
jedi_saber_assembly	275	276	3	
expertise_damage_weapon_1	282	286	14	
combat_parry	289	294	6	
droid_assembly	316	320	3	
expertise_action_weapon_11	337	340	10	
droid_experimentation	357	362	4	1
weapon_assembly	398	400	3	
combat_block_chance	403	406	4	
cybernetic_assembly	410	420	3	
expertise_damage_weapon_2	426	430	14	
weapon_experimentation	439	440	4	1
combat_block_value	441	442	1	
healing_music_ability	480	485	3	
expertise_damage_weapon_3	490	492	14	
expertise_healing_all	510	511	8	
healing_dance_ability	521	525	3	
combat_evasion_chance	529	532	3	
cybernetic_experimentation	535	560	4	1
instrument_assembly	562	570	3	
prop_assembly	603	609	3	
expertise_damage_weapon_4	623	624	14	
combat_evasion_value	636	638	4	
healing_dance_wound	644	649	3	
healing_music_wound	685	690	3	
combat_strikethrough_chance	692	698	6	
general_assembly	726	728	3	
expertise_damage_weapon_5	757	760	14	
armor_assembly	767	769	3	
armor_experimentation	808	813	4	1
weapon_assembly	849	854	3	
combat_strikethrough_value	858	860	4	
weapon_experimentation	890	896	4	1
expertise_damage_weapon_6	911	915	14	
food_assembly	931	936	3	
food_experimentation	972	977	4	1
clothing_assembly	1015	1020	3	
expertise_reverse_engineering_bonus	1030	1034	10	
expertise_damage_weapon_7	1043	1046	14	
clothing_experimentation	1055	1056	4	1
structure_assembly	1095	1100	3	
expertise_damage_weapon_9	1111	1118	14	
structure_experimentation	1136	1141	4	1
chassis_assembly	1177	1184	3	
engine_assembly	1218	1220	3	
expertise_damage_weapon_10	1241	1247	14	
booster_assembly	1259	1264	3	
power_systems	1300	1305	3	
expertise_damage_weapon_11	1310	1316	14	
weapon_systems	1341	1346	3	
shields_assembly	1382	1392	3	
advanced_assembly	1420	1426	3	
cybernetic_experimentation	1430	1460	4	1
chassis_experimentation	1464	1470	4	1
expertise_action_weapon_0	1496	1500	10	
weapon_systems_experimentation	1510	1512	4	1
engine_experimentation	1546	1552	4	1
cybernetic_assembly	1555	1585	3	
booster_experimentation	1587	1594	4	1
expertise_action_weapon_1	1600	1609	10	
power_systems_experimentation	1628	1633	4	1
shields_experimentation	1669	1676	4	1
advanced_ship_experimentation	1710	1715	4	1
camouflage	1751	1762	1	
camouflage	1792	1797	1	
expertise_action_weapon_2	1820	1821	10	
resistance_poison	1833	1838	4	
