core_level	pistol_min_damage	pistol_max_damage	carbine_min_damage	carbine_max_damage	rifle_min_damage	rifle_max_damage	heavy_min_damage	heavy_max_damage	directional_min_damage	directional_max_damage	melee_min_damage	melee_max_damage	elemental_pistol_average_damage	elemental_carbine_average_damage	elemental_rifle_average_damage	elemental_heavy_average_damage	elemental_directional_average_damage	elemental_melee_average_damage
i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
1	10	20	15	30	20	41	25	51	6	13	29	59	0	0	0	0	0	0
2	12	23	18	35	23	47	29	59	7	15	33	65	0	0	0	0	0	0
3	13	27	20	40	27	53	33	67	8	17	36	72	0	0	0	0	0	0
4	15	30	22	45	30	60	37	75	9	19	39	79	0	0	0	0	0	0
5	17	33	25	50	33	66	41	83	10	21	43	85	0	0	0	0	0	0
6	18	36	27	54	36	73	45	91	11	23	46	92	0	0	0	0	0	0
7	20	39	30	59	39	79	49	99	12	25	49	99	0	0	0	0	0	0
8	20	40	30	60	40	80	50	100	13	25	59	117	0	0	0	0	0	0
9	22	44	33	66	44	89	55	111	14	28	64	128	0	0	0	0	0	0
10	24	49	36	73	49	97	61	121	15	30	69	139	0	0	0	0	0	0
11	26	53	40	79	53	106	66	132	17	33	75	149	0	0	0	0	0	0
12	29	57	43	86	57	114	71	143	18	36	80	160	0	0	0	0	0	0
13	31	61	46	92	61	123	77	153	19	38	85	171	0	0	0	0	0	0
14	33	66	49	98	66	131	82	164	21	41	91	181	0	0	0	0	0	0
15	35	70	52	105	70	140	87	175	22	44	96	192	0	0	0	0	0	0
16	40	80	60	120	80	160	100	200	25	50	109	217	6	10	13	0	0	16
17	42	84	63	126	84	169	105	211	26	53	114	228	7	10	14	0	0	17
18	44	89	66	133	89	177	111	221	28	55	119	239	7	11	14	0	0	18
19	46	93	70	139	93	186	116	232	29	58	125	249	8	11	15	0	0	19
20	49	97	73	146	97	194	121	243	30	61	130	260	8	12	16	0	0	20
21	51	101	76	152	101	203	127	253	32	63	135	271	8	13	17	0	0	21
22	53	106	79	158	106	211	132	264	33	66	141	281	9	13	18	0	0	22
23	55	110	82	165	110	220	137	275	34	69	146	292	9	14	18	0	0	23
24	60	120	90	180	120	240	150	300	38	75	156	312	10	14	19	0	0	24
25	62	124	93	186	124	249	155	311	39	78	161	323	10	15	20	0	0	25
26	64	129	96	193	129	257	161	321	40	80	167	333	10	16	21	0	0	26
27	66	133	100	199	133	266	166	332	42	83	172	344	11	16	22	0	0	27
28	69	137	103	206	137	274	171	343	43	86	177	355	11	17	22	0	0	28
29	71	141	106	212	141	283	177	353	44	88	183	365	12	17	23	0	0	29
30	73	146	109	218	146	291	182	364	46	91	188	376	12	18	24	0	0	30
31	75	150	112	225	150	300	187	375	47	94	193	387	12	19	25	0	0	31
32	80	160	120	240	160	320	200	400	50	100	203	407	13	19	26	0	0	32
33	82	164	123	246	164	329	205	411	51	103	209	417	13	20	26	0	0	33
34	84	169	126	253	169	337	211	421	53	105	214	428	14	20	27	0	0	34
35	86	173	130	259	173	346	216	432	54	108	219	439	14	21	28	0	0	35
