MOD	COST	MAX	ARMOR_ATTACHMENT_MODS
s	I[5]	I[15]	b[0]
armor_assembly			
armor_experimentation			
clothing_assembly			
clothing_experimentation			
droid_assembly			
droid_complexity			
droid_customization			
droid_experimentation			
food_assembly			
food_experimentation			
general_assembly			
general_experimentation			
healing_dance_wound			
healing_music_wound			
slope_move			1
structure_assembly			
structure_experimentation			
weapon_assembly			
weapon_experimentation			
chassis_experimentation			
weapon_systems_experimentation			
engine_experimentation			
precision_modified		8	1
strength_modified		8	1
constitution_modified		8	1
stamina_modified		8	1
agility_modified		8	1
luck_modified		8	1
camouflage			1
detect_hidden			1
