quest_type	convo	quest_giver_convo	quest_npc_convo	overall_objvar	temp_objvar	deliver_object	retrieve_object	player_script	npc_script	npc_type	npc_name	reward	reward_objvar	reward_objvar_value	reward2	reward2_objvar	reward2_objvar_value	reward3	reward3_objvar	reward3_objvar_value	reward4	reward4_objvar	reward4_objvar_value	faction reward	faction_reward_amount	faction_reward2	faction_reward2_amount	faction_reward3	faction_reward3_amount	faction_reward4	faction_reward4_amount	credits	quest_x_loc	quest_y_loc	quest_z_loc	quest_planet_loc	quest_leg	extra_npc	extra_npc_disposition	extra_npc2	extra_npc2_disposition	extra_npc3	extra_npc3_disposition	extra_npc4	extra_npc4_disposition	extra_spawn	spawn_delay	spawn_frequency	spawn_cap	spawn_radius	spawn_script	spawn_action1	spawn_action2	spawn_action3	spawn_action4	encounter_table	badge_reward
s	s	s[normal]	s[normal]	s	s	s[none]	s[none]	s	s	s	s	s[none]	s	i	s[none]	s	i	s[none]	s	i	s[none]	s	i	s[none]	i	s[none]	i	s[none]	i	s[none]	i	i[0]	i	i	i	s	i	s	s	s	s	s	s	s	s	s[none]	i	i	i	i	s	s	s	s	s	s	i

escort	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace			theme_park.jabba.quest_player	theme_park.jabba.quest_npc	noble_male	Scrib Leras																					1350						valarian_thug	aggro	valarian_thug	aggro																
destroy	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace			theme_park.jabba.quest_player	theme_park.jabba.quest_npc	valarian_thief	Valarian Interrogator																					1450						valarian_thug	aggro	valarian_thug	aggro	valarian_thug	aggro														
fetch	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace		object/tangible/loot/misc/ledger_s01.iff	theme_park.jabba.quest_player	theme_park.jabba.quest_npc	valarian_assassin	Valarian Courier																					1550						valarian_thug	aggro	valarian_thug	aggro																
destroy	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace			theme_park.jabba.quest_player	theme_park.jabba.quest_npc	valarian_assassin	Valarian Strike Team Leader																					1650						valarian_thug	aggro	valarian_thug	aggro	valarian_thug	aggro														
deliver	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace	object/tangible/loot/misc/briefcase_s01.iff		theme_park.jabba.quest_player	theme_park.jabba.quest_npc	slicer_jabba	Belshu Dadar																					1750																									
destroy	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace			theme_park.jabba.quest_player	theme_park.jabba.quest_npc	valarian_assassin	Bounty Hunter																					1850						valarian_thug	aggro	valarian_thug	aggro																
deliver	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace	object/tangible/loot/misc/briefcase_s01.iff		theme_park.jabba.quest_player	theme_park.jabba.quest_npc	slicer_jabba	Sliv Jurek																					1950																									
fetch	theme_park_jabba/g5po		terse	theme_park_jabba	jabbas_palace		object/weapon/melee/sword/sword_rantok.iff	theme_park.jabba.quest_rantok	theme_park.jabba.quest_warehouse		Valarian Warehouse	object/tangible/loot/misc/proclamation_s01.iff												jabba	200							2000						valarian_assassin	aggro	valarian_assassin	aggro	valarian_assassin	aggro	valarian_assassin	aggro	object/building/military/pirate_warehouse.iff					theme_park.jabba.quest_warehouse						105
