strItem	fltSize
s	f
fbase_rebel_guardsman_hard	2
fbase_rebel_heavy_trooper_hard	2
rebel_super_battle_droid	2
fbase_rebel_army_captain_hard	2
fbase_rebel_guard_captain_hard	2
fbase_rebel_squad_leader_hard	2
fbase_rebel_cadet_extreme	2
fbase_rebel_colonel_hard	2
fbase_rebel_elite_heavy_trooper	2
fbase_rebel_elite_sand_rat_hard	2
fbase_rebel_rifleman_extreme	2
fbase_rebel_soldier_extreme	2
fbase_rebel_liberator_extreme	2
cheerleader_rebel_commando_hard	2
cheerleader_rebel_corporal_hard	2
cheerleader_rebel_sergeant_hard	2
