strItem	fltSize
s	f
fbase_rebel_army_captain_extreme	2
fbase_rebel_colonel_extreme	2
fbase_rebel_commando_extreme	2
fbase_rebel_commando_hard	2
fbase_rebel_elite_heavy_trooper_extreme	2
fbase_rebel_elite_heavy_trooper_hard	2
fbase_rebel_elite_sand_rat_extreme	2
fbase_rebel_grenadier_extreme	2
fbase_rebel_guard_captain_extreme	2
fbase_rebel_guardsman_extreme	2
fbase_rebel_heavy_trooper_extreme	2
fbase_rebel_squad_leader_extreme	2
cheerleader_rebel_master_sergeant_hard	2
cheerleader_rebel_master_sergeant_hard	2
cheerleader_rebel_master_sergeant_hard	2
