strTemplate	intSize	strLairType	strBuildingType	intMinDifficulty	intMaxDifficulty
s	i	s	s	i	i
object/tangible/lair/npc_lair.iff	25	global_pirate_camp_neutral_small_theater		14	147
object/tangible/lair/npc_lair.iff	25	global_bandit_pack_neutral_none		10	238
object/tangible/lair/npc_lair.iff	25	global_pirate_cutthroat_camp_neutral_medium_theater		10	261
object/tangible/lair/npc_lair.iff	25	global_pirate_leader_camp_neutral_medium_theater		14	146
object/tangible/lair/npc_lair.iff	25	global_pirate_privateer_squad_neutral_none		8	50
object/tangible/lair/npc_lair.iff	25	global_pirate_cutthroat_squad_neutral_none		10	106
object/tangible/lair/npc_lair.iff	25	global_pirate_captain_camp_neutral_medium_theater		10	185
object/tangible/lair/npc_lair.iff	25	global_pirate_dread_camp_neutral_large_theater		10	223
object/tangible/lair/npc_lair.iff	25	global_brigand_squad_neutral_none		12	125
object/tangible/lair/npc_lair.iff	25	global_brigand_highwayman_squad_neutral_none		12	188
object/tangible/lair/npc_lair.iff	25	global_brigand_scout_squad_neutral_none		12	144
object/tangible/lair/npc_lair.iff	25	global_brigand_assasin_squad_neutral_none		8	126
object/tangible/lair/npc_lair.iff	25	global_brigand_leader_squad_neutral_none		13	155
object/tangible/lair/npc_lair.iff	25	global_brigand_highwayman_camp_neutral_large_theater		8	125
object/tangible/lair/npc_lair.iff	25	global_brigand_leader_camp_neutral_large_theater		8	225
