strTemplate	intSize	strLairType	strBuildingType	intMinDifficulty	intMaxDifficulty
s	i	s	s	i	i
object/tangible/lair/npc_lair.iff	15	global_pirate_camp_neutral_small_theater		1	152
object/tangible/lair/npc_lair.iff	15	global_gambler_camp_neutral_small_theater		1	65
object/tangible/lair/npc_lair.iff	15	global_terrorist_camp_neutral_small_theater		1	108
object/tangible/lair/npc_lair.iff	15	global_slave_camp_neutral_small_theater		1	85
object/tangible/lair/npc_lair.iff	15	global_assassin_camp_neutral_small_theater		67	193
object/tangible/lair/npc_lair.iff	15	global_thief_camp_neutral_small_theater		19	58
object/tangible/lair/npc_lair.iff	15	global_thief_camp2_neutral_small_theater		31	98
object/tangible/lair/npc_lair.iff	15	global_bounty_hunter_camp_neutral_small_theater		86	120
object/tangible/lair/npc_lair.iff	15	global_pirate_camp_neutral_small_theater		95	178
object/tangible/lair/npc_lair.iff	10	global_bandit_pack_neutral_none		4	40
object/tangible/lair/npc_lair.iff	10	global_rodian_thug_neutral_none		5	60
object/tangible/lair/npc_lair.iff	10	global_bothan_diplomat_neutral_none		1	50
object/tangible/lair/npc_lair.iff	10	global_information_broker_neutral_none		1	100
object/tangible/lair/npc_lair.iff	10	global_spynet_operative_neutral_none		20	130
object/tangible/lair/npc_lair.iff	10	global_commoner_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_criminal_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_thug_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_outlaw_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_explorer_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_wookiee_brawler_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_hunter_neutral_none		1	500
object/tangible/lair/npc_lair.iff	10	global_smuggler_neutral_none		1	500
object/tangible/lair/npc_lair.iff	25	global_pirate_cutthroat_camp_neutral_medium_theater		12	80
object/tangible/lair/npc_lair.iff	25	global_pirate_leader_camp_neutral_medium_theater		30	85
object/tangible/lair/npc_lair.iff	10	global_pirate_privateer_squad_neutral_none		10	100
object/tangible/lair/npc_lair.iff	10	global_pirate_cutthroat_squad_neutral_none		8	80
object/tangible/lair/npc_lair.iff	25	global_pirate_captain_camp_neutral_medium_theater		40	100
object/tangible/lair/npc_lair.iff	40	global_pirate_dread_camp_neutral_large_theater		40	140
object/tangible/lair/npc_lair.iff	10	global_brigand_squad_neutral_none		4	40
object/tangible/lair/npc_lair.iff	10	global_brigand_highwayman_squad_neutral_none		10	100
object/tangible/lair/npc_lair.iff	10	global_brigand_scout_squad_neutral_none		13	90
object/tangible/lair/npc_lair.iff	10	global_brigand_assasin_squad_neutral_none		17	170
object/tangible/lair/npc_lair.iff	10	global_brigand_leader_squad_neutral_none		40	120
object/tangible/lair/npc_lair.iff	40	global_brigand_highwayman_camp_neutral_large_theater		30	120
object/tangible/lair/npc_lair.iff	40	global_brigand_leader_camp_neutral_large_theater		50	130
object/tangible/lair/npc_lair.iff	10	global_wilder_traveller_squad_neutral_none		1	100
object/tangible/lair/npc_lair.iff	10	global_wilder_explorer_squad_neutral_none		1	100
object/tangible/lair/npc_lair.iff	10	global_wilder_outrider_squad_neutral_none		1	100
object/tangible/lair/npc_lair.iff	10	global_wilder_trailblaizer_squad_neutral_none		1	200
object/tangible/lair/npc_lair.iff	10	global_wilder_frontiersman_squad_neutral_none		1	200
object/tangible/lair/npc_lair.iff	10	global_wilder_pathfinder_squad_neutral_none		1	200
object/tangible/lair/npc_lair.iff	10	global_wilder_warder_squad_neutral_none		1	200
